[dataset] loading ogbn-products
[run] ogbn-products seed=42 ratio=0.0700
[mem] pipeline:start rss_gb=5.646 vms_gb=7.128
[mem] pipeline:after_features rss_gb=13.662 vms_gb=15.230
[mem] pipeline:after_demand rss_gb=16.616 vms_gb=18.273
[mem] pipeline:after_signature rss_gb=16.593 vms_gb=18.249
[mem] pipeline:after_prototypes rss_gb=16.663 vms_gb=18.338
[mem] relation_plan:start:product--co_purchase-->product rss_gb=16.664 vms_gb=18.341
[mem] relation_plan:after_skeleton:product--co_purchase-->product rss_gb=16.079 vms_gb=17.806
[mem] relation_plan:after_factorize:product--co_purchase-->product rss_gb=16.080 vms_gb=17.806
[mem] relation_plan:after_assign:product--co_purchase-->product rss_gb=16.079 vms_gb=17.807
[mem] relation_plan:after_reassign:product--co_purchase-->product rss_gb=16.079 vms_gb=17.808
[mem] relation_plan:end:product--co_purchase-->product rss_gb=16.080 vms_gb=17.808
[mem] relation_plan:start:product--co_purchased_by-->product rss_gb=16.080 vms_gb=17.808
[mem] relation_plan:after_skeleton:product--co_purchased_by-->product rss_gb=16.109 vms_gb=17.836
[mem] relation_plan:after_factorize:product--co_purchased_by-->product rss_gb=16.112 vms_gb=17.840
[mem] relation_plan:after_assign:product--co_purchased_by-->product rss_gb=16.069 vms_gb=17.796
[mem] relation_plan:after_reassign:product--co_purchased_by-->product rss_gb=16.085 vms_gb=17.813
[mem] relation_plan:end:product--co_purchased_by-->product rss_gb=16.085 vms_gb=17.813
[mem] pipeline:after_relation_plans rss_gb=16.085 vms_gb=17.813
[mem] pipeline:after_materialize rss_gb=16.094 vms_gb=17.839
[mem] pipeline:after_condense_gc rss_gb=16.093 vms_gb=17.837
[mem] train_infer:start rss_gb=16.093 vms_gb=17.837
[mem] train_infer:after_model rss_gb=16.102 vms_gb=17.847
[mem] train_infer:after_train rss_gb=16.116 vms_gb=17.850
[mem] train_infer:before_original_infer rss_gb=16.116 vms_gb=17.850
