block_name,kind,shape,dtype,path,cache_bytes,edge_scans,normalization
X0,self,169343x64,float16,block_X0.memmap,21675904,0,none
X1_cite_ref,hop_block,169343x64,float16,block_X1_cite_ref.memmap,21675904,1,destination_row
X1_cited_by,hop_block,169343x64,float16,block_X1_cited_by.memmap,21675904,1,destination_row
X2_cite_ref,hop_block,169343x64,float16,block_X2_cite_ref.memmap,21675904,1,destination_row
X2_cited_by,hop_block,169343x64,float16,block_X2_cited_by.memmap,21675904,1,destination_row
X3_mix,hop_block,169343x64,float16,block_X3_mix.memmap,21675904,2,destination_row
Xres1_cite_ref,residual,169343x64,float16,block_Xres1_cite_ref.memmap,21675904,0,none
Xres1_cited_by,residual,169343x64,float16,block_Xres1_cited_by.memmap,21675904,0,none
Xres2_cite_ref,residual,169343x64,float16,block_Xres2_cite_ref.memmap,21675904,0,none
Xres2_cited_by,residual,169343x64,float16,block_Xres2_cited_by.memmap,21675904,0,none
Y1_cite_ref,label_reuse,169343x40,float16,block_Y1_cite_ref.memmap,13547440,6,destination_row
Y1_cited_by,label_reuse,169343x40,float16,block_Y1_cited_by.memmap,13547440,6,destination_row
Y2_cite_ref,label_reuse,169343x40,float16,block_Y2_cite_ref.memmap,13547440,6,destination_row
Y2_cited_by,label_reuse,169343x40,float16,block_Y2_cited_by.memmap,13547440,6,destination_row
Y3_mix,label_reuse,169343x40,float16,block_Y3_mix.memmap,13547440,6,destination_row
structure,structure,169343x9,float16,block_structure.memmap,3048174,2,none
