block_name,kind,shape,dtype,path,cache_bytes,edge_scans,normalization
X0,self,2449029x64,float16,block_X0.memmap,313475712,0,none
X1,hop_block,2449029x64,float16,block_X1.memmap,313475712,2,destination_row
X2,hop_block,2449029x64,float16,block_X2.memmap,313475712,2,destination_row
X3,hop_block,2449029x64,float16,block_X3.memmap,313475712,2,destination_row
Xres1,residual,2449029x64,float16,block_Xres1.memmap,313475712,0,none
Xres2,residual,2449029x64,float16,block_Xres2.memmap,313475712,0,none
Y1,label_reuse,2449029x47,float16,block_Y1.memmap,230208726,6,destination_row
Y2,label_reuse,2449029x47,float16,block_Y2.memmap,230208726,6,destination_row
Y3,label_reuse,2449029x47,float16,block_Y3.memmap,230208726,6,destination_row
structure,structure,2449029x9,float16,block_structure.memmap,44082522,2,none
