dataset,variant,seed,status,reason,requested_ratio,fullgraph_gate_passed,promoted,diagnostic_only,invalid_reasons,accuracy,macro_f1,weighted_f1,predicted_class_count,total_condensed_node_ratio,model_type,feature_mode,metapath_blocks,path_lad_blocks,loss_type,hidden_dim,dropout,lr,use_kd,use_diffusion,use_source_anchors,use_coverage_medoid,block_norm_stats_source,teacher_val_acc,kd_gate_passed,kd_skip_reason,source_log
acm,S1_clean_metapath_sehgnn_tuned_h256_d0p2_lr0p001_clipped,42,completed,,0.096,True,True,False,[],0.9013220071792603,0.9022209842999777,0.9012456305727945,3,0.007768232498629135,sehgnn_lite,schema_default_metapath,"[""PAP"", ""PSP"", ""PTP""]",[],clipped,256,0.2,0.001,False,False,False,False,train_full_target_rows,,False,,experiments\logs\acm_s1_clean_tuned_seed42\acm_S1_clean_metapath_sehgnn_tuned_h256_d0p2_lr0p001_clipped_r0p096_seed42.json
acm,S1_clean_metapath_sehgnn_tuned_h256_d0p2_lr0p001_class_balanced,42,completed,,0.096,True,True,False,[],0.8975448608398438,0.8983872334162394,0.8973639596448414,3,0.007768232498629135,sehgnn_lite,schema_default_metapath,"[""PAP"", ""PSP"", ""PTP""]",[],class_balanced,256,0.2,0.001,False,False,False,False,train_full_target_rows,,False,,experiments\logs\acm_s1_clean_tuned_seed42\acm_S1_clean_metapath_sehgnn_tuned_h256_d0p2_lr0p001_class_balanced_r0p096_seed42.json
acm,S1_clean_metapath_sehgnn_tuned_h256_d0p2_lr0p003_clipped,42,completed,,0.096,True,True,False,[],0.8970727324485779,0.8980835278828939,0.8969695159750708,3,0.007768232498629135,sehgnn_lite,schema_default_metapath,"[""PAP"", ""PSP"", ""PTP""]",[],clipped,256,0.2,0.003,False,False,False,False,train_full_target_rows,,False,,experiments\logs\acm_s1_clean_tuned_seed42\acm_S1_clean_metapath_sehgnn_tuned_h256_d0p2_lr0p003_clipped_r0p096_seed42.json
acm,S1_clean_metapath_sehgnn_tuned_h256_d0p2_lr0p003_class_balanced,42,completed,,0.096,True,True,False,[],0.8942398428916931,0.8946123321851095,0.893363918104199,3,0.007768232498629135,sehgnn_lite,schema_default_metapath,"[""PAP"", ""PSP"", ""PTP""]",[],class_balanced,256,0.2,0.003,False,False,False,False,train_full_target_rows,,False,,experiments\logs\acm_s1_clean_tuned_seed42\acm_S1_clean_metapath_sehgnn_tuned_h256_d0p2_lr0p003_class_balanced_r0p096_seed42.json
acm,S1_clean_metapath_sehgnn_tuned_h256_d0p3_lr0p001_clipped,42,completed,,0.096,True,True,False,[],0.9003776907920837,0.9013198812802633,0.900309566925862,3,0.007768232498629135,sehgnn_lite,schema_default_metapath,"[""PAP"", ""PSP"", ""PTP""]",[],clipped,256,0.3,0.001,False,False,False,False,train_full_target_rows,,False,,experiments\logs\acm_s1_clean_tuned_seed42\acm_S1_clean_metapath_sehgnn_tuned_h256_d0p3_lr0p001_clipped_r0p096_seed42.json
acm,S1_clean_metapath_sehgnn_tuned_h256_d0p3_lr0p001_class_balanced,42,completed,,0.096,True,True,False,[],0.8966005444526672,0.8976005514462789,0.8965482748949872,3,0.007768232498629135,sehgnn_lite,schema_default_metapath,"[""PAP"", ""PSP"", ""PTP""]",[],class_balanced,256,0.3,0.001,False,False,False,False,train_full_target_rows,,False,,experiments\logs\acm_s1_clean_tuned_seed42\acm_S1_clean_metapath_sehgnn_tuned_h256_d0p3_lr0p001_class_balanced_r0p096_seed42.json
acm,S1_clean_metapath_sehgnn_tuned_h256_d0p3_lr0p003_clipped,42,completed,,0.096,True,True,False,[],0.8470255136489868,0.8461269537607828,0.8449427864507744,3,0.007768232498629135,sehgnn_lite,schema_default_metapath,"[""PAP"", ""PSP"", ""PTP""]",[],clipped,256,0.3,0.003,False,False,False,False,train_full_target_rows,,False,,experiments\logs\acm_s1_clean_tuned_seed42\acm_S1_clean_metapath_sehgnn_tuned_h256_d0p3_lr0p003_clipped_r0p096_seed42.json
acm,S1_clean_metapath_sehgnn_tuned_h256_d0p3_lr0p003_class_balanced,42,completed,,0.096,True,True,False,[],0.8951841592788696,0.8952458699544271,0.8940387970064002,3,0.007768232498629135,sehgnn_lite,schema_default_metapath,"[""PAP"", ""PSP"", ""PTP""]",[],class_balanced,256,0.3,0.003,False,False,False,False,train_full_target_rows,,False,,experiments\logs\acm_s1_clean_tuned_seed42\acm_S1_clean_metapath_sehgnn_tuned_h256_d0p3_lr0p003_class_balanced_r0p096_seed42.json
acm,S1_clean_metapath_sehgnn_tuned_h256_d0p5_lr0p001_clipped,42,completed,,0.096,True,True,False,[],0.8980169892311096,0.8990287582079569,0.8979887426434402,3,0.007768232498629135,sehgnn_lite,schema_default_metapath,"[""PAP"", ""PSP"", ""PTP""]",[],clipped,256,0.5,0.001,False,False,False,False,train_full_target_rows,,False,,experiments\logs\acm_s1_clean_tuned_seed42\acm_S1_clean_metapath_sehgnn_tuned_h256_d0p5_lr0p001_clipped_r0p096_seed42.json
acm,S1_clean_metapath_sehgnn_tuned_h256_d0p5_lr0p001_class_balanced,42,completed,,0.096,True,True,False,[],0.8980169892311096,0.8989238739013672,0.8978807322584943,3,0.007768232498629135,sehgnn_lite,schema_default_metapath,"[""PAP"", ""PSP"", ""PTP""]",[],class_balanced,256,0.5,0.001,False,False,False,False,train_full_target_rows,,False,,experiments\logs\acm_s1_clean_tuned_seed42\acm_S1_clean_metapath_sehgnn_tuned_h256_d0p5_lr0p001_class_balanced_r0p096_seed42.json
acm,S1_clean_metapath_sehgnn_tuned_h256_d0p5_lr0p003_clipped,42,completed,,0.096,True,True,False,[],0.8932955861091614,0.8934317231178284,0.8923240592868952,3,0.007768232498629135,sehgnn_lite,schema_default_metapath,"[""PAP"", ""PSP"", ""PTP""]",[],clipped,256,0.5,0.003,False,False,False,False,train_full_target_rows,,False,,experiments\logs\acm_s1_clean_tuned_seed42\acm_S1_clean_metapath_sehgnn_tuned_h256_d0p5_lr0p003_clipped_r0p096_seed42.json
acm,S1_clean_metapath_sehgnn_tuned_h256_d0p5_lr0p003_class_balanced,42,completed,,0.096,True,True,False,[],0.8881019949913025,0.8891141613324484,0.8878776371902583,3,0.007768232498629135,sehgnn_lite,schema_default_metapath,"[""PAP"", ""PSP"", ""PTP""]",[],class_balanced,256,0.5,0.003,False,False,False,False,train_full_target_rows,,False,,experiments\logs\acm_s1_clean_tuned_seed42\acm_S1_clean_metapath_sehgnn_tuned_h256_d0p5_lr0p003_class_balanced_r0p096_seed42.json
