dataset,seed,ratio,ratio_percent,requested_target_budget,effective_target_prototypes,shadow_nodes_total,condensed_nodes_total,condensed_node_ratio_to_train_target,accuracy,macro_f1,predicted_classes,shadow_recon_err_mean,source_log
dblp,0,0.005,0.5,16,16,16,32,0.02629416598192276,0.8288732171058655,0.8209363222122192,4,0.013235060795377958,experiments\logs\small_ratio_sweep_20260608\dblp_r0p005_seed0.json
dblp,0,0.01,1.0,16,16,16,32,0.02629416598192276,0.8288732171058655,0.8209363222122192,4,0.013235060795377958,experiments\logs\small_ratio_sweep_20260608\dblp_r0p01_seed0.json
dblp,0,0.015,1.5,18,18,18,36,0.029580936729663106,0.8288732171058655,0.821001723408699,4,0.006227143428438476,experiments\logs\small_ratio_sweep_20260608\dblp_r0p015_seed0.json
dblp,0,0.02,2.0,24,24,24,48,0.03944124897288414,0.830633819103241,0.8230274766683578,4,0.01632963263604307,experiments\logs\small_ratio_sweep_20260608\dblp_r0p02_seed0.json
dblp,0,0.025,2.5,30,30,30,60,0.049301561216105176,0.8257042169570923,0.8180854618549347,4,0.01527958306137931,experiments\logs\small_ratio_sweep_20260608\dblp_r0p025_seed0.json
dblp,0,0.03,3.0,37,37,37,74,0.06080525883319639,0.830633819103241,0.8228034377098083,4,0.02415285546214715,experiments\logs\small_ratio_sweep_20260608\dblp_r0p03_seed0.json
dblp,0,0.035,3.5000000000000004,43,43,43,86,0.07066557107641742,0.8299295902252197,0.822780966758728,4,0.007023132312173532,experiments\logs\small_ratio_sweep_20260608\dblp_r0p035_seed0.json
dblp,0,0.04,4.0,49,49,49,98,0.08052588331963846,0.827464759349823,0.8205036073923111,4,0.05838787950190169,experiments\logs\small_ratio_sweep_20260608\dblp_r0p04_seed0.json
dblp,0,0.045,4.5,55,55,55,110,0.09038619556285948,0.827816903591156,0.8209173530340195,4,0.11485688980691544,experiments\logs\small_ratio_sweep_20260608\dblp_r0p045_seed0.json
dblp,0,0.05,5.0,61,61,61,122,0.10024650780608052,0.827816903591156,0.8200245946645737,4,0.12962945863343095,experiments\logs\small_ratio_sweep_20260608\dblp_r0p05_seed0.json
dblp,0,0.055,5.5,67,67,67,134,0.11010682004930156,0.827816903591156,0.8208354860544205,4,0.1233066654435687,experiments\logs\small_ratio_sweep_20260608\dblp_r0p055_seed0.json
dblp,0,0.06,6.0,73,73,73,146,0.1199671322925226,0.8292253613471985,0.821174144744873,4,0.014149014952663956,experiments\logs\small_ratio_sweep_20260608\dblp_r0p06_seed0.json
dblp,0,0.065,6.5,79,79,79,158,0.12982744453574363,0.8330985903739929,0.8253575265407562,4,0.08898416036304162,experiments\logs\small_ratio_sweep_20260608\dblp_r0p065_seed0.json
dblp,0,0.07,7.000000000000001,85,85,85,170,0.13968775677896467,0.830281674861908,0.8223523050546646,4,0.004015679796565375,experiments\logs\small_ratio_sweep_20260608\dblp_r0p07_seed0.json
