dataset,variant,seed,target_type,status,reason,accuracy,macro_f1,weighted_f1,predicted_class_count,target_gate,gate_passed,blocked_by_fullgraph_backbone,model_type,feature_mode,metapath_blocks,path_lad_blocks,num_nodes_by_type,num_edges_by_type,split_hash,feature_hash,label_hash,schema_hash,train_nodes,valid_nodes,test_nodes,num_classes,train_class_count,valid_class_count,test_class_count,training_time_s,inference_time_s,peak_cpu_ram_mb,peak_gpu_ram_mb,desirable_gate,schema_incomplete_for_sota,source_log,invalid_reasons
acm,fullgraph_sehgnn_lite_current,42,paper,completed,completed,0.8970727324485779,0.8981743454933167,0.8970790130273433,3,0.9,False,True,sehgnn_lite,schema_default_metapath,"[""PAP"", ""PSP"", ""PTP""]",[],"{""author"": 5959, ""paper"": 3025, ""subject"": 56, ""term"": 1902}","{""author--writes-->paper"": 9949, ""paper--cite_ref-->paper"": 5343, ""paper--cited_by-->paper"": 5343, ""subject--subject_of-->paper"": 3025, ""term--term_in-->paper"": 255619}",f7691b35e39a19c9,8b7f070da3446dbe,9dad8ccddc486b93,f242a29fddf1d6f7,907,0,2118,3,3,0,3,3.4433585,0.01775450000000056,619.453125,0.0,0.92,False,experiments\logs\fullgraph_parity_seed42\acm_fullgraph_sehgnn_lite_current_seed42.json,[]
acm,fullgraph_sehgnn_lite_tuned,42,paper,completed,completed,0.9027384519577026,0.9037294189135233,0.9026813750451448,3,0.9,True,False,sehgnn_lite,schema_default_metapath,"[""PAP"", ""PSP"", ""PTP""]",[],"{""author"": 5959, ""paper"": 3025, ""subject"": 56, ""term"": 1902}","{""author--writes-->paper"": 9949, ""paper--cite_ref-->paper"": 5343, ""paper--cited_by-->paper"": 5343, ""subject--subject_of-->paper"": 3025, ""term--term_in-->paper"": 255619}",f7691b35e39a19c9,8b7f070da3446dbe,9dad8ccddc486b93,f242a29fddf1d6f7,907,0,2118,3,3,0,3,6.4730439,0.032813299999999046,624.20703125,0.0,0.92,False,experiments\logs\fullgraph_parity_seed42\acm_fullgraph_sehgnn_lite_tuned_seed42.json,[]
acm,fullgraph_han_style_optional,42,paper,skipped_optional_not_implemented,HAN-style optional backbone is not implemented in this sprint; row is skipped and excluded from best summaries,,,,,0.9,False,True,not_run,optional_backbone_not_run,[],[],"{""author"": 5959, ""paper"": 3025, ""subject"": 56, ""term"": 1902}","{""author--writes-->paper"": 9949, ""paper--cite_ref-->paper"": 5343, ""paper--cited_by-->paper"": 5343, ""subject--subject_of-->paper"": 3025, ""term--term_in-->paper"": 255619}",f7691b35e39a19c9,8b7f070da3446dbe,9dad8ccddc486b93,f242a29fddf1d6f7,907,0,2118,3,3,0,3,,,620.4609375,0.0,0.92,False,,"[""accuracy_missing"", ""macro_f1_missing"", ""weighted_f1_missing"", ""predicted_class_count_missing"", ""training_time_s_missing"", ""inference_time_s_missing""]"
dblp,fullgraph_dblp_APA_only,42,author,completed,completed,0.7919014096260071,0.784368097782135,0.7918582854467652,4,0.9,False,True,sehgnn_lite,schema_default_metapath,"[""APA""]",[],"{""author"": 4057, ""paper"": 14328, ""term"": 7723, ""venue"": 20}","{""paper--written_by-->author"": 19645}",205c06f78efb9840,06db10bfc6969768,9a73411760f4cfc8,754290fffdaeabea,1217,0,2840,4,4,0,4,1.3981662999999998,0.002497900000001607,853.85546875,0.0,0.91,True,experiments\logs\fullgraph_parity_seed42\dblp_fullgraph_dblp_APA_only_seed42.json,[]
dblp,fullgraph_dblp_full_schema_sehgnn_lite,42,author,completed,completed,0.8066901564598083,0.7988300323486328,0.8067662124977617,4,0.9,False,True,sehgnn_lite,schema_default_metapath,"[""APA""]",[],"{""author"": 4057, ""paper"": 14328, ""term"": 7723, ""venue"": 20}","{""author--writes-->paper"": 19645, ""paper--has_term-->term"": 85810, ""paper--published_in-->venue"": 14328, ""paper--written_by-->author"": 19645, ""term--term_in-->paper"": 85810, ""venue--publishes-->paper"": 14328}",205c06f78efb9840,06db10bfc6969768,9a73411760f4cfc8,28d037eaa961964c,1217,0,2840,4,4,0,4,2.476389300000001,0.005742300000001421,1085.2265625,0.0,0.91,True,experiments\logs\fullgraph_parity_seed42\dblp_fullgraph_dblp_full_schema_sehgnn_lite_seed42.json,[]
imdb,fullgraph_imdb_sehgnn_lite_MAM_MDM_MKM,42,movie,completed,completed,0.4244222342967987,0.3732550173997879,0.4170499496602855,5,0.55,False,True,sehgnn_lite,schema_default_metapath,"[""MDM"", ""MAM"", ""MKM""]",[],"{""actor"": 6124, ""director"": 2393, ""keyword"": 7971, ""movie"": 4932}","{""actor--acts_in-->movie"": 14779, ""director--directs-->movie"": 4932, ""keyword--keyword_in-->movie"": 23610}",4a04767c8fb057fa,73b17d90a49f7ac9,9bdf4ffccca86d75,e44482fc0ab164b5,1371,0,3202,5,5,0,5,7.838798799999999,0.06004790000000071,1229.09375,0.0,0.6,False,experiments\logs\fullgraph_parity_seed42\imdb_fullgraph_imdb_sehgnn_lite_MAM_MDM_MKM_seed42.json,[]
imdb,fullgraph_imdb_han_style_optional,42,movie,skipped_optional_not_implemented,HAN-style optional backbone is not implemented in this sprint; row is skipped and excluded from best summaries,,,,,0.55,False,True,not_run,optional_backbone_not_run,[],[],"{""actor"": 6124, ""director"": 2393, ""keyword"": 7971, ""movie"": 4932}","{""actor--acts_in-->movie"": 14779, ""director--directs-->movie"": 4932, ""keyword--keyword_in-->movie"": 23610}",4a04767c8fb057fa,73b17d90a49f7ac9,9bdf4ffccca86d75,e44482fc0ab164b5,1371,0,3202,5,5,0,5,,,1373.5078125,0.0,0.6,False,,"[""accuracy_missing"", ""macro_f1_missing"", ""weighted_f1_missing"", ""predicted_class_count_missing"", ""training_time_s_missing"", ""inference_time_s_missing""]"
ogbn-arxiv,fullgraph_lad_table_teacher,42,paper,completed_existing_diagnostic,completed_existing_diagnostic,0.6615641117095947,0.4024657105095685,0.6347454244603976,36,0.68,False,True,full_demand_table_mlp,no_diffusion_lad_table,[],[],{},{},existing_diagnostic_no_hash,existing_diagnostic_no_hash,existing_diagnostic_no_hash,homogeneous,not_logged_existing_diagnostic,not_logged_existing_diagnostic,not_logged_existing_diagnostic,40,not_logged_existing_diagnostic,not_logged_existing_diagnostic,not_logged_existing_diagnostic,,,3282481152,0,0.7,,experiments\logs\lad_stage_diagnostics_seed42\ogbn-arxiv_FullDemandTable-MLP_r0p12_seed42.json,[]
ogbn-products,fullgraph_lad_table_teacher,42,product,completed_existing_diagnostic,completed_existing_diagnostic,0.6884398460388184,0.33906127453008866,0.6508143028560763,28,0.7,False,True,full_demand_table_mlp,no_diffusion_lad_table,[],[],{},{},existing_diagnostic_no_hash,existing_diagnostic_no_hash,existing_diagnostic_no_hash,homogeneous,not_logged_existing_diagnostic,not_logged_existing_diagnostic,not_logged_existing_diagnostic,42,not_logged_existing_diagnostic,not_logged_existing_diagnostic,not_logged_existing_diagnostic,,,15891746816,0,0.72,,experiments\logs\lad_stage_diagnostics_seed42\ogbn-products_FullDemandTable-MLP_r0p12_seed42.json,[]
ogbn-products,fullgraph_lad_table_teacher_balanced_softmax,42,product,skipped_resource_guard,products calibration teacher rows are guarded; no P2/diffusion path is run,,,,28,0.7,False,True,full_demand_table_mlp,no_diffusion_lad_table,[],[],{},{},existing_diagnostic_no_hash,existing_diagnostic_no_hash,existing_diagnostic_no_hash,homogeneous,not_logged_existing_diagnostic,not_logged_existing_diagnostic,not_logged_existing_diagnostic,42,not_logged_existing_diagnostic,not_logged_existing_diagnostic,not_logged_existing_diagnostic,,,15891746816,0,0.72,,experiments\logs\lad_stage_diagnostics_seed42\ogbn-products_FullDemandTable-MLP_r0p12_seed42.json,[]
