dataset,variant,loss_type,seed,ratio,accuracy,macro_f1,predicted_class_count,prediction_entropy,shadow_recon_err_by_relation,effective_rank_by_relation,M_r_by_relation,b_by_relation,relation_gate_values,condensed_nodes_total,condensed_edges_total,status,source_log
imdb,base,clipped,42,0.005,0.292629599571228,0.2848621129989624,5,1.5600177933587338,"{""actor--acts_in-->movie"": 0.8805134079033068, ""director--directs-->movie"": 0.9377567137459236, ""keyword--keyword_in-->movie"": 0.670871903266117}","{""actor--acts_in-->movie"": 5.331043243408203, ""director--directs-->movie"": 10.288610458374023, ""keyword--keyword_in-->movie"": 11.498991012573242}","{""actor--acts_in-->movie"": 8, ""director--directs-->movie"": 8, ""keyword--keyword_in-->movie"": 8}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",44,60,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_base_clipped_r0p005_seed42.json
imdb,base,sqrt_weighted,42,0.005,0.3260462284088135,0.2880255416035652,5,1.462609249054247,"{""actor--acts_in-->movie"": 0.8805134079033068, ""director--directs-->movie"": 0.9377567137459236, ""keyword--keyword_in-->movie"": 0.670871903266117}","{""actor--acts_in-->movie"": 5.331043243408203, ""director--directs-->movie"": 10.288610458374023, ""keyword--keyword_in-->movie"": 11.498991012573242}","{""actor--acts_in-->movie"": 8, ""director--directs-->movie"": 8, ""keyword--keyword_in-->movie"": 8}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",44,60,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_base_sqrt_weighted_r0p005_seed42.json
imdb,base,class_balanced,42,0.005,0.2826358377933502,0.2606414258480072,5,1.4760502528714319,"{""actor--acts_in-->movie"": 0.8805134079033068, ""director--directs-->movie"": 0.9377567137459236, ""keyword--keyword_in-->movie"": 0.670871903266117}","{""actor--acts_in-->movie"": 5.331043243408203, ""director--directs-->movie"": 10.288610458374023, ""keyword--keyword_in-->movie"": 11.498991012573242}","{""actor--acts_in-->movie"": 8, ""director--directs-->movie"": 8, ""keyword--keyword_in-->movie"": 8}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",44,60,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_base_class_balanced_r0p005_seed42.json
imdb,base,clipped,42,0.025,0.35071828961372375,0.2955725848674774,5,1.4574074029305126,"{""actor--acts_in-->movie"": 0.9915553138235607, ""director--directs-->movie"": 0.9894704692960229, ""keyword--keyword_in-->movie"": 0.9216682006580831}","{""actor--acts_in-->movie"": 23.645305633544922, ""director--directs-->movie"": 24.611297607421875, ""keyword--keyword_in-->movie"": 20.76017951965332}","{""actor--acts_in-->movie"": 12, ""director--directs-->movie"": 12, ""keyword--keyword_in-->movie"": 12}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",70,102,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_base_clipped_r0p025_seed42.json
imdb,base,sqrt_weighted,42,0.025,0.3351030647754669,0.28950275778770446,5,1.4997053043007629,"{""actor--acts_in-->movie"": 0.9915553138235607, ""director--directs-->movie"": 0.9894704692960229, ""keyword--keyword_in-->movie"": 0.9216682006580831}","{""actor--acts_in-->movie"": 23.645305633544922, ""director--directs-->movie"": 24.611297607421875, ""keyword--keyword_in-->movie"": 20.76017951965332}","{""actor--acts_in-->movie"": 12, ""director--directs-->movie"": 12, ""keyword--keyword_in-->movie"": 12}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",70,102,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_base_sqrt_weighted_r0p025_seed42.json
imdb,base,class_balanced,42,0.025,0.3307307958602905,0.2906386613845825,5,1.5383029719692283,"{""actor--acts_in-->movie"": 0.9915553138235607, ""director--directs-->movie"": 0.9894704692960229, ""keyword--keyword_in-->movie"": 0.9216682006580831}","{""actor--acts_in-->movie"": 23.645305633544922, ""director--directs-->movie"": 24.611297607421875, ""keyword--keyword_in-->movie"": 20.76017951965332}","{""actor--acts_in-->movie"": 12, ""director--directs-->movie"": 12, ""keyword--keyword_in-->movie"": 12}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",70,102,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_base_class_balanced_r0p025_seed42.json
imdb,base,clipped,42,0.05,0.29450342059135437,0.27708313167095183,5,1.5863014807282325,"{""actor--acts_in-->movie"": 0.9691847572395508, ""director--directs-->movie"": 0.960499932720968, ""keyword--keyword_in-->movie"": 0.9791922562755145}","{""actor--acts_in-->movie"": 41.82011413574219, ""director--directs-->movie"": 45.10154724121094, ""keyword--keyword_in-->movie"": 32.09894561767578}","{""actor--acts_in-->movie"": 23, ""director--directs-->movie"": 23, ""keyword--keyword_in-->movie"": 23}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",138,207,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_base_clipped_r0p05_seed42.json
imdb,base,sqrt_weighted,42,0.05,0.3079325556755066,0.28175972402095795,5,1.5575614108111577,"{""actor--acts_in-->movie"": 0.9691847572395508, ""director--directs-->movie"": 0.960499932720968, ""keyword--keyword_in-->movie"": 0.9791922562755145}","{""actor--acts_in-->movie"": 41.82011413574219, ""director--directs-->movie"": 45.10154724121094, ""keyword--keyword_in-->movie"": 32.09894561767578}","{""actor--acts_in-->movie"": 23, ""director--directs-->movie"": 23, ""keyword--keyword_in-->movie"": 23}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",138,207,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_base_sqrt_weighted_r0p05_seed42.json
imdb,base,class_balanced,42,0.05,0.29606497287750244,0.2787683099508286,5,1.5957065326574131,"{""actor--acts_in-->movie"": 0.9691847572395508, ""director--directs-->movie"": 0.960499932720968, ""keyword--keyword_in-->movie"": 0.9791922562755145}","{""actor--acts_in-->movie"": 41.82011413574219, ""director--directs-->movie"": 45.10154724121094, ""keyword--keyword_in-->movie"": 32.09894561767578}","{""actor--acts_in-->movie"": 23, ""director--directs-->movie"": 23, ""keyword--keyword_in-->movie"": 23}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",138,207,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_base_class_balanced_r0p05_seed42.json
imdb,full_rplus,clipped,42,0.005,0.38101187348365784,0.34026184380054475,5,1.4872289885758743,"{""actor--acts_in-->movie"": 0.005538671010246352, ""director--directs-->movie"": 0.00022485038763166986, ""keyword--keyword_in-->movie"": 0.02580917333799905}","{""actor--acts_in-->movie"": 13.11690902709961, ""director--directs-->movie"": 12.374446868896484, ""keyword--keyword_in-->movie"": 8.995492935180664}","{""actor--acts_in-->movie"": 40, ""director--directs-->movie"": 38, ""keyword--keyword_in-->movie"": 28}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.4038727283477783, ""director--directs-->movie"": 1.4090012311935425, ""keyword--keyword_in-->movie"": 0.7894238233566284}",126,60,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_full_rplus_clipped_r0p005_seed42.json
