accuracy,actual_full_condensed_node_ratio,actual_ratio_error,byte_size_compression,condensed_nodes_total,dataset,effective_M_tau,macro_f1,planned_total_condensed_nodes,predicted_class_count,reason,requested_full_condensed_node_ratio,seed,shadow_nodes_total,source_log,status,variant,weighted_f1
0.8116147518157959,0.01197221714494608,-2.778285505392053e-05,0.011660664027315413,131,acm,52,0.8086167176564535,131,3,,0.012,42,79,,completed,V2_compiled_plus_lad,0.808399846483069
0.8054768443107605,0.024035825260464265,3.5825260464264486e-05,0.023408448261273106,263,acm,105,0.8086398045221964,263,3,,0.024,42,158,,completed,V2_compiled_plus_lad,0.8078186510465993
0.7983947396278381,0.04788886857978432,-0.00011113142021568212,0.04661216623361378,524,acm,209,0.7986892263094584,525,3,,0.048,42,315,,completed,V2_compiled_plus_lad,0.7982170955106254
0.8545798063278198,0.09513800036556389,-0.0008619996344361169,0.0925352349174625,1041,acm,411,0.8566728234291077,1050,3,,0.096,42,630,,completed,V2_compiled_plus_lad,0.8551485450745978
0.4732394218444824,0.012017758726270667,1.7758726270666533e-05,0.011802767332289745,314,dblp,157,0.4758960083127022,314,4,,0.012,42,157,,completed,V2_compiled_plus_lad,0.4790458684672702
0.5221831202507019,0.02399724433557869,-2.755664421309756e-06,0.02353798883678677,627,dblp,314,0.5019719004631042,627,4,,0.024,42,313,,completed,V2_compiled_plus_lad,0.5085784071791921
0.49577465653419495,0.04715248009797918,-0.0008475199020208241,0.046968009714849324,1232,dblp,605,0.47133808583021164,1254,4,,0.048,42,627,,completed,V2_compiled_plus_lad,0.47925181795146704
0.45704224705696106,0.09116656460502143,-0.004833435394978575,0.0933102746255948,2382,dblp,1128,0.474655419588089,2508,4,,0.096,42,1254,,completed,V2_compiled_plus_lad,0.4822737905486479
0.25515303015708923,0.011998132586367881,-1.8674136321190221e-06,0.01216995139164552,257,imdb,128,0.13137323074042798,257,5,,0.012,42,129,,completed,V2_compiled_plus_lad,0.15810329770745396
0.2760774493217468,0.023949579831932775,-5.042016806722574e-05,0.02429306083608969,513,imdb,256,0.10051294565200805,514,3,,0.024,42,257,,completed,V2_compiled_plus_lad,0.13303675588829977
0.07651467621326447,0.04747899159663865,-0.0005210084033613477,0.04814526497391317,1017,imdb,503,0.03880081921815872,1028,3,,0.048,42,514,,completed,V2_compiled_plus_lad,0.023389005920320418
0.12460961937904358,0.0873015873015873,-0.008698412698412705,0.08822093385013512,1870,imdb,842,0.08403765559196472,2056,5,,0.096,42,1028,,completed,V2_compiled_plus_lad,0.08211868413171218
0.5949015617370605,0.000501939849890459,1.939849890458963e-06,0.0003895976352178995,85,ogbn-arxiv,57,0.3284790597273968,85,32,,0.0005,42,28,,completed,V2_compiled_plus_lad,0.5829332448325607
0.601218044757843,0.002497888900043108,-2.111099956892109e-06,0.0019153418368503244,423,ogbn-arxiv,282,0.3961440743878484,423,39,,0.0025,42,141,,completed,V2_compiled_plus_lad,0.5910758931899516
0.5976585745811462,0.005001682974790809,1.6829747908090817e-06,0.0038364844695158735,847,ogbn-arxiv,565,0.41096515115350485,847,38,,0.005,42,282,,completed,V2_compiled_plus_lad,0.5943332800445478
0.5893716216087341,0.0005001982418338044,1.9824183380436587e-07,0.00012978197482058922,1225,ogbn-products,817,0.3270299478404303,1225,36,,0.0005,42,408,,completed,V2_compiled_plus_lad,0.5940009689854051
0.5732972621917725,0.0024952746578337784,-4.7253421662217e-06,0.0006471274286170314,6111,ogbn-products,4070,0.303316208018743,6123,35,,0.0025,42,2041,,completed,V2_compiled_plus_lad,0.5908750911210627
0.5883702635765076,0.004971358036184953,-2.8641963815047126e-05,0.0012889573793913092,12175,ogbn-products,8093,0.33655171734875344,12245,34,,0.005,42,4082,,completed,V2_compiled_plus_lad,0.6141501756397697
