dataset,ratio,variant,seed,status,accuracy,macro_f1,weighted_f1,predicted_class_count,prediction_entropy,condensed_nodes_total,condensed_edges_total,total_condensed_node_ratio,byte_size_compression,compiled_head,label_affinity,boundary_prototypes,loss_type,train_time_s,inference_time_s,lad_precompute_time_s,peak_cpu_ram_mb,peak_gpu_ram_mb,reason,source_log
acm,0.096,V0_current_best,42,completed,0.8172804713249207,0.8176755905151367,0.8159191554441708,3,1.081009120511331,269,619,0.024584171083896912,0.023474304635330984,False,False,False,,0.5691989,0.011533499999998753,0.0,8204439552,0,,experiments\logs\lad_stage_small_seed42\acm_V0_current_best_r0p096_seed42.json
acm,0.096,V1_compiled_demand_head,42,completed,0.7960339784622192,0.7926123738288879,0.7921992320465698,3,1.0750808952324484,269,619,0.024584171083896912,0.023474304635330984,True,False,False,,3.633826899999999,0.03538959999999847,0.000146900000000727,12065603584,0,,experiments\logs\lad_stage_small_seed42\acm_V1_compiled_demand_head_r0p096_seed42.json
acm,0.096,V2_compiled_plus_lad,42,completed,0.8083097338676453,0.8105141123135885,0.8097732968887585,3,1.0856846829729776,269,619,0.024584171083896912,0.023474304635330984,True,True,False,,4.299550199999999,0.03672830000000005,0.01826769999999911,13944016896,0,,experiments\logs\lad_stage_small_seed42\acm_V2_compiled_plus_lad_r0p096_seed42.json
acm,0.096,V3_compiled_lad_boundary,42,completed,0.8050047159194946,0.8073242902755737,0.8065229059509371,3,1.0933685648988365,246,638,0.02248217876073844,0.02152440240063398,True,True,True,,4.329662800000001,0.03221070000000026,0.01740660000000105,14041632768,0,,experiments\logs\lad_stage_small_seed42\acm_V3_compiled_lad_boundary_r0p096_seed42.json
dblp,0.005,V0_current_best,42,completed,0.8267605900764465,0.8201221227645874,0.8273060443764291,4,1.3736774385148574,48,16,0.001837109614206981,0.0022835630365091986,False,False,False,,0.28582560000000257,0.01849070000000097,0.0,13963698176,0,,experiments\logs\lad_stage_small_seed42\dblp_V0_current_best_r0p005_seed42.json
dblp,0.005,V1_compiled_demand_head,42,completed,0.3964788615703583,0.38616520166397095,0.3904537691015642,4,1.092154816954441,48,16,0.001837109614206981,0.0022835630365091986,True,False,False,,0.7538351999999975,0.016685400000000072,0.00015989999999987958,14016786432,0,,experiments\logs\lad_stage_small_seed42\dblp_V1_compiled_demand_head_r0p005_seed42.json
dblp,0.005,V2_compiled_plus_lad,42,completed,0.4320422410964966,0.4310012012720108,0.4306557582174181,4,1.1749893683807764,48,16,0.001837109614206981,0.0022835630365091986,True,True,False,,0.8598283999999978,0.015782200000003854,0.0040521000000026675,14021140480,0,,experiments\logs\lad_stage_small_seed42\dblp_V2_compiled_plus_lad_r0p005_seed42.json
dblp,0.005,V3_compiled_lad_boundary,42,completed,0.25070422887802124,0.10022522509098053,0.10050754980332444,1,-0.0,24,16,0.0009185548071034905,0.0006624631694839605,True,True,True,,0.8843444999999974,0.018655200000004868,0.0036016000000032022,14020358144,0,,experiments\logs\lad_stage_small_seed42\dblp_V3_compiled_lad_boundary_r0p005_seed42.json
dblp,0.065,V0_current_best,42,completed,0.8369718194007874,0.8299928903579712,0.8367709996264086,4,1.3678554889331707,237,79,0.009070728720146968,0.011275092492764167,False,False,False,,0.3754643999999985,0.018520999999999788,0.0,13985619968,0,,experiments\logs\lad_stage_small_seed42\dblp_V0_current_best_r0p065_seed42.json
dblp,0.065,V1_compiled_demand_head,42,completed,0.47535210847854614,0.49224110692739487,0.5006922458148684,4,1.1867891771166086,237,79,0.009070728720146968,0.011275092492764167,True,False,False,,1.336841200000002,0.018419300000005023,0.00015779999999665506,14016184320,0,,experiments\logs\lad_stage_small_seed42\dblp_V1_compiled_demand_head_r0p065_seed42.json
dblp,0.065,V2_compiled_plus_lad,42,completed,0.41830986738204956,0.42661868780851364,0.4322571968678704,4,1.109771060671064,237,79,0.009070728720146968,0.011275092492764167,True,True,False,,1.4927254999999988,0.02084430000000026,0.0045865999999961105,14019215360,0,,experiments\logs\lad_stage_small_seed42\dblp_V2_compiled_plus_lad_r0p065_seed42.json
