dataset,status,accuracy,macro_f1,num_predicted_classes,ablation,setting,seed,skeleton_coverage_mean,residual_energy_mean,shadow_recon_err_mean,prototype_train_acc
ogbn-arxiv,completed,0.255437,0.133410,40,target_target_skeleton,k_s=0,0,0.000000,1.000000,0.388754,0.990000
ogbn-arxiv,completed,0.271485,0.137674,40,target_target_skeleton,k_s=1,0,0.301307,0.754553,0.421147,1.000000
ogbn-arxiv,completed,0.269181,0.142760,40,target_target_skeleton,k_s=2,0,0.457864,0.656614,0.447813,0.995000
ogbn-arxiv,completed,0.249882,0.139978,40,target_target_skeleton,k_s=4,0,0.609360,0.580360,0.473593,1.000000
ogbn-arxiv,completed,0.274633,0.149031,40,target_target_skeleton,k_s=8,0,0.745354,0.530433,0.510030,1.000000
ogbn-products,completed,0.362215,0.115702,42,target_target_skeleton,k_s=0,0,0.000000,1.000000,0.441924,0.925311
ogbn-products,completed,0.361126,0.119247,42,target_target_skeleton,k_s=1,0,0.416920,0.817429,0.432470,0.925311
ogbn-products,completed,0.339135,0.107096,42,target_target_skeleton,k_s=2,0,0.542669,0.780884,0.443753,0.883817
ogbn-products,completed,0.345885,0.111946,42,target_target_skeleton,k_s=4,0,0.660861,0.733265,0.440795,0.904564
ogbn-products,completed,0.331947,0.117338,42,target_target_skeleton,k_s=8,0,0.769036,0.711273,0.454062,0.964730
