dataset,variant,seed,ratio,loss_type,accuracy,macro_f1,predicted_class_count,prediction_entropy,skeleton_coverage,mean_adaptive_k,residual_energy,shadow_recon_err,condensation_time,training_time,inference_time,condensed_nodes_total,condensed_edges_total,status,source_log
ogbn-arxiv,base,42,0.005,sqrt_weighted,0.4342530369758606,0.30146090597845615,40,3.139525302510763,0.5117444863508647,3.2582417726516724,0.6290512587122822,0.44770976760828574,16.5586777,0.6010673000000004,0.14487330000000043,683,3875,completed,experiments\logs\medium_diffusion_rplus_seed42\ogbn-arxiv_base_sqrt_weighted_r0p005_seed42.json
ogbn-arxiv,base,42,0.02,sqrt_weighted,0.39581918716430664,0.2668014784809202,40,3.206330698766266,0.503462048192566,3.218801498413086,0.7240363826936904,0.511445818457267,32.52385230000001,1.2373066999999978,0.14071739999999977,2729,15348,completed,experiments\logs\medium_diffusion_rplus_seed42\ogbn-arxiv_base_sqrt_weighted_r0p02_seed42.json
ogbn-arxiv,base,42,0.06,sqrt_weighted,0.3920745551586151,0.25640542688779533,40,3.275136218507184,0.689287549308628,2.7943496704101562,0.7633418544489787,0.5849378458552531,87.57780539999999,2.7257151999999962,0.1365545000000168,8177,41366,completed,experiments\logs\medium_diffusion_rplus_seed42\ogbn-arxiv_base_sqrt_weighted_r0p06_seed42.json
ogbn-arxiv,base,42,0.12,sqrt_weighted,0.4664115309715271,0.3059763543773443,40,3.1815910656229818,0.7904322733434241,2.380411744117737,0.7567030204952372,0.561910397680919,165.68017890000002,4.8007473999999775,0.13776480000001357,16251,73240,completed,experiments\logs\medium_diffusion_rplus_seed42\ogbn-arxiv_base_sqrt_weighted_r0p12_seed42.json
ogbn-arxiv,diffusion_X0X1X2_highpass_coverage,42,0.005,sqrt_weighted,0.5188774466514587,0.3614296388812363,40,2.9950558727732197,0.60796699746478,5.462637424468994,0.5720148392410769,0.4855411087737097,32.51451380000003,0.8668399999999679,0.21411150000000134,683,5881,completed,experiments\logs\medium_diffusion_rplus_seed42\ogbn-arxiv_diffusion_X0X1X2_highpass_coverage_sqrt_weighted_r0p005_seed42.json
ogbn-arxiv,diffusion_X0X1X2_highpass_coverage,42,0.02,sqrt_weighted,0.49605992436408997,0.33675456056371333,40,3.0459006425869766,0.6009200732012375,5.080538749694824,0.6794737312922414,0.5453526252505856,103.43584490000006,2.6128726999999685,0.22213449999998147,2729,22121,completed,experiments\logs\medium_diffusion_rplus_seed42\ogbn-arxiv_diffusion_X0X1X2_highpass_coverage_sqrt_weighted_r0p02_seed42.json
ogbn-arxiv,diffusion_X0X1X2_highpass_coverage,42,0.06,sqrt_weighted,0.5043104290962219,0.3317991591524333,40,3.0560538538802478,0.7019811001461314,3.5609397888183594,0.7490293971711623,0.6359625768135696,288.72313920000005,8.230502200000046,0.23344599999995808,8172,49696,completed,experiments\logs\medium_diffusion_rplus_seed42\ogbn-arxiv_diffusion_X0X1X2_highpass_coverage_sqrt_weighted_r0p06_seed42.json
ogbn-arxiv,diffusion_X0X1X2_highpass_coverage,42,0.12,sqrt_weighted,0.5215521454811096,0.3456042014062405,40,3.0696461358294522,0.7662070919999207,2.7536699771881104,0.7556335508892043,0.6099336122243779,592.0368809999999,13.247466400000121,0.21888300000000527,16247,81312,completed,experiments\logs\medium_diffusion_rplus_seed42\ogbn-arxiv_diffusion_X0X1X2_highpass_coverage_sqrt_weighted_r0p12_seed42.json
ogbn-arxiv,diffusion_X0X1,42,0.06,sqrt_weighted,0.4668847620487213,0.3062429260928184,40,3.1290489927943232,0.726463471833189,2.762380838394165,0.7025456161537649,0.6140063990011175,153.5010562,6.140402100000074,0.19810549999988325,8178,41025,completed,experiments\logs\medium_diffusion_rplus_seed42\ogbn-arxiv_diffusion_X0X1_sqrt_weighted_r0p06_seed42.json
ogbn-arxiv,diffusion_X0X1X2,42,0.06,sqrt_weighted,0.4921918511390686,0.3375731114298105,40,3.0944331466685373,0.7311163248335413,2.733174443244934,0.6789538387919178,0.6049003407324556,229.7330912,8.059737000000041,0.19854370000007293,8181,40714,completed,experiments\logs\medium_diffusion_rplus_seed42\ogbn-arxiv_diffusion_X0X1X2_sqrt_weighted_r0p06_seed42.json
ogbn-arxiv,diffusion_highpass_coverage_adaptive,42,0.06,sqrt_weighted,0.49235644936561584,0.3272823628503829,40,3.106726706272221,0.7019811001461314,3.5609397888183594,0.7490293971711623,0.7359799513656442,280.3119987,4.745835199999874,0.2148131999999805,6199,71672,completed,experiments\logs\medium_diffusion_rplus_seed42\ogbn-arxiv_diffusion_highpass_coverage_adaptive_sqrt_weighted_r0p06_seed42.json
ogbn-arxiv,diffusion_X0X1X2_highpass_coverage,42,0.06,sqrt_weighted_logit_adjusted,0.5368598699569702,0.34021709898952396,39,2.849392537110771,0.7019811001461314,3.5609397888183594,0.7490293971711623,0.6359625768135696,300.6327086000001,4.950678799999878,0.21859660000018266,8172,49696,completed,experiments\logs\medium_diffusion_rplus_seed42\ogbn-arxiv_diffusion_X0X1X2_highpass_coverage_sqrt_weighted_logit_adjusted_r0p06_seed42.json
ogbn-products,base,42,0.005,sqrt_weighted,0.4335379898548126,0.1954471186358244,41,2.936237522847118,0.6026291226899436,3.98341965675354,0.7553234754313707,0.41287017924413094,33.76563920000035,0.9532457999998769,17.32966149999993,1449,9618,completed,experiments\logs\medium_diffusion_rplus_seed42\ogbn-products_base_sqrt_weighted_r0p005_seed42.json
ogbn-products,base,42,0.02,sqrt_weighted,0.46968334913253784,0.21544706819460113,41,2.956650512491842,0.5233044746968343,3.971348285675049,0.8254163245357571,0.5603753405267786,83.44360640000014,2.6598337000000356,17.428148699999838,5865,38866,completed,experiments\logs\medium_diffusion_rplus_seed42\ogbn-products_base_sqrt_weighted_r0p02_seed42.json
ogbn-products,base,42,0.06,sqrt_weighted,0.5500541925430298,0.24510554244068075,40,2.891099754926774,0.4780092570885389,3.953850030899048,0.8422089812819087,0.5263779891137033,212.3288950000001,10.801848999999947,15.305045099999916,17454,115286,completed,experiments\logs\medium_diffusion_rplus_seed42\ogbn-products_base_sqrt_weighted_r0p06_seed42.json
