generated_at,git_commit,config_hash,run_id,dataset,method,M_tau_requested,M_tau_effective,feature_dim,projection_type,loss_type,model,status,shadow_mode,self_only,accuracy,macro_f1,num_predicted_classes,condensation_time,training_time,inference_time
2026-06-07T08:58:13Z,9980773,f378a932a4df2f7c,ogbn-arxiv-Full-WRL-GNN-seedna-f378a932,ogbn-arxiv,Full-WRL-GNN,,,128,random,sqrt_weighted,relation_mlp,completed,,,0.607864,0.377149,39,,289.861883,
2026-06-07T08:48:54Z,9980773,6a7a35b53801e43e,ogbn-arxiv-Shadow-HGC-R-1-seed0-6a7a35b5,ogbn-arxiv,Shadow-HGC-R-1,200,200,128,random,clipped,relation_mlp,completed,virtual_demand_shadow,False,0.235212,0.132233,40,8.702426,0.829826,0.318626
2026-06-07T08:39:44Z,9980773,3128647a37baf36a,ogbn-arxiv-Shadow-HGC-R-1-seed0-3128647a,ogbn-arxiv,Shadow-HGC-R-1,200,200,128,random,sqrt_weighted,relation_mlp,completed,virtual_demand_shadow,False,0.249882,0.139978,40,9.061548,0.770917,0.322161
2026-06-07T08:39:56Z,9980773,00dab47b2605ad57,ogbn-arxiv-Shadow-HGC-R-1-seed0-00dab47b,ogbn-arxiv,Shadow-HGC-R-1,400,400,128,random,sqrt_weighted,relation_mlp,completed,virtual_demand_shadow,False,0.247783,0.147806,40,10.629567,1.115952,0.330019
2026-06-07T08:40:14Z,9980773,d224a3dae065259f,ogbn-arxiv-Shadow-HGC-R-1-seed0-d224a3da,ogbn-arxiv,Shadow-HGC-R-1,800,800,128,random,sqrt_weighted,relation_mlp,completed,virtual_demand_shadow,False,0.281773,0.151845,40,15.854374,1.773328,0.324568
2026-06-07T08:48:34Z,9980773,a3bc6b364ef2d1d7,ogbn-arxiv-Shadow-HGC-R-1-seed0-a3bc6b36,ogbn-arxiv,Shadow-HGC-R-1,200,200,128,random,sqrt_weighted,relation_mlp,completed,private_shadow,False,0.284900,0.142879,40,8.368952,1.049648,0.320470
2026-06-07T08:48:15Z,9980773,74f3fdb97534237a,ogbn-arxiv-Self-Only-MLP-seed0-74f3fdb9,ogbn-arxiv,Self-Only-MLP,200,200,128,random,sqrt_weighted,relation_mlp,completed,virtual_demand_shadow,True,0.253256,0.148397,40,8.394739,0.495522,0.080369
2026-06-07T08:58:29Z,9980773,dc312428e882bae1,ogbn-products-Full-WRL-GNN-seedna-dc312428,ogbn-products,Full-WRL-GNN,,,128,random,sqrt_weighted,relation_mlp,resource_guard_infeasible,,,,,,,,
2026-06-07T08:52:22Z,9980773,942b29921771c59f,ogbn-products-Shadow-HGC-R-1-seed0-942b2992,ogbn-products,Shadow-HGC-R-1,500,500,128,random,clipped,relation_mlp,completed,virtual_demand_shadow,False,0.363443,0.113410,40,25.316264,1.342026,35.763455
2026-06-07T08:33:46Z,9980773,f5fa3b55d8ad5775,ogbn-products-Shadow-HGC-R-1-seed0-f5fa3b55,ogbn-products,Shadow-HGC-R-1,1000,1000,128,random,sqrt_weighted,relation_mlp,completed,virtual_demand_shadow,False,0.410254,0.146595,42,30.230989,2.060390,33.340013
2026-06-07T08:35:08Z,9980773,832c54a8c9b2dcac,ogbn-products-Shadow-HGC-R-1-seed0-832c54a8,ogbn-products,Shadow-HGC-R-1,2000,2000,128,random,sqrt_weighted,relation_mlp,completed,virtual_demand_shadow,False,0.468497,0.174470,42,44.080854,3.723592,33.555751
2026-06-07T08:32:40Z,9980773,7ebccdc037bcddce,ogbn-products-Shadow-HGC-R-1-seed0-7ebccdc0,ogbn-products,Shadow-HGC-R-1,500,500,128,random,sqrt_weighted,relation_mlp,completed,virtual_demand_shadow,False,0.345885,0.111946,42,24.217644,1.262360,35.119033
2026-06-07T08:50:52Z,9980773,f01ec80c012e5462,ogbn-products-Shadow-HGC-R-1-seed0-f01ec80c,ogbn-products,Shadow-HGC-R-1,500,500,128,random,sqrt_weighted,relation_mlp,completed,private_shadow,False,0.358109,0.122428,42,23.537807,1.934323,35.172356
2026-06-07T08:49:43Z,9980773,372b7d6d62534687,ogbn-products-Self-Only-MLP-seed0-372b7d6d,ogbn-products,Self-Only-MLP,500,500,128,random,sqrt_weighted,relation_mlp,completed,virtual_demand_shadow,True,0.323488,0.104468,42,23.075716,0.752344,1.411499
