dataset,variant,seed,status,requested_ratio,ratio_mode,total_condensed_node_ratio,accuracy,macro_f1,weighted_f1,predicted_class_count,prediction_entropy,model_type,prototype_mode,loss_type,use_diffusion,lad_blocks,two_hop_lad_blocks,block_norm_stats_source,train_time,condense_time,infer_time,peak_cpu_ram,peak_gpu_ram,reason,source_log
ogbn-arxiv,LAD_reference,42,completed,0.06,target_only,0.03663570386729891,0.590210497379303,0.40769136818125845,0.5825832531998022,39,2.6540735054412306,compiled_demand_mlp,,,False,"[""target_target_LAD""]",[],,46.0257445,61.7888279,0.14451719999999568,3191156736,0,,experiments\logs\lad_stage_medium_seed42\ogbn-arxiv_V2_compiled_plus_lad_r0p06_seed42.json
ogbn-arxiv,LAD_plus_two_hop_LAD,42,completed,0.06,target_only,0.03663570386729891,0.33508220314979553,0.1428937314078212,0.3092142145113075,34,2.1956442266826786,compiled_demand_mlp,kmeans_mean,,False,"[""target_target_LAD""]","[""P2""]",train_full_demand_table,16.019351900000004,72.1702064,0.20866399999999885,3289612288,0,,experiments\logs\medium_no_diffusion_refine_seed42\ogbn-arxiv_LAD_plus_two_hop_LAD_r0p06_seed42.json
ogbn-arxiv,LAD_plus_two_hop_LAD_plus_lad_fusion_head,42,completed,0.06,target_only,0.03663570386729891,0.3188897669315338,0.09305294038495049,0.2785777039495524,24,1.8563523388394854,compiled_demand_mlp,kmeans_mean,,False,"[""target_target_LAD""]","[""P2""]",train_full_demand_table,35.28046800000001,66.6552895,0.5517992000000049,4253028352,0,,experiments\logs\medium_no_diffusion_refine_seed42\ogbn-arxiv_LAD_plus_two_hop_LAD_plus_lad_fusion_head_r0p06_seed42.json
ogbn-arxiv,LAD_reference,42,completed,0.12,target_only,0.06941532865249818,0.5967738628387451,0.4154518236406147,0.5901925861726638,40,2.6817222595210155,compiled_demand_mlp,,,False,"[""target_target_LAD""]",[],,93.01126769999996,113.21945930000015,0.1638629999999921,3757772800,0,,experiments\logs\lad_stage_medium_seed42\ogbn-arxiv_V2_compiled_plus_lad_r0p12_seed42.json
ogbn-arxiv,LAD_plus_two_hop_LAD,42,completed,0.12,target_only,0.06941532865249818,0.22848384082317352,0.05985004580579698,0.1625202281311212,21,1.7719138197328963,compiled_demand_mlp,kmeans_mean,,False,"[""target_target_LAD""]","[""P2""]",train_full_demand_table,30.726580100000035,121.62328659999994,0.2119855000000257,3759157248,0,,experiments\logs\medium_no_diffusion_refine_seed42\ogbn-arxiv_LAD_plus_two_hop_LAD_r0p12_seed42.json
ogbn-arxiv,LAD_plus_two_hop_LAD_plus_lad_fusion_head,42,completed,0.12,target_only,0.06941532865249818,0.22665268182754517,0.019331736117601396,0.09977783484552659,2,0.28598410521796364,compiled_demand_mlp,kmeans_mean,,False,"[""target_target_LAD""]","[""P2""]",train_full_demand_table,74.58598110000003,122.19741059999996,0.6008315000000266,5456957440,0,,experiments\logs\medium_no_diffusion_refine_seed42\ogbn-arxiv_LAD_plus_two_hop_LAD_plus_lad_fusion_head_r0p12_seed42.json
ogbn-products,LAD_reference,42,completed,0.06,target_only,0.00502239867310677,0.6223331689834595,0.3307438173598828,0.6198897517860501,32,2.5939438364411784,compiled_demand_mlp,,,False,"[""target_target_LAD""]",[],,98.77729880000015,233.56194489999984,59.68646169999988,9485344768,0,,experiments\logs\lad_stage_medium_seed42\ogbn-products_V2_compiled_plus_lad_r0p06_seed42.json
ogbn-products,LAD_plus_two_hop_LAD,42,oom,0.06,train_target,,,,,,,,,,False,[],"[""P2""]",,,,,,,[enforce fail at alloc_cpu.cpp:121] data. DefaultCPUAllocator: not enough memory: you tried to allocate 23259036640 bytes.,experiments\logs\medium_no_diffusion_refine_seed42\ogbn-products_LAD_plus_two_hop_LAD_r0p06_seed42.json
ogbn-products,LAD_plus_two_hop_LAD_plus_lad_fusion_head,42,oom,0.06,train_target,,,,,,,,,,False,[],"[""P2""]",,,,,,,[enforce fail at alloc_cpu.cpp:121] data. DefaultCPUAllocator: not enough memory: you tried to allocate 23259036640 bytes.,experiments\logs\medium_no_diffusion_refine_seed42\ogbn-products_LAD_plus_two_hop_LAD_plus_lad_fusion_head_r0p06_seed42.json
ogbn-products,LAD_plus_balanced_softmax,42,oom,0.06,train_target,,,,,,,,,,False,[],"[""P2""]",,,,,,,[enforce fail at alloc_cpu.cpp:121] data. DefaultCPUAllocator: not enough memory: you tried to allocate 23259036640 bytes.,experiments\logs\medium_no_diffusion_refine_seed42\ogbn-products_LAD_plus_balanced_softmax_r0p06_seed42.json
