dataset,method,feature_dim,projection_type,loss_type,model,accuracy_std,macro_f1_std,status,accuracy,macro_f1,skeleton_coverage_mean,residual_energy_mean,shadow_recon_err_mean,prototype_train_acc,ratio,ratio_base,budget_mode,requested_target_budget,effective_target_prototypes,M_requested,M_effective,num_train_target_nodes,num_train_classes,min_proto_per_class,baseline_match_mode,baseline_budget,shadow_condensed_nodes_total,shadow_nodes_total,condensed_nodes_total,condensed_edges_total,effective_target_ratio,condensed_node_ratio_to_train_target,condensed_node_ratio_to_all_task_nodes,predicted_classes,condense_s,train_s,infer_s,peak_cpu_ram_gb,peak_gpu_ram_gb,source_log
ogbn-arxiv,Herding-HG,128,random,,,0.000000,,completed,0.314199,,,,,,0.001,train_target,ratio,160,160,160,160,,,,target_ratio,160,240,,160,0,,0.001759382456757678,0.0009448279527349817,,0.000000,0.202246,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-arxiv_Herding_HG_target_ratio_r0p001_seed0.json
ogbn-arxiv,Herding-HG,128,random,,,0.000000,,completed,0.326935,,,,,,0.0025,train_target,ratio,227,227,227,227,,,,target_ratio,227,341,,227,0,,0.002496123860524956,0.0013404746579427553,,0.000000,0.184266,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-arxiv_Herding_HG_target_ratio_r0p0025_seed0.json
ogbn-arxiv,Herding-HG,128,random,,,0.000000,,completed,0.316400,,,,,,0.005,train_target,ratio,455,455,455,455,,,,target_ratio,455,683,,455,0,,0.005003243861404647,0.002686854490590104,,0.000000,0.188663,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-arxiv_Herding_HG_target_ratio_r0p005_seed0.json
ogbn-arxiv,Herding-HG,128,random,,,0.000000,,completed,0.316812,,,,,,0.01,train_target,ratio,909,909,909,909,,,,target_ratio,909,1365,,909,0,,0.009995491582454559,0.005367803806475615,,0.000000,0.241000,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-arxiv_Herding_HG_target_ratio_r0p01_seed0.json
ogbn-arxiv,K-Center-HG,128,random,,,0.000000,,completed,0.174104,,,,,,0.001,train_target,ratio,160,160,160,160,,,,target_ratio,160,240,,160,0,,0.001759382456757678,0.0009448279527349817,,0.000000,0.178831,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-arxiv_K_Center_HG_target_ratio_r0p001_seed0.json
ogbn-arxiv,K-Center-HG,128,random,,,0.000000,,completed,0.186347,,,,,,0.0025,train_target,ratio,227,227,227,227,,,,target_ratio,227,341,,227,0,,0.002496123860524956,0.0013404746579427553,,0.000000,0.177435,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-arxiv_K_Center_HG_target_ratio_r0p0025_seed0.json
ogbn-arxiv,K-Center-HG,128,random,,,0.000000,,completed,0.186799,,,,,,0.005,train_target,ratio,455,455,455,455,,,,target_ratio,455,683,,455,0,,0.005003243861404647,0.002686854490590104,,0.000000,0.208350,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-arxiv_K_Center_HG_target_ratio_r0p005_seed0.json
ogbn-arxiv,K-Center-HG,128,random,,,0.000000,,completed,0.219554,,,,,,0.01,train_target,ratio,909,909,909,909,,,,target_ratio,909,1365,,909,0,,0.009995491582454559,0.005367803806475615,,0.000000,0.231915,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-arxiv_K_Center_HG_target_ratio_r0p01_seed0.json
ogbn-arxiv,Random-HG,128,random,,,0.000000,,completed,0.240150,,,,,,0.001,train_target,ratio,160,160,160,160,,,,target_ratio,160,240,,160,0,,0.001759382456757678,0.0009448279527349817,,0.000000,0.185385,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-arxiv_Random_HG_target_ratio_r0p001_seed0.json
ogbn-arxiv,Random-HG,128,random,,,0.000000,,completed,0.248503,,,,,,0.0025,train_target,ratio,227,227,227,227,,,,target_ratio,227,341,,227,0,,0.002496123860524956,0.0013404746579427553,,0.000000,0.193197,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-arxiv_Random_HG_target_ratio_r0p0025_seed0.json
