dataset,seed,ratio,ratio_percent,status,method,loss_type,model,projection_type,requested_target_budget,effective_target_prototypes,shadow_nodes_total,condensed_nodes_total,condensed_edges_total,effective_target_ratio,condensed_node_ratio_to_train_target,accuracy,macro_f1,predicted_classes,skeleton_coverage_mean,residual_energy_mean,shadow_recon_err_mean,condense_s,train_s,infer_s,peak_cpu_ram_gb,peak_gpu_ram_gb,source_log
ogbn-arxiv,42,0.005,0.5,completed,Shadow-HGC-R-1,,relation_linear,random,455,455,228,683,3875,0.005003243861404647,0.0075103638622843385,0.42931506037712097,0.2955814555287361,40,0.5117444589547687,0.6290481871064202,0.45420081493119413,22.8612632,0.7816428999999978,0.1347795000000005,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p005_seed42.json
ogbn-arxiv,42,0.01,1.0,completed,Shadow-HGC-R-1,,relation_linear,random,909,909,456,1365,7715,0.009995491582454559,0.015009731584213941,0.40507787466049194,0.28314889832399787,40,0.47171307789492056,0.6787245005874591,0.44902608542344047,26.238939300000002,1.0748730999999978,0.13818880000000178,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p01_seed42.json
ogbn-arxiv,42,0.015,1.5,completed,Shadow-HGC-R-1,,relation_linear,random,1364,1364,682,2046,11484,0.014998735443859205,0.022498103165788808,0.40032508969306946,0.2658639374189079,40,0.48204687764640375,0.7129868402249637,0.4707350958086156,33.371670200000004,1.180384900000007,0.1357062999999954,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p015_seed42.json
ogbn-arxiv,42,0.02,2.0,completed,Shadow-HGC-R-1,,relation_linear,random,1819,1819,910,2729,15348,0.020001979305263852,0.030008467028073145,0.4020945131778717,0.2695910325739533,40,0.5034620624361141,0.7241930832142834,0.5101381358682776,40.70865149999999,2.3902716000000055,0.14086120000001756,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p02_seed42.json
ogbn-arxiv,42,0.025,2.5,completed,Shadow-HGC-R-1,,relation_linear,random,2274,2274,1138,3412,18971,0.0250052231666685,0.037518830890357485,0.3997489809989929,0.2615161027293652,40,0.5283059028164858,0.7281509377407778,0.5281395252359737,48.969392200000044,1.54948109999998,0.12573789999999008,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p025_seed42.json
ogbn-arxiv,42,0.03,3.0,completed,Shadow-HGC-R-1,,relation_linear,random,2728,2728,1364,4092,22436,0.02999747088771841,0.044996206331577616,0.386766254901886,0.26442691865377127,40,0.5628134682505275,0.7448242448721548,0.5916103576126124,57.73312809999999,1.643136400000003,0.12356099999999515,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p03_seed42.json
ogbn-arxiv,42,0.035,3.5000000000000004,completed,Shadow-HGC-R-1,,relation_linear,random,3183,3180,1590,4770,25828,0.03496772632805885,0.05245158949208828,0.3860255479812622,0.255353250564076,40,0.5847939179140633,0.7515534766889826,0.5829753397462561,61.51371339999994,1.778934500000048,0.11816379999999072,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p035_seed42.json
ogbn-arxiv,42,0.04,4.0,completed,Shadow-HGC-R-1,,relation_linear,random,3638,3637,1820,5457,29145,0.03999296247017297,0.060005937915791556,0.3976297676563263,0.2630734008038417,40,0.6118567686478491,0.7530577706121171,0.6109073530654046,70.61998990000001,2.0029243999999835,0.14607910000000857,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p04_seed42.json
ogbn-arxiv,42,0.045,4.5,completed,Shadow-HGC-R-1,,relation_linear,random,4092,4088,2044,6132,32468,0.044952221770158673,0.06742833265523801,0.3799765408039093,0.2579375554807484,40,0.6281356564017215,0.7533723346213071,0.623940183129474,75.3332514,6.377889999999979,0.13411220000000412,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p045_seed42.json
ogbn-arxiv,42,0.05,5.0,completed,Shadow-HGC-R-1,,relation_linear,random,4547,4544,2272,6816,35450,0.049966461771918054,0.07494969265787708,0.40032508969306946,0.2638294787378982,40,0.6559055552153198,0.7581696210402613,0.5953672227949378,84.54122550000017,3.01839439999992,0.13342149999994035,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p05_seed42.json
ogbn-arxiv,42,0.055,5.5,completed,Shadow-HGC-R-1,,relation_linear,random,5002,4996,2498,7494,38479,0.0549367172122585,0.08240507581838774,0.4013538360595703,0.25969743593595923,40,0.6699753429599422,0.7593699142001143,0.5765389616929579,90.56629029999999,2.5466423000000304,0.12503479999998035,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p055_seed42.json
ogbn-arxiv,42,0.06,6.0,completed,Shadow-HGC-R-1,,relation_linear,random,5456,5451,2726,8177,41366,0.059939961073663145,0.08991543968067209,0.3916424810886383,0.25749494023621083,40,0.6892875370109555,0.7631851033000903,0.585821491299482,96.76086980000014,2.9884935999999698,0.12760929999990367,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p06_seed42.json
ogbn-arxiv,42,0.065,6.5,completed,Shadow-HGC-R-1,,relation_linear,random,5911,5899,2950,8849,44171,0.06486623195258465,0.09730484599905433,0.40911054611206055,0.26437612804584204,40,0.699070930950376,0.760158854652883,0.5843775142393967,104.14562990000002,2.8812642000000324,0.12141509999992195,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p065_seed42.json
ogbn-arxiv,42,0.07,7.000000000000001,completed,Shadow-HGC-R-1,,relation_linear,random,6366,6361,3182,9543,47221,0.06994644879647244,0.10493616740524075,0.41236138343811035,0.26950410057324914,40,0.7119580380164832,0.7587699646316959,0.5824344938205921,112.54288020000013,3.2044102999999495,0.12535059999993337,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p07_seed42.json
ogbn-arxiv,42,0.075,7.5,completed,Shadow-HGC-R-1,,relation_linear,random,6821,6803,3402,10205,50017,0.07480674283326552,0.11221561232007565,0.4064975380897522,0.26214292137883605,40,0.7197296536238885,0.7605957705055497,0.5801698566367712,119.0187056000002,3.184982199999922,0.12239759999988564,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p075_seed42.json
ogbn-arxiv,42,0.08,8.0,completed,Shadow-HGC-R-1,,relation_linear,random,7275,7264,3632,10896,52823,0.07987596353679859,0.11981394530519787,0.41801947355270386,0.2690262251533568,40,0.7354717179916729,0.7579289521268535,0.577186119223277,128.54055820000008,3.551406199999974,0.1195365999999467,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p08_seed42.json
ogbn-arxiv,42,0.085,8.5,completed,Shadow-HGC-R-1,,relation_linear,random,7730,7710,3856,11566,54986,0.0847802421350106,0.12718135934287064,0.42116740345954895,0.27419111526105555,40,0.7474877092691709,0.7622402987793915,0.5793646652077244,132.8227942000001,7.510029099999883,0.1408261000001403,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p085_seed42.json
ogbn-arxiv,42,0.09,9.0,completed,Shadow-HGC-R-1,,relation_linear,random,8185,8164,4082,12246,58113,0.08977248985606053,0.1346587347840908,0.4290475845336914,0.28579283903818575,40,0.7537734593257966,0.7595324143928701,0.5800647038794616,139.3221653999999,7.779280500000141,0.13420719999999164,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p09_seed42.json
ogbn-arxiv,42,0.095,9.5,completed,Shadow-HGC-R-1,,relation_linear,random,8639,8608,4304,12912,60453,0.09465477617356308,0.14198216426034463,0.4414336681365967,0.2846744780195877,40,0.7610229165377034,0.7610738015463563,0.5773839570667618,146.6043327,4.325810499999989,0.13036940000006325,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p095_seed42.json
ogbn-arxiv,42,0.1,10.0,completed,Shadow-HGC-R-1,,relation_linear,random,9094,9045,4524,13569,63256,0.09946008950858248,0.14920662847340582,0.4355286657810211,0.28530228792224077,40,0.7699295733175717,0.7609397583816865,0.5710748533953717,157.79291639999997,4.962323699999843,0.12351280000007137,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p1_seed42.json
ogbn-arxiv,42,0.105,10.5,completed,Shadow-HGC-R-1,,relation_linear,random,9549,9497,4750,14247,65333,0.10443034494892293,0.1566620116339165,0.44567206501960754,0.2916109571233392,40,0.7756658471675355,0.7608752553329879,0.5698471821931561,161.92607129999988,4.547152600000118,0.12249289999999746,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p105_seed42.json
ogbn-arxiv,42,0.11,11.0,completed,Shadow-HGC-R-1,,relation_linear,random,10004,9947,4974,14921,68432,0.1093786081085539,0.16407341023300823,0.4450753927230835,0.29176984550431373,40,0.7799237742347591,0.7577076081442264,0.5681902885772435,170.59450749999996,4.437408799999957,0.12322300000005271,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p11_seed42.json
ogbn-arxiv,42,0.115,11.5,completed,Shadow-HGC-R-1,,relation_linear,random,10458,10387,5194,15581,70904,0.1142169098646375,0.17133086286713364,0.4640865921974182,0.305580121697858,40,0.7871185012699309,0.757587057295218,0.5665709674666473,173.6862812999998,5.2071468999997705,0.11881930000026841,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p115_seed42.json
ogbn-arxiv,42,0.12,12.0,completed,Shadow-HGC-R-1,,relation_linear,random,10913,10833,5418,16251,73240,0.11912118846284954,0.1786982769048064,0.4697240889072418,0.31029988727532326,40,0.7904322971679525,0.7566259168186158,0.5650064825584467,183.8876292,4.867803800000274,0.1230108999998265,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-arxiv_r0p12_seed42.json
ogbn-products,42,0.005,0.5,completed,Shadow-HGC-R-1,,relation_linear,random,983,965,484,1449,9618,0.0049080690689927015,0.007369732726394222,0.42951464653015137,0.19284217031375367,40,0.6026291443343644,0.7553419940260974,0.41480812917699156,42.27232309999954,1.1018405999998322,49.80002330000025,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-products_r0p005_seed42.json
ogbn-products,42,0.01,1.0,completed,Shadow-HGC-R-1,,relation_linear,random,1966,1948,974,2922,19410,0.009907687612847443,0.014861531419271164,0.4252893328666687,0.19464752576908373,41,0.5586945072957413,0.7740404613140449,0.42914931305328097,71.42173170000024,1.567425600000206,61.21959629999992,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-products_r0p01_seed42.json
ogbn-products,42,0.015,1.5,completed,Shadow-HGC-R-1,,relation_linear,random,2949,2931,1466,4397,29152,0.014907306156702185,0.022363502276021668,0.4425489008426666,0.1967147048661842,40,0.5380853030179015,0.7877035031726634,0.4293550930241431,100.11847829999988,2.442382500000349,67.53515549999975,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-products_r0p015_seed42.json
ogbn-products,42,0.02,2.0,completed,Shadow-HGC-R-1,,relation_linear,random,3932,3909,1956,5865,38866,0.019881494290873027,0.02982987055921471,0.47438493371009827,0.21623058202973705,41,0.5233045366020987,0.8254491418782756,0.557784884557135,116.3281978,2.761025199999949,68.29144750000023,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-products_r0p02_seed42.json
ogbn-products,42,0.025,2.5,completed,Shadow-HGC-R-1,,relation_linear,random,4915,4887,2444,7331,48528,0.02485568242504387,0.037286066678534194,0.4870784878730774,0.21512042606705206,41,0.5162384136591596,0.8106212810252005,0.45948663728264094,137.1796191000003,3.3270786999996744,61.38196710000011,,,experiments\logs\medium_ratio_sweep_seed42_20260608\ogbn-products_r0p025_seed42.json
