dataset,variant,seed,status,reason,requested_ratio,fullgraph_gate_passed,promoted,diagnostic_only,invalid_reasons,accuracy,macro_f1,weighted_f1,predicted_class_count,total_condensed_node_ratio,model_type,feature_mode,metapath_blocks,path_lad_blocks,loss_type,hidden_dim,dropout,lr,use_kd,use_diffusion,use_source_anchors,use_coverage_medoid,block_norm_stats_source,teacher_val_acc,kd_gate_passed,kd_skip_reason,source_log
ogbn-products,LAD_reference,42,diagnostic_existing,existing no-diffusion LAD_reference diagnostic retained; no P2/diffusion path run,0.06,False,False,True,[],0.6223331689834595,0.3307438173598828,0.6198897517860501,32,0.00502239867310677,compiled_demand_mlp,schema_default_metapath,[],[],,,,,False,False,False,False,,,False,,experiments\logs\lad_stage_medium_seed42\ogbn-products_V2_compiled_plus_lad_r0p06_seed42.json
ogbn-products,LAD_reference_balanced_softmax,42,skipped_blocked_by_fullgraph_backbone,ogbn-products fullgraph teacher gate did not pass; products P2/diffusion paths are not run,0.06,False,False,True,[],,,,,,compiled_demand_mlp,label_affinity,[],[],,,,,False,False,False,False,,,False,,
ogbn-products,LAD_reference_logit_adjusted,42,skipped_blocked_by_fullgraph_backbone,ogbn-products fullgraph teacher gate did not pass; products P2/diffusion paths are not run,0.06,False,False,True,[],,,,,,compiled_demand_mlp,label_affinity,[],[],,,,,False,False,False,False,,,False,,
ogbn-products,LAD_reference_label_smoothing,42,skipped_blocked_by_fullgraph_backbone,ogbn-products fullgraph teacher gate did not pass; products P2/diffusion paths are not run,0.06,False,False,True,[],,,,,,compiled_demand_mlp,label_affinity,[],[],,,,,False,False,False,False,,,False,,
ogbn-products,stronger_table_head,42,skipped_blocked_by_fullgraph_backbone,ogbn-products fullgraph teacher gate did not pass; products P2/diffusion paths are not run,0.06,False,False,True,[],,,,,,compiled_demand_mlp,label_affinity,[],[],,,,,False,False,False,False,,,False,,
ogbn-products,LAD_reference,42,diagnostic_existing,existing no-diffusion LAD_reference diagnostic retained; no P2/diffusion path run,0.12,False,False,True,[],0.6586742401123047,0.3380637136387064,0.6392481988240344,31,0.009596048066396927,compiled_demand_mlp,schema_default_metapath,[],[],,,,,False,False,False,False,,,False,,experiments\logs\lad_stage_medium_seed42\ogbn-products_V2_compiled_plus_lad_r0p12_seed42.json
ogbn-products,LAD_reference_balanced_softmax,42,skipped_blocked_by_fullgraph_backbone,ogbn-products fullgraph teacher gate did not pass; products P2/diffusion paths are not run,0.12,False,False,True,[],,,,,,compiled_demand_mlp,label_affinity,[],[],,,,,False,False,False,False,,,False,,
ogbn-products,LAD_reference_logit_adjusted,42,skipped_blocked_by_fullgraph_backbone,ogbn-products fullgraph teacher gate did not pass; products P2/diffusion paths are not run,0.12,False,False,True,[],,,,,,compiled_demand_mlp,label_affinity,[],[],,,,,False,False,False,False,,,False,,
ogbn-products,LAD_reference_label_smoothing,42,skipped_blocked_by_fullgraph_backbone,ogbn-products fullgraph teacher gate did not pass; products P2/diffusion paths are not run,0.12,False,False,True,[],,,,,,compiled_demand_mlp,label_affinity,[],[],,,,,False,False,False,False,,,False,,
ogbn-products,stronger_table_head,42,skipped_blocked_by_fullgraph_backbone,ogbn-products fullgraph teacher gate did not pass; products P2/diffusion paths are not run,0.12,False,False,True,[],,,,,,compiled_demand_mlp,label_affinity,[],[],,,,,False,False,False,False,,,False,,
