dataset,seed,ratio,relation,accuracy,macro_f1,stable_rank,entropy_effective_rank,shadow_recon_err,relation_demand_norm_mean,relation_demand_norm_median,relation_demand_norm_q95,relation_demand_norm_q995,shadow_feature_norm_mean,shadow_feature_norm_q995,status,source_log
acm,42,0.005,paper--cite_ref-->paper,0.5925401449203491,0.5004592342302203,1.107582379075513,1.375603199005127,0.2268968989126057,2524.88330078125,5.238132953643799,10062.328125,11887.19140625,2232.23681640625,10375.646484375,completed,experiments\logs\rplus_rank_diagnostics_seed42\acm_r0p005_seed42.json
acm,42,0.005,paper--cited_by-->paper,0.5925401449203491,0.5004592342302203,1.3331745456080042,1.7557120323181152,0.17551398191691808,1017.08837890625,5.884446620941162,4360.45556640625,5730.1640625,1239.7076416015625,5412.3046875,completed,experiments\logs\rplus_rank_diagnostics_seed42\acm_r0p005_seed42.json
acm,42,0.005,author--writes-->paper,0.5925401449203491,0.5004592342302203,2.3729729288686543,4.943151473999023,0.788300151046297,21.22224235534668,17.101049423217773,43.744972229003906,50.16306686401367,17.026201248168945,33.379844665527344,completed,experiments\logs\rplus_rank_diagnostics_seed42\acm_r0p005_seed42.json
acm,42,0.005,subject--subject_of-->paper,0.5925401449203491,0.5004592342302203,1.035692216024056,1.2042343616485596,0.136605541396637,70.91624450683594,82.87531280517578,88.9495620727539,88.9495620727539,72.82670593261719,85.24446868896484,completed,experiments\logs\rplus_rank_diagnostics_seed42\acm_r0p005_seed42.json
acm,42,0.005,term--term_in-->paper,0.5925401449203491,0.5004592342302203,1.0086128958413973,1.0545357465744019,0.057366569052570475,3263.491943359375,3268.72216796875,3479.270263671875,3612.07080078125,3278.12353515625,3593.484130859375,completed,experiments\logs\rplus_rank_diagnostics_seed42\acm_r0p005_seed42.json
acm,42,0.025,paper--cite_ref-->paper,0.6331444978713989,0.5337839970986048,1.3369225019116704,1.7592747211456299,0.2646905975935129,1114.7802734375,8.717321395874023,5554.24951171875,6795.080078125,3473.941162109375,8722.345703125,completed,experiments\logs\rplus_rank_diagnostics_seed42\acm_r0p025_seed42.json
acm,42,0.025,paper--cited_by-->paper,0.6331444978713989,0.5337839970986048,1.0000969869783725,1.00099515914917,0.6344274429173766,10521.15625,7.857693672180176,2125.5,213319.78125,50010.078125,377723.75,completed,experiments\logs\rplus_rank_diagnostics_seed42\acm_r0p025_seed42.json
acm,42,0.025,author--writes-->paper,0.6331444978713989,0.5337839970986048,2.860921750550741,9.241507530212402,0.7781384172475133,29.21320915222168,26.184207916259766,65.266845703125,75.14764404296875,36.83839416503906,74.75032043457031,completed,experiments\logs\rplus_rank_diagnostics_seed42\acm_r0p025_seed42.json
acm,42,0.025,subject--subject_of-->paper,0.6331444978713989,0.5337839970986048,1.0933107611540536,1.5669465065002441,0.16207212974400476,75.52801513671875,85.57398986816406,88.9495620727539,88.9495620727539,66.769287109375,88.86604309082031,completed,experiments\logs\rplus_rank_diagnostics_seed42\acm_r0p025_seed42.json
acm,42,0.025,term--term_in-->paper,0.6331444978713989,0.5337839970986048,1.0109202954530982,1.0672571659088135,0.07996199976039607,3429.375,3310.809814453125,4041.683349609375,4505.7109375,3395.205322265625,3947.0751953125,completed,experiments\logs\rplus_rank_diagnostics_seed42\acm_r0p025_seed42.json
acm,42,0.096,paper--cite_ref-->paper,0.6595845222473145,0.6533166766166687,1.2779902552864226,1.689828634262085,0.11697726132090647,461.5334167480469,8.770360946655273,2666.29296875,10495.9638671875,2011.2178955078125,11849.63671875,completed,experiments\logs\rplus_rank_diagnostics_seed42\acm_r0p096_seed42.json
acm,42,0.096,paper--cited_by-->paper,0.6595845222473145,0.6533166766166687,1.0001942598431957,1.0018630027770996,0.42875615916254967,2806.569580078125,15.163044929504395,50.256168365478516,137886.375,6569.845703125,123132.28125,completed,experiments\logs\rplus_rank_diagnostics_seed42\acm_r0p096_seed42.json
acm,42,0.096,author--writes-->paper,0.6595845222473145,0.6533166766166687,5.776482345815371,41.485103607177734,0.9093063555513112,34.12389373779297,31.762313842773438,63.01799774169922,71.35599517822266,41.42115020751953,123.4713363647461,completed,experiments\logs\rplus_rank_diagnostics_seed42\acm_r0p096_seed42.json
acm,42,0.096,subject--subject_of-->paper,0.6595845222473145,0.6533166766166687,1.116007871321013,1.8142428398132324,0.19534638090171985,73.96148681640625,86.29261016845703,88.9495620727539,88.94956970214844,73.79478454589844,88.94956970214844,completed,experiments\logs\rplus_rank_diagnostics_seed42\acm_r0p096_seed42.json
acm,42,0.096,term--term_in-->paper,0.6595845222473145,0.6533166766166687,1.0312741641925272,1.164599895477295,0.06940004454547241,3322.477783203125,3292.0634765625,4159.4580078125,5231.23974609375,3381.10986328125,5121.77001953125,completed,experiments\logs\rplus_rank_diagnostics_seed42\acm_r0p096_seed42.json
dblp,42,0.005,paper--written_by-->author,0.8313380479812622,0.8236790299415588,7.361967404610033,13.075852394104004,0.0005424539429533797,5.811218738555908,6.030696392059326,8.676722526550293,8.795374870300293,5.810395240783691,8.783183097839355,completed,experiments\logs\rplus_rank_diagnostics_seed42\dblp_r0p005_seed42.json
dblp,42,0.025,paper--written_by-->author,0.8288732171058655,0.8213359266519547,3.548137633369863,12.598447799682617,0.019161616978852946,9.841208457946777,6.923842906951904,25.0097713470459,34.435768127441406,9.7982177734375,33.33304214477539,completed,experiments\logs\rplus_rank_diagnostics_seed42\dblp_r0p025_seed42.json
dblp,42,0.096,paper--written_by-->author,0.8242957592010498,0.8165313452482224,6.804734154750301,40.22614288330078,0.03613863921651609,21.469009399414062,17.49091911315918,49.51880645751953,104.92794036865234,21.375652313232422,100.34046173095703,completed,experiments\logs\rplus_rank_diagnostics_seed42\dblp_r0p096_seed42.json
imdb,42,0.005,director--directs-->movie,0.292629599571228,0.2848621129989624,3.080050912262445,10.288610458374023,0.9377567137459236,15.816551208496094,14.001870155334473,30.45831871032715,46.100914001464844,29.09682273864746,87.41838073730469,completed,experiments\logs\rplus_rank_diagnostics_seed42\imdb_r0p005_seed42.json
imdb,42,0.005,actor--acts_in-->movie,0.292629599571228,0.2848621129989624,1.636949624074393,5.331043243408203,0.8805134079033068,10.267475128173828,7.405573844909668,17.50625991821289,45.31024169921875,13.219550132751465,20.428054809570312,completed,experiments\logs\rplus_rank_diagnostics_seed42\imdb_r0p005_seed42.json
imdb,42,0.005,keyword--keyword_in-->movie,0.292629599571228,0.2848621129989624,4.26688276620486,11.498991012573242,0.670871903266117,26977.724609375,24114.220703125,52802.66796875,60107.609375,33040.640625,70046.8515625,completed,experiments\logs\rplus_rank_diagnostics_seed42\imdb_r0p005_seed42.json
imdb,42,0.025,director--directs-->movie,0.35071828961372375,0.2955725848674774,13.24020552297009,24.611297607421875,0.9894704692960229,16.410219192504883,15.703751564025879,26.725345611572266,28.107297897338867,27.7808895111084,48.07100296020508,completed,experiments\logs\rplus_rank_diagnostics_seed42\imdb_r0p025_seed42.json
imdb,42,0.025,actor--acts_in-->movie,0.35071828961372375,0.2955725848674774,8.551732999936878,23.645305633544922,0.9915553138235607,10.538585662841797,10.288623809814453,17.687841415405273,22.383901596069336,14.85234546661377,30.394969940185547,completed,experiments\logs\rplus_rank_diagnostics_seed42\imdb_r0p025_seed42.json
imdb,42,0.025,keyword--keyword_in-->movie,0.35071828961372375,0.2955725848674774,6.440792842568778,20.76017951965332,0.9216682006580831,30341.740234375,28220.3515625,52009.0390625,67873.265625,40535.41796875,62815.203125,completed,experiments\logs\rplus_rank_diagnostics_seed42\imdb_r0p025_seed42.json
imdb,42,0.096,director--directs-->movie,0.30043721199035645,0.27870698273181915,16.444122754459862,85.01203918457031,0.9599980450938428,30.77452850341797,27.74982452392578,52.791404724121094,95.24088287353516,44.523414611816406,164.46388244628906,completed,experiments\logs\rplus_rank_diagnostics_seed42\imdb_r0p096_seed42.json
imdb,42,0.096,actor--acts_in-->movie,0.30043721199035645,0.27870698273181915,23.334617984887156,83.60234832763672,0.9948790093001344,19.677034378051758,17.2360897064209,39.278892517089844,50.215110778808594,31.75035285949707,94.09359741210938,completed,experiments\logs\rplus_rank_diagnostics_seed42\imdb_r0p096_seed42.json
imdb,42,0.096,keyword--keyword_in-->movie,0.30043721199035645,0.27870698273181915,15.015475387604763,83.16633605957031,0.9718075798392256,48510.37890625,45372.203125,76622.96875,117101.234375,69329.25,145996.921875,completed,experiments\logs\rplus_rank_diagnostics_seed42\imdb_r0p096_seed42.json
ogbn-arxiv,42,0.005,paper--cite_ref-->paper,0.4342530369758606,0.30146090597845615,3.5764546154866066,13.633909225463867,0.4056811164307508,2.118666887283325,2.5712006092071533,3.908256769180298,4.543822765350342,2.712796926498413,4.819399356842041,completed,experiments\logs\rplus_rank_diagnostics_seed42\ogbn-arxiv_r0p005_seed42.json
ogbn-arxiv,42,0.005,paper--cited_by-->paper,0.4342530369758606,0.30146090597845615,4.42363565944691,19.241191864013672,0.4897384187858207,1.939002513885498,2.1387879848480225,3.277559280395508,6.154827117919922,2.4002184867858887,5.799895286560059,completed,experiments\logs\rplus_rank_diagnostics_seed42\ogbn-arxiv_r0p005_seed42.json
ogbn-arxiv,42,0.06,paper--cite_ref-->paper,0.3920745551586151,0.25640542688779533,7.7446805858332475,42.15517044067383,0.5720766399239671,3.8829784393310547,3.9199812412261963,8.834579467773438,13.887018203735352,5.181148529052734,15.322367668151855,completed,experiments\logs\rplus_rank_diagnostics_seed42\ogbn-arxiv_r0p06_seed42.json
ogbn-arxiv,42,0.06,paper--cited_by-->paper,0.3920745551586151,0.25640542688779533,11.32372720680536,50.99299621582031,0.5977990517865391,3.9538071155548096,3.716247797012329,8.837728500366211,13.338205337524414,5.627899646759033,16.175012588500977,completed,experiments\logs\rplus_rank_diagnostics_seed42\ogbn-arxiv_r0p06_seed42.json
ogbn-arxiv,42,0.12,paper--cite_ref-->paper,0.4664115309715271,0.3059763543773443,9.080352117554847,47.95987319946289,0.5492632406507308,4.326620101928711,4.211162090301514,9.996732711791992,15.188541412353516,6.639450550079346,17.148269653320312,completed,experiments\logs\rplus_rank_diagnostics_seed42\ogbn-arxiv_r0p12_seed42.json
ogbn-arxiv,42,0.12,paper--cited_by-->paper,0.4664115309715271,0.3059763543773443,12.942029747201346,55.67601013183594,0.5745575547111073,4.323313236236572,3.9666829109191895,9.822444915771484,14.89857292175293,6.765717506408691,18.119428634643555,completed,experiments\logs\rplus_rank_diagnostics_seed42\ogbn-arxiv_r0p12_seed42.json
ogbn-products,42,0.005,product--co_purchase-->product,0.4335379898548126,0.19544704698343227,6.357892024434401,32.26969909667969,0.41246878026843314,2.4138567447662354,2.0653374195098877,4.413858890533447,10.668891906738281,3.355428457260132,11.92345905303955,completed,experiments\logs\rplus_rank_diagnostics_seed42\ogbn-products_r0p005_seed42.json
