dataset,method,ratio,ratio_base,budget_mode,requested_target_budget,effective_target_prototypes,shadow_nodes_total,condensed_nodes_total,condensed_edges_total,effective_target_ratio,condensed_node_ratio_to_train_target,condensed_node_ratio_to_all_task_nodes,source_log
acm,Full-WRL-GNN,,,count,,,,,,,,,experiments/logs/small_ratio_grid/acm_Full-WRL-GNN_seed0.json;experiments/logs/small_ratio_grid/acm_Full-WRL-GNN_seed1.json;experiments/logs/small_ratio_grid/acm_Full-WRL-GNN_seed2.json
acm,Herding-HG,0.005,train_target,ratio,12,12,,12,0,,0.013230429988974642,0.003966942148760331,experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p005_seed0.json;experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p005_seed1.json;experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p005_seed2.json
acm,Herding-HG,0.005,train_target,ratio,52,52,,52,0,,0.05733186328555678,0.0171900826446281,experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p005_seed0.json;experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p005_seed1.json;experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p005_seed2.json
acm,Herding-HG,0.01,train_target,ratio,12,12,,12,0,,0.013230429988974642,0.003966942148760331,experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p01_seed0.json;experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p01_seed1.json;experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p01_seed2.json
acm,Herding-HG,0.01,train_target,ratio,52,52,,52,0,,0.05733186328555678,0.0171900826446281,experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p01_seed0.json;experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p01_seed1.json;experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p01_seed2.json
acm,Herding-HG,0.02,train_target,ratio,18,18,,18,0,,0.019845644983461964,0.0059504132231404955,experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p02_seed0.json;experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p02_seed1.json;experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p02_seed2.json
acm,Herding-HG,0.02,train_target,ratio,58,58,,58,0,,0.0639470782800441,0.019173553719008266,experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p02_seed0.json;experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p02_seed1.json;experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p02_seed2.json
acm,Herding-HG,0.05,train_target,ratio,110,110,,110,0,,0.12127894156560089,0.03636363636363636,experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p05_seed2.json
acm,Herding-HG,0.05,train_target,ratio,114,114,,114,0,,0.1256890848952591,0.03768595041322314,experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p05_seed0.json;experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p05_seed1.json
acm,Herding-HG,0.05,train_target,ratio,43,43,,43,0,,0.047409040793825796,0.014214876033057851,experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p05_seed2.json
acm,Herding-HG,0.05,train_target,ratio,45,45,,45,0,,0.04961411245865491,0.01487603305785124,experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p05_seed0.json;experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p05_seed1.json
acm,K-Center-HG,0.005,train_target,ratio,12,12,,12,0,,0.013230429988974642,0.003966942148760331,experiments/logs/small_ratio_grid/acm_K_Center_HG_target_ratio_r0p005_seed0.json;experiments/logs/small_ratio_grid/acm_K_Center_HG_target_ratio_r0p005_seed1.json;experiments/logs/small_ratio_grid/acm_K_Center_HG_target_ratio_r0p005_seed2.json
acm,K-Center-HG,0.005,train_target,ratio,52,52,,52,0,,0.05733186328555678,0.0171900826446281,experiments/logs/small_ratio_grid/acm_K_Center_HG_total_condensed_nodes_r0p005_seed0.json;experiments/logs/small_ratio_grid/acm_K_Center_HG_total_condensed_nodes_r0p005_seed1.json;experiments/logs/small_ratio_grid/acm_K_Center_HG_total_condensed_nodes_r0p005_seed2.json
acm,K-Center-HG,0.01,train_target,ratio,12,12,,12,0,,0.013230429988974642,0.003966942148760331,experiments/logs/small_ratio_grid/acm_K_Center_HG_target_ratio_r0p01_seed0.json;experiments/logs/small_ratio_grid/acm_K_Center_HG_target_ratio_r0p01_seed1.json;experiments/logs/small_ratio_grid/acm_K_Center_HG_target_ratio_r0p01_seed2.json
acm,K-Center-HG,0.01,train_target,ratio,52,52,,52,0,,0.05733186328555678,0.0171900826446281,experiments/logs/small_ratio_grid/acm_K_Center_HG_total_condensed_nodes_r0p01_seed0.json;experiments/logs/small_ratio_grid/acm_K_Center_HG_total_condensed_nodes_r0p01_seed1.json;experiments/logs/small_ratio_grid/acm_K_Center_HG_total_condensed_nodes_r0p01_seed2.json
acm,K-Center-HG,0.02,train_target,ratio,18,18,,18,0,,0.019845644983461964,0.0059504132231404955,experiments/logs/small_ratio_grid/acm_K_Center_HG_target_ratio_r0p02_seed0.json;experiments/logs/small_ratio_grid/acm_K_Center_HG_target_ratio_r0p02_seed1.json;experiments/logs/small_ratio_grid/acm_K_Center_HG_target_ratio_r0p02_seed2.json
acm,K-Center-HG,0.02,train_target,ratio,58,58,,58,0,,0.0639470782800441,0.019173553719008266,experiments/logs/small_ratio_grid/acm_K_Center_HG_total_condensed_nodes_r0p02_seed0.json;experiments/logs/small_ratio_grid/acm_K_Center_HG_total_condensed_nodes_r0p02_seed1.json;experiments/logs/small_ratio_grid/acm_K_Center_HG_total_condensed_nodes_r0p02_seed2.json
acm,K-Center-HG,0.05,train_target,ratio,110,110,,110,0,,0.12127894156560089,0.03636363636363636,experiments/logs/small_ratio_grid/acm_K_Center_HG_total_condensed_nodes_r0p05_seed2.json
acm,K-Center-HG,0.05,train_target,ratio,114,114,,114,0,,0.1256890848952591,0.03768595041322314,experiments/logs/small_ratio_grid/acm_K_Center_HG_total_condensed_nodes_r0p05_seed0.json;experiments/logs/small_ratio_grid/acm_K_Center_HG_total_condensed_nodes_r0p05_seed1.json
acm,K-Center-HG,0.05,train_target,ratio,43,43,,43,0,,0.047409040793825796,0.014214876033057851,experiments/logs/small_ratio_grid/acm_K_Center_HG_target_ratio_r0p05_seed2.json
acm,K-Center-HG,0.05,train_target,ratio,45,45,,45,0,,0.04961411245865491,0.01487603305785124,experiments/logs/small_ratio_grid/acm_K_Center_HG_target_ratio_r0p05_seed0.json;experiments/logs/small_ratio_grid/acm_K_Center_HG_target_ratio_r0p05_seed1.json
acm,Random-HG,0.005,train_target,ratio,12,12,,12,0,,0.013230429988974642,0.003966942148760331,experiments/logs/small_ratio_grid/acm_Random_HG_target_ratio_r0p005_seed0.json;experiments/logs/small_ratio_grid/acm_Random_HG_target_ratio_r0p005_seed1.json;experiments/logs/small_ratio_grid/acm_Random_HG_target_ratio_r0p005_seed2.json
acm,Random-HG,0.005,train_target,ratio,52,52,,52,0,,0.05733186328555678,0.0171900826446281,experiments/logs/small_ratio_grid/acm_Random_HG_total_condensed_nodes_r0p005_seed0.json;experiments/logs/small_ratio_grid/acm_Random_HG_total_condensed_nodes_r0p005_seed1.json;experiments/logs/small_ratio_grid/acm_Random_HG_total_condensed_nodes_r0p005_seed2.json
