dataset,ablation,setting,seed,accuracy,macro_f1,num_predicted_classes,prototype_train_acc,skeleton_coverage_mean,residual_energy_mean,shadow_recon_err_mean,condensation_time,training_time,status
acm,mean_only_demand,include_degree_features=false,0,0.806893,0.805755,3,1.000000,0.340089,1.000000,0.462587,2.796655,5.638480,completed
acm,residual_shadow_off,residual_shadow=false,0,0.739849,0.734829,3,1.000000,0.353746,0.999999,0.629264,2.418772,5.545877,completed
acm,real_source_centroid,shadow_mode=real_source_centroid,0,0.769594,0.770763,3,1.000000,0.353746,0.999999,0.739082,4.989497,5.849560,completed
acm,private_shadow_upper_bound,shadow_mode=private_shadow,0,0.762040,0.761528,3,1.000000,0.353746,0.999999,0.000000,2.175878,7.339431,completed
acm,prototype_loss,loss_type=unweighted,0,0.684608,0.685344,3,1.000000,0.353746,0.999999,0.441364,2.713660,5.890604,completed
acm,prototype_loss,loss_type=clipped,0,0.754957,0.756551,3,1.000000,0.353746,0.999999,0.441364,2.664778,5.751282,completed
acm,prototype_loss,loss_type=class_balanced,0,0.787535,0.782487,3,1.000000,0.353746,0.999999,0.441364,2.644015,6.020449,completed
acm,prototype_loss,loss_type=sqrt_weighted,0,0.700189,0.697656,3,1.000000,0.353746,0.999999,0.441364,2.691329,5.911910,completed
acm,backbone,model=relation_linear,0,0.699245,0.649919,3,1.000000,0.353746,0.999999,0.441364,3.054441,0.595485,completed
acm,backbone,model=relation_mlp,0,0.754957,0.756551,3,1.000000,0.353746,0.999999,0.441364,2.685125,6.095193,completed
acm,relation_norm_calibration,calibration_enabled=false,0,0.747875,0.745449,3,1.000000,0.353746,0.999999,0.294788,2.618981,5.841620,completed
acm,target_target_skeleton,k_s=0,0,0.799339,0.800085,3,1.000000,0.000000,1.000000,0.438326,2.611483,5.770994,completed
acm,target_target_skeleton,k_s=1,0,0.768650,0.766418,3,1.000000,0.292740,0.999999,0.442304,2.618425,5.897826,completed
acm,target_target_skeleton,k_s=2,0,0.754957,0.756551,3,1.000000,0.353746,0.999999,0.441364,2.396032,5.836575,completed
acm,target_target_skeleton,k_s=4,0,0.791313,0.790549,3,1.000000,0.391733,0.999999,0.436232,2.557121,5.936906,completed
acm,target_target_skeleton,k_s=8,0,0.789424,0.788567,3,1.000000,0.399363,0.999999,0.436526,2.419733,6.050292,completed
dblp,mean_only_demand,include_degree_features=false,0,0.722535,0.710141,4,1.000000,0.000000,1.000000,0.012066,1.233482,2.428852,completed
dblp,residual_shadow_off,residual_shadow=false,0,0.713732,0.709151,4,1.000000,0.000000,1.000000,0.006789,1.183054,2.470443,completed
dblp,real_source_centroid,shadow_mode=real_source_centroid,0,0.717606,0.706145,4,1.000000,0.000000,1.000000,1.002250,5.478906,2.486612,completed
dblp,private_shadow_upper_bound,shadow_mode=private_shadow,0,0.714085,0.706604,4,1.000000,0.000000,1.000000,0.000000,1.198556,2.535249,completed
dblp,prototype_loss,loss_type=unweighted,0,0.712324,0.702398,4,1.000000,0.000000,1.000000,0.006789,1.149596,2.565085,completed
dblp,prototype_loss,loss_type=clipped,0,0.713732,0.709151,4,1.000000,0.000000,1.000000,0.006789,1.205714,2.524358,completed
dblp,prototype_loss,loss_type=class_balanced,0,0.703873,0.695437,4,1.000000,0.000000,1.000000,0.006789,1.187033,2.477457,completed
dblp,prototype_loss,loss_type=sqrt_weighted,0,0.658803,0.653629,4,1.000000,0.000000,1.000000,0.006789,1.132827,2.565487,completed
dblp,backbone,model=relation_linear,0,0.826056,0.818062,4,1.000000,0.000000,1.000000,0.006789,1.216575,0.332220,completed
dblp,backbone,model=relation_mlp,0,0.713732,0.709151,4,1.000000,0.000000,1.000000,0.006789,1.175391,2.357959,completed
dblp,relation_norm_calibration,calibration_enabled=false,0,0.713732,0.709151,4,1.000000,0.000000,1.000000,0.006789,1.135567,2.334514,completed
dblp,target_target_skeleton,no_target_target_relation,0,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,not_applicable
imdb,mean_only_demand,include_degree_features=false,0,0.259525,0.222067,4,0.406250,0.000000,1.000000,0.996637,2.576730,15.444684,completed
imdb,residual_shadow_off,residual_shadow=false,0,0.248595,0.199255,5,0.406250,0.000000,1.000000,0.987721,2.855172,16.013026,completed
imdb,real_source_centroid,shadow_mode=real_source_centroid,0,0.312617,0.184895,5,0.500000,0.000000,1.000000,1.025786,6.668915,15.470267,completed
imdb,private_shadow_upper_bound,shadow_mode=private_shadow,0,0.402873,0.364458,5,1.000000,0.000000,1.000000,0.000000,2.621409,15.959020,completed
imdb,prototype_loss,loss_type=unweighted,0,0.236727,0.221748,5,0.406250,0.000000,1.000000,0.987721,2.859658,15.246007,completed
imdb,prototype_loss,loss_type=clipped,0,0.248595,0.199255,5,0.406250,0.000000,1.000000,0.987721,2.864411,15.371253,completed
imdb,prototype_loss,loss_type=class_balanced,0,0.213929,0.196882,5,0.437500,0.000000,1.000000,0.987721,2.826469,15.482762,completed
imdb,prototype_loss,loss_type=sqrt_weighted,0,0.228919,0.074511,1,0.218750,0.000000,1.000000,0.987721,2.846006,17.007254,completed
imdb,backbone,model=relation_linear,0,0.326046,0.302144,5,0.812500,0.000000,1.000000,0.987721,2.764899,0.488870,completed
imdb,backbone,model=relation_mlp,0,0.248595,0.199255,5,0.406250,0.000000,1.000000,0.987721,2.849116,15.198865,completed
