dataset,ablation,setting,seed,accuracy,macro_f1,num_predicted_classes,prototype_train_acc,skeleton_coverage_mean,residual_energy_mean,shadow_recon_err_mean,condensation_time,training_time,status
acm,mean_only_demand,include_degree_features=false,0,0.319169,0.165381,2,0.333333,0.365028,1.000000,0.461599,1.753479,0.010879,completed
acm,residual_shadow_off,residual_shadow=false,0,0.343248,0.172217,3,0.333333,0.342453,1.000000,0.664396,1.681138,0.010622,completed
acm,real_source_centroid,shadow_mode=real_source_centroid,0,0.321058,0.167588,3,0.333333,0.342453,1.000000,0.759678,2.426139,0.012059,completed
acm,private_shadow_upper_bound,shadow_mode=private_shadow,0,0.342776,0.172158,3,0.333333,0.342453,1.000000,0.000000,1.384755,0.012678,completed
acm,prototype_loss,loss_type=unweighted,0,0.343720,0.171526,2,0.333333,0.342453,1.000000,0.559527,1.825906,0.010968,completed
acm,prototype_loss,loss_type=clipped,0,0.342776,0.172158,3,0.333333,0.342453,1.000000,0.559527,1.832039,0.013224,completed
acm,prototype_loss,loss_type=class_balanced,0,0.342776,0.172158,3,0.333333,0.342453,1.000000,0.559527,1.828833,0.010798,completed
acm,prototype_loss,loss_type=sqrt_weighted,0,0.343248,0.171467,2,0.333333,0.342453,1.000000,0.559527,1.826969,0.010911,completed
acm,backbone,model=relation_linear,0,0.341832,0.170997,2,0.333333,0.342453,1.000000,0.559527,1.768410,0.002105,completed
acm,backbone,model=relation_mlp,0,0.342776,0.172158,3,0.333333,0.342453,1.000000,0.559527,1.824730,0.011185,completed
acm,relation_norm_calibration,calibration_enabled=false,0,0.343248,0.171467,2,0.333333,0.342453,1.000000,0.500514,1.818834,0.011925,completed
acm,target_target_skeleton,k_s=0,0,0.342776,0.172158,3,0.333333,0.000000,1.000000,0.559527,1.825386,0.012193,completed
acm,target_target_skeleton,k_s=1,0,0.342776,0.172158,3,0.333333,0.234224,1.000000,0.559527,1.832065,0.011045,completed
acm,target_target_skeleton,k_s=2,0,0.342776,0.172158,3,0.333333,0.342453,1.000000,0.559527,1.829762,0.011751,completed
acm,target_target_skeleton,k_s=4,0,0.342776,0.172158,3,0.333333,0.396948,1.000000,0.559527,1.838661,0.012408,completed
acm,target_target_skeleton,k_s=8,0,0.342776,0.172158,3,0.333333,0.400000,1.000000,0.559527,1.828938,0.011700,completed
