generated_at,git_commit,config_hash,run_id,dataset,method,M_tau_requested,M_tau_effective,M_r_resolved_summary,feature_dim,projection_type,loss_type,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,condensation_time_mean,training_time_mean,inference_time_mean,status
2026-06-07T04:31:14Z,9980773,ce8ccc020e6f0a04,acm-Full-WRL-GNN-seedna-ce8ccc02,acm,Full-WRL-GNN,,,,64,raw,clipped,relation_mlp,0.798709,0.004468,0.798983,0.004186,0.000000,239.692994,0.000000,completed
2026-06-07T04:42:25Z,9980773,79a32a1061ff8bb6,acm-Herding-HG-seed0-79a32a10,acm,Herding-HG,128,128,,64,raw,,,0.756846,0.011153,,,0.000000,0.171204,0.000000,completed
2026-06-07T04:40:01Z,9980773,2c36fefa4b1c1097,acm-Herding-HG-seed0-2c36fefa,acm,Herding-HG,32,32,,64,raw,,,0.621341,0.016910,,,0.000000,0.142917,0.000000,completed
2026-06-07T04:41:00Z,9980773,d85787bf431199db,acm-Herding-HG-seed0-d85787bf,acm,Herding-HG,64,64,,64,raw,,,0.673434,0.004820,,,0.000000,0.156273,0.000000,completed
2026-06-07T04:42:25Z,9980773,95b8fe1b9a8933b5,acm-K-Center-HG-seed0-95b8fe1b,acm,K-Center-HG,128,128,,64,raw,,,0.762197,0.005262,,,0.000000,0.182469,0.000000,completed
2026-06-07T04:40:02Z,9980773,97676e2afc44b47a,acm-K-Center-HG-seed0-97676e2a,acm,K-Center-HG,32,32,,64,raw,,,0.629052,0.001941,,,0.000000,0.141639,0.000000,completed
2026-06-07T04:41:01Z,9980773,825c6f7e1582519d,acm-K-Center-HG-seed0-825c6f7e,acm,K-Center-HG,64,64,,64,raw,,,0.693264,0.005177,,,0.000000,0.151589,0.000000,completed
2026-06-07T04:42:24Z,9980773,d7c059ef795258c7,acm-Random-HG-seed0-d7c059ef,acm,Random-HG,128,128,,64,raw,,,0.774001,0.019284,,,0.000000,0.165563,0.000000,completed
2026-06-07T04:40:01Z,9980773,af785f4eabf4cfa4,acm-Random-HG-seed0-af785f4e,acm,Random-HG,32,32,,64,raw,,,0.653447,0.022369,,,0.000000,0.140907,0.000000,completed
2026-06-07T04:41:00Z,9980773,fe5acef4649c49bc,acm-Random-HG-seed0-fe5acef4,acm,Random-HG,64,64,,64,raw,,,0.717816,0.023310,,,0.000000,0.162343,0.000000,completed
2026-06-07T04:41:30Z,9980773,c632718f70d6df03,acm-Self-Only-MLP-seed0-c632718f,acm,Self-Only-MLP,128,128,paper--cite_ref-->paper=32;paper--cited_by-->paper=32;author--writes-->paper=43;subject--subject_of-->paper=43;term--term_in-->paper=43,64,raw,clipped,relation_mlp,0.751652,0.025690,0.752644,0.025673,5.794157,4.480649,0.042265,completed
2026-06-07T04:39:31Z,9980773,9808b1edf5de7b7f,acm-Self-Only-MLP-seed0-9808b1ed,acm,Self-Only-MLP,32,32,paper--cite_ref-->paper=8;paper--cited_by-->paper=8;author--writes-->paper=11;subject--subject_of-->paper=11;term--term_in-->paper=11,64,raw,clipped,relation_mlp,0.766604,0.028013,0.765210,0.028800,2.174270,3.173804,0.040869,completed
2026-06-07T04:40:22Z,9980773,976ee13ecc493342,acm-Self-Only-MLP-seed0-976ee13e,acm,Self-Only-MLP,64,64,paper--cite_ref-->paper=16;paper--cited_by-->paper=16;author--writes-->paper=22;subject--subject_of-->paper=22;term--term_in-->paper=22,64,raw,clipped,relation_mlp,0.734813,0.018705,0.734414,0.019577,3.312973,3.605159,0.039842,completed
2026-06-07T04:41:20Z,9980773,94f38a4e668d8fc6,acm-Shadow-HGC-R-1-seed0-94f38a4e,acm,Shadow-HGC-R-1,128,128,paper--cite_ref-->paper=32;paper--cited_by-->paper=32;author--writes-->paper=43;subject--subject_of-->paper=43;term--term_in-->paper=43,64,raw,clipped,relation_mlp,0.758262,0.003855,0.756419,0.005619,6.541441,9.842648,0.396063,completed
2026-06-07T04:39:25Z,9980773,2d7f20b879e8a2c2,acm-Shadow-HGC-R-1-seed0-2d7f20b8,acm,Shadow-HGC-R-1,32,32,paper--cite_ref-->paper=8;paper--cited_by-->paper=8;author--writes-->paper=11;subject--subject_of-->paper=11;term--term_in-->paper=11,64,raw,clipped,relation_mlp,0.753856,0.003368,0.754604,0.003983,3.400449,6.321783,0.439336,completed
2026-06-07T04:40:15Z,9980773,2ed319462e197044,acm-Shadow-HGC-R-1-seed0-2ed31946,acm,Shadow-HGC-R-1,64,64,paper--cite_ref-->paper=16;paper--cited_by-->paper=16;author--writes-->paper=22;subject--subject_of-->paper=22;term--term_in-->paper=22,64,raw,clipped,relation_mlp,0.753698,0.022697,0.754338,0.021891,3.959890,7.429786,0.398555,completed
2026-06-07T04:49:42Z,9980773,552143d2847b2336,dblp-Full-WRL-GNN-seedna-552143d2,dblp,Full-WRL-GNN,,,,64,raw,clipped,relation_mlp,0.747183,0.002988,0.739727,0.002775,0.000000,434.780974,0.000000,completed
2026-06-07T05:05:42Z,9980773,00c025ef3ba2dcb7,dblp-Herding-HG-seed0-00c025ef,dblp,Herding-HG,128,128,,64,raw,,,0.616197,0.000761,,,0.000000,0.137836,0.000000,completed
2026-06-07T05:04:34Z,9980773,fd379853aee5e3fd,dblp-Herding-HG-seed0-fd379853,dblp,Herding-HG,32,32,,64,raw,,,0.505634,0.004235,,,0.000000,0.125306,0.000000,completed
2026-06-07T05:05:01Z,9980773,eb63c6c10fc05d33,dblp-Herding-HG-seed0-eb63c6c1,dblp,Herding-HG,64,64,,64,raw,,,0.599531,0.003231,,,0.000000,0.123991,0.000000,completed
2026-06-07T05:05:42Z,9980773,a1048975903bd712,dblp-K-Center-HG-seed0-a1048975,dblp,K-Center-HG,128,128,,64,raw,,,0.692488,0.017763,,,0.000000,0.132356,0.000000,completed
2026-06-07T05:04:34Z,9980773,f5d92102428cc39f,dblp-K-Center-HG-seed0-f5d92102,dblp,K-Center-HG,32,32,,64,raw,,,0.586972,0.010290,,,0.000000,0.126698,0.000000,completed
2026-06-07T05:05:02Z,9980773,3b121fdea1f33b58,dblp-K-Center-HG-seed0-3b121fde,dblp,K-Center-HG,64,64,,64,raw,,,0.655164,0.019047,,,0.000000,0.129991,0.000000,completed
2026-06-07T05:05:42Z,9980773,25f9c0f20b0fcc6c,dblp-Random-HG-seed0-25f9c0f2,dblp,Random-HG,128,128,,64,raw,,,0.611268,0.018380,,,0.000000,0.138420,0.000000,completed
2026-06-07T05:04:34Z,9980773,ed14c18ee38e7900,dblp-Random-HG-seed0-ed14c18e,dblp,Random-HG,32,32,,64,raw,,,0.535798,0.013242,,,0.000000,0.124752,0.000000,completed
2026-06-07T05:05:01Z,9980773,3934a7852dcbfd0e,dblp-Random-HG-seed0-3934a785,dblp,Random-HG,64,64,,64,raw,,,0.561502,0.014462,,,0.000000,0.131527,0.000000,completed
2026-06-07T05:05:16Z,9980773,ac0535985be7cf97,dblp-Self-Only-MLP-seed0-ac053598,dblp,Self-Only-MLP,128,128,paper--written_by-->author=128,64,raw,clipped,relation_mlp,0.694718,0.014691,0.690488,0.014419,2.783103,0.585271,0.007603,completed
2026-06-07T05:04:21Z,9980773,385076e3147c6920,dblp-Self-Only-MLP-seed0-385076e3,dblp,Self-Only-MLP,32,32,paper--written_by-->author=32,64,raw,clipped,relation_mlp,0.711737,0.006412,0.701053,0.006044,1.181743,0.444152,0.008228,completed
2026-06-07T05:04:44Z,9980773,fc8b73489c1148dc,dblp-Self-Only-MLP-seed0-fc8b7348,dblp,Self-Only-MLP,64,64,paper--written_by-->author=64,64,raw,clipped,relation_mlp,0.688498,0.011537,0.680016,0.010801,1.757564,0.508130,0.008599,completed
2026-06-07T05:05:12Z,9980773,10134ed1691acde0,dblp-Shadow-HGC-R-1-seed0-10134ed1,dblp,Shadow-HGC-R-1,128,128,paper--written_by-->author=128,64,raw,clipped,relation_mlp,0.690845,0.016962,0.685617,0.016996,2.856614,5.554330,0.844100,completed
2026-06-07T05:04:19Z,9980773,608736446fb01c1b,dblp-Shadow-HGC-R-1-seed0-60873644,dblp,Shadow-HGC-R-1,32,32,paper--written_by-->author=32,64,raw,clipped,relation_mlp,0.706221,0.015325,0.700990,0.016824,1.244304,2.377282,0.841406,completed
2026-06-07T05:04:42Z,9980773,4e5d9853e3ad304a,dblp-Shadow-HGC-R-1-seed0-4e5d9853,dblp,Shadow-HGC-R-1,64,64,paper--written_by-->author=64,64,raw,clipped,relation_mlp,0.688732,0.027426,0.682574,0.022428,1.806946,3.464036,0.853772,completed
2026-06-07T05:15:24Z,9980773,2f80e6508eb92f0e,imdb-Full-WRL-GNN-seedna-2f80e650,imdb,Full-WRL-GNN,,,,64,raw,clipped,relation_mlp,0.321258,0.009549,0.259054,0.004640,0.000000,579.095484,0.000000,completed
2026-06-07T08:02:06Z,9980773,99dc81e9bcf51594,imdb-Herding-HG-seed0-99dc81e9,imdb,Herding-HG,128,128,,64,raw,,,0.248907,0.001593,,,0.000000,0.210802,0.000000,completed
2026-06-07T05:36:36Z,9980773,8d29a6f94f92cbb8,imdb-Herding-HG-seed0-8d29a6f9,imdb,Herding-HG,32,32,,64,raw,,,0.181345,0.002369,,,0.000000,0.152887,0.000000,completed
2026-06-07T07:59:27Z,9980773,1eb3777c490ed04a,imdb-Herding-HG-seed0-1eb3777c,imdb,Herding-HG,64,64,,64,raw,,,0.215699,0.000589,,,0.000000,0.169087,0.000000,completed
2026-06-07T08:02:06Z,9980773,e05a1a112b7d9552,imdb-K-Center-HG-seed0-e05a1a11,imdb,K-Center-HG,128,128,,64,raw,,,0.299396,0.009217,,,0.000000,0.212571,0.000000,completed
2026-06-07T05:36:36Z,9980773,19eefc95f55b8d2e,imdb-K-Center-HG-seed0-19eefc95,imdb,K-Center-HG,32,32,,64,raw,,,0.269831,0.004080,,,0.000000,0.158633,0.000000,completed
2026-06-07T07:59:27Z,9980773,18063c08961ca3bd,imdb-K-Center-HG-seed0-18063c08,imdb,K-Center-HG,64,64,,64,raw,,,0.270560,0.016923,,,0.000000,0.173720,0.000000,completed
2026-06-07T08:02:06Z,9980773,aa8f5b0647245a5d,imdb-Random-HG-seed0-aa8f5b06,imdb,Random-HG,128,128,,64,raw,,,0.295232,0.006573,,,0.000000,0.213156,0.000000,completed
2026-06-07T05:36:36Z,9980773,eefe2f3e456f37c6,imdb-Random-HG-seed0-eefe2f3e,imdb,Random-HG,32,32,,64,raw,,,0.288882,0.012147,,,0.000000,0.160317,0.000000,completed
2026-06-07T07:59:27Z,9980773,8253cb33749c6d51,imdb-Random-HG-seed0-8253cb33,imdb,Random-HG,64,64,,64,raw,,,0.296065,0.017580,,,0.000000,0.187754,0.000000,completed
