dataset,ablation,setting,seed,accuracy,macro_f1,num_predicted_classes,prototype_train_acc,skeleton_coverage_mean,residual_energy_mean,shadow_recon_err_mean,condensation_time,training_time,status
acm,mean_only_demand,include_degree_features=false,0,0.319169,0.165381,2,0.333333,0.365028,1.000000,0.461599,1.901640,0.012046,completed
acm,residual_shadow_off,residual_shadow=false,0,0.343248,0.172217,3,0.333333,0.342453,1.000000,0.664396,1.885236,0.014352,completed
acm,real_source_centroid,shadow_mode=real_source_centroid,0,0.321058,0.167588,3,0.333333,0.342453,1.000000,0.759678,2.756963,0.013590,completed
acm,private_shadow_upper_bound,shadow_mode=private_shadow,0,0.342776,0.172158,3,0.333333,0.342453,1.000000,0.000000,1.529738,0.015457,completed
acm,prototype_loss,loss_type=unweighted,0,0.343720,0.171526,2,0.333333,0.342453,1.000000,0.559527,2.031396,0.012858,completed
acm,prototype_loss,loss_type=clipped,0,0.342776,0.172158,3,0.333333,0.342453,1.000000,0.559527,2.023379,0.013527,completed
acm,prototype_loss,loss_type=class_balanced,0,0.342776,0.172158,3,0.333333,0.342453,1.000000,0.559527,2.041532,0.013428,completed
acm,prototype_loss,loss_type=sqrt_weighted,0,0.343248,0.171467,2,0.333333,0.342453,1.000000,0.559527,2.024315,0.014213,completed
acm,backbone,model=relation_linear,0,0.341832,0.170997,2,0.333333,0.342453,1.000000,0.559527,1.990288,0.002044,completed
acm,backbone,model=relation_mlp,0,0.342776,0.172158,3,0.333333,0.342453,1.000000,0.559527,2.049077,0.014109,completed
acm,relation_norm_calibration,calibration_enabled=false,0,0.343248,0.171467,2,0.333333,0.342453,1.000000,0.500514,2.032098,0.014224,completed
acm,target_target_skeleton,k_s=0,0,0.342776,0.172158,3,0.333333,0.000000,1.000000,0.559527,1.983779,0.014032,completed
acm,target_target_skeleton,k_s=1,0,0.342776,0.172158,3,0.333333,0.234224,1.000000,0.559527,2.016169,0.013074,completed
acm,target_target_skeleton,k_s=2,0,0.342776,0.172158,3,0.333333,0.342453,1.000000,0.559527,1.995414,0.014123,completed
acm,target_target_skeleton,k_s=4,0,0.342776,0.172158,3,0.333333,0.396948,1.000000,0.559527,2.010202,0.012429,completed
acm,target_target_skeleton,k_s=8,0,0.342776,0.172158,3,0.333333,0.400000,1.000000,0.559527,2.043190,0.013538,completed
