dataset,ablation,setting,seed,accuracy,macro_f1,num_predicted_classes,prototype_train_acc,skeleton_coverage_mean,residual_energy_mean,shadow_recon_err_mean,condensation_time,training_time,status
acm,mean_only_demand,include_degree_features=false,0,0.653447,0.568725,3,1.000000,0.365028,1.000000,0.184539,5.321793,0.764353,completed
acm,residual_shadow_off,residual_shadow=false,0,0.851747,0.847550,3,1.000000,0.342453,1.000000,0.569192,1.922956,0.612177,completed
acm,real_source_centroid,shadow_mode=real_source_centroid,0,0.647781,0.647200,3,1.000000,0.342453,1.000000,0.821332,12.527894,3.966684,completed
acm,private_shadow_upper_bound,shadow_mode=private_shadow,0,0.864967,0.866537,3,1.000000,0.342453,1.000000,0.000000,1.616754,0.682813,completed
acm,prototype_loss,loss_type=unweighted,0,0.823890,0.817298,3,1.000000,0.342453,1.000000,0.306752,2.112183,0.519366,completed
acm,prototype_loss,loss_type=clipped,0,0.698772,0.686909,3,1.000000,0.342453,1.000000,0.306752,5.428055,0.768207,completed
acm,prototype_loss,loss_type=class_balanced,0,0.722852,0.720512,3,1.000000,0.342453,1.000000,0.306752,2.139847,0.643239,completed
acm,prototype_loss,loss_type=sqrt_weighted,0,0.856468,0.856459,3,1.000000,0.342453,1.000000,0.306752,1.884302,4.273733,completed
acm,backbone,model=relation_linear,0,0.698772,0.686909,3,1.000000,0.342453,1.000000,0.306752,2.161827,0.626093,completed
acm,backbone,model=relation_mlp,0,0.765345,0.764125,3,1.000000,0.342453,1.000000,0.306752,2.043816,9.560693,completed
acm,relation_norm_calibration,calibration_enabled=false,0,0.738432,0.734298,3,1.000000,0.342453,1.000000,0.256946,2.101338,4.369302,completed
acm,target_target_skeleton,k_s=0,0,0.681775,0.677779,3,1.000000,0.000000,1.000000,0.306752,2.227383,0.644925,completed
acm,target_target_skeleton,k_s=1,0,0.776676,0.772704,3,1.000000,0.234224,1.000000,0.306752,2.065393,0.539565,completed
acm,target_target_skeleton,k_s=2,0,0.698772,0.686909,3,1.000000,0.342453,1.000000,0.306752,5.074682,0.750249,completed
acm,target_target_skeleton,k_s=4,0,0.729934,0.723461,3,1.000000,0.396948,1.000000,0.306752,2.108652,0.618377,completed
acm,target_target_skeleton,k_s=8,0,0.723324,0.715834,3,1.000000,0.400000,1.000000,0.306752,1.871014,4.018104,completed
dblp,mean_only_demand,include_degree_features=false,0,0.830986,0.823157,4,1.000000,0.000000,1.000000,0.000278,1.882069,0.387368,completed
dblp,residual_shadow_off,residual_shadow=false,0,0.828873,0.820936,4,1.000000,0.000000,1.000000,0.013235,1.402646,0.388055,completed
dblp,real_source_centroid,shadow_mode=real_source_centroid,0,0.766549,0.760669,4,1.000000,0.000000,1.000000,1.007584,6.567192,0.404604,completed
dblp,private_shadow_upper_bound,shadow_mode=private_shadow,0,0.828521,0.820563,4,1.000000,0.000000,1.000000,0.000000,1.509307,0.357994,completed
dblp,prototype_loss,loss_type=unweighted,0,0.816549,0.810076,4,1.000000,0.000000,1.000000,0.013235,1.264915,0.300278,completed
dblp,prototype_loss,loss_type=clipped,0,0.828873,0.820936,4,1.000000,0.000000,1.000000,0.013235,0.989409,0.318027,completed
dblp,prototype_loss,loss_type=class_balanced,0,0.826056,0.819450,4,1.000000,0.000000,1.000000,0.013235,5.338904,0.425656,completed
dblp,prototype_loss,loss_type=sqrt_weighted,0,0.824648,0.817787,4,1.000000,0.000000,1.000000,0.013235,1.496468,0.311950,completed
dblp,backbone,model=relation_linear,0,0.828873,0.820936,4,1.000000,0.000000,1.000000,0.013235,1.190148,0.351119,completed
dblp,backbone,model=relation_mlp,0,0.695423,0.693740,4,1.000000,0.000000,1.000000,0.013235,0.999348,6.093483,completed
dblp,relation_norm_calibration,calibration_enabled=false,0,0.828873,0.820936,4,1.000000,0.000000,1.000000,0.013235,1.291166,0.371455,completed
