generated_at,git_commit,config_hash,run_id,dataset,method,M_tau_requested,M_tau_effective,M_r_resolved_summary,feature_dim,projection_type,loss_type,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,condensation_time_mean,training_time_mean,inference_time_mean,status
2026-06-07T13:28:24Z,92a00a6,15f8d611548d1c01,acm-Full-WRL-GNN-seedna-15f8d611,acm,Full-WRL-GNN,,,,64,raw,clipped,relation_linear,0.801542,0.005644,0.805829,0.005063,0.000000,7.264334,0.000000,completed
2026-06-07T13:30:31Z,92a00a6,4c55ee3e6db7b5f0,acm-Herding-HG-seed2-4c55ee3e,acm,Herding-HG,110,110,,64,raw,,,0.741265,0.000000,,,0.000000,0.168326,0.000000,completed
2026-06-07T13:30:09Z,92a00a6,893bf92bc1ec6093,acm-Herding-HG-seed0-893bf92b,acm,Herding-HG,114,114,,64,raw,,,0.748584,0.011095,,,0.000000,0.158349,0.000000,completed
2026-06-07T13:28:51Z,92a00a6,a32894a3d1d3c77f,acm-Herding-HG-seed0-a32894a3,acm,Herding-HG,12,12,,64,raw,,,0.580579,0.022086,,,0.000000,0.134960,0.000000,completed
2026-06-07T13:29:40Z,92a00a6,733174b979a076a6,acm-Herding-HG-seed0-733174b9,acm,Herding-HG,18,18,,64,raw,,,0.608121,0.007966,,,0.000000,0.133945,0.000000,completed
2026-06-07T13:30:30Z,92a00a6,6b2e16d7b3a9045b,acm-Herding-HG-seed2-6b2e16d7,acm,Herding-HG,43,43,,64,raw,,,0.623702,0.000000,,,0.000000,0.142431,0.000000,completed
2026-06-07T13:30:08Z,92a00a6,b8e7c59645cea8da,acm-Herding-HG-seed0-b8e7c596,acm,Herding-HG,45,45,,64,raw,,,0.637630,0.001180,,,0.000000,0.139209,0.000000,completed
2026-06-07T13:28:52Z,92a00a6,570ac2de00a22102,acm-Herding-HG-seed0-570ac2de,acm,Herding-HG,52,52,,64,raw,,,0.643689,0.006996,,,0.000000,0.140709,0.000000,completed
2026-06-07T13:29:41Z,92a00a6,2c5b017f8e100621,acm-Herding-HG-seed0-2c5b017f,acm,Herding-HG,58,58,,64,raw,,,0.663676,0.005564,,,0.000000,0.142638,0.000000,completed
2026-06-07T13:30:31Z,92a00a6,0530d2a4ef758069,acm-K-Center-HG-seed2-0530d2a4,acm,K-Center-HG,110,110,,64,raw,,,0.749292,0.000000,,,0.000000,0.183263,0.000000,completed
2026-06-07T13:30:09Z,92a00a6,84e25af82a4db98c,acm-K-Center-HG-seed0-84e25af8,acm,K-Center-HG,114,114,,64,raw,,,0.755902,0.009915,,,0.000000,0.158153,0.000000,completed
