dataset,method,feature_dim,projection_type,loss_type,model,accuracy_std,macro_f1_std,status,accuracy,macro_f1,skeleton_coverage_mean,residual_energy_mean,shadow_recon_err_mean,prototype_train_acc,ratio,ratio_base,budget_mode,requested_target_budget,effective_target_prototypes,M_requested,M_effective,num_train_target_nodes,num_train_classes,min_proto_per_class,baseline_match_mode,baseline_budget,shadow_condensed_nodes_total,shadow_nodes_total,condensed_nodes_total,condensed_edges_total,effective_target_ratio,condensed_node_ratio_to_train_target,condensed_node_ratio_to_all_task_nodes,predicted_classes,condense_s,train_s,infer_s,peak_cpu_ram_gb,peak_gpu_ram_gb,source_log
acm,Full-WRL-GNN,64,raw,clipped,relation_linear,0.005644,0.005063,completed,0.801542,0.805829,,,,,,,count,,,,,,3,,,,,,,,,,,3,,7.264334,,,,experiments/logs/small_ratio_grid/acm_Full-WRL-GNN_seed0.json;experiments/logs/small_ratio_grid/acm_Full-WRL-GNN_seed1.json;experiments/logs/small_ratio_grid/acm_Full-WRL-GNN_seed2.json
acm,Herding-HG,64,raw,,,0.022086,,completed,0.580579,,,,,,0.005,train_target,ratio,12,12,12,12,,,,target_ratio,12,52,,12,0,,0.013230429988974642,0.003966942148760331,,0.000000,0.136825,0.000000,,,experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p005_seed0.json;experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p005_seed1.json;experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p005_seed2.json
acm,Herding-HG,64,raw,,,0.006996,,completed,0.643689,,,,,,0.005,train_target,ratio,52,52,52,52,,,,total_condensed_nodes,52,52,,52,0,,0.05733186328555678,0.0171900826446281,,0.000000,0.140245,0.000000,,,experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p005_seed0.json;experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p005_seed1.json;experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p005_seed2.json
acm,Herding-HG,64,raw,,,0.022086,,completed,0.580579,,,,,,0.01,train_target,ratio,12,12,12,12,,,,target_ratio,12,52,,12,0,,0.013230429988974642,0.003966942148760331,,0.000000,0.133095,0.000000,,,experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p01_seed0.json;experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p01_seed1.json;experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p01_seed2.json
acm,Herding-HG,64,raw,,,0.006996,,completed,0.643689,,,,,,0.01,train_target,ratio,52,52,52,52,,,,total_condensed_nodes,52,52,,52,0,,0.05733186328555678,0.0171900826446281,,0.000000,0.141174,0.000000,,,experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p01_seed0.json;experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p01_seed1.json;experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p01_seed2.json
acm,Herding-HG,64,raw,,,0.007966,,completed,0.608121,,,,,,0.02,train_target,ratio,18,18,18,18,,,,target_ratio,18,58,,18,0,,0.019845644983461964,0.0059504132231404955,,0.000000,0.133945,0.000000,,,experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p02_seed0.json;experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p02_seed1.json;experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p02_seed2.json
acm,Herding-HG,64,raw,,,0.005564,,completed,0.663676,,,,,,0.02,train_target,ratio,58,58,58,58,,,,total_condensed_nodes,58,58,,58,0,,0.0639470782800441,0.019173553719008266,,0.000000,0.142638,0.000000,,,experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p02_seed0.json;experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p02_seed1.json;experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p02_seed2.json
acm,Herding-HG,64,raw,,,0.000000,,completed,0.741265,,,,,,0.05,train_target,ratio,110,110,110,110,,,,total_condensed_nodes,110,110,,110,0,,0.12127894156560089,0.03636363636363636,,0.000000,0.168326,0.000000,,,experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p05_seed2.json
acm,Herding-HG,64,raw,,,0.011095,,completed,0.748584,,,,,,0.05,train_target,ratio,114,114,114,114,,,,total_condensed_nodes,114,114,,114,0,,0.1256890848952591,0.03768595041322314,,0.000000,0.158349,0.000000,,,experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p05_seed0.json;experiments/logs/small_ratio_grid/acm_Herding_HG_total_condensed_nodes_r0p05_seed1.json
acm,Herding-HG,64,raw,,,0.000000,,completed,0.623702,,,,,,0.05,train_target,ratio,43,43,43,43,,,,target_ratio,43,110,,43,0,,0.047409040793825796,0.014214876033057851,,0.000000,0.142431,0.000000,,,experiments/logs/small_ratio_grid/acm_Herding_HG_target_ratio_r0p05_seed2.json
