dataset,ablation,setting,seed,accuracy,macro_f1,num_predicted_classes,prototype_train_acc,skeleton_coverage_mean,residual_energy_mean,shadow_recon_err_mean,condensation_time,training_time,status
acm,mean_only_demand,include_degree_features=false,0,0.789896,0.786852,3,1.000000,0.365028,1.000000,0.184539,2.252217,5.621778,completed
acm,residual_shadow_off,residual_shadow=false,0,0.788008,0.788099,3,1.000000,0.342453,1.000000,0.569192,4.795369,5.732460,completed
acm,real_source_centroid,shadow_mode=real_source_centroid,0,0.803588,0.802888,3,1.000000,0.342453,1.000000,0.821332,12.684622,9.550385,completed
acm,private_shadow_upper_bound,shadow_mode=private_shadow,0,0.751180,0.750947,3,1.000000,0.342453,1.000000,0.000000,1.616235,6.009384,completed
acm,prototype_loss,loss_type=unweighted,0,0.695940,0.694219,3,1.000000,0.342453,1.000000,0.306752,5.667214,5.892257,completed
acm,prototype_loss,loss_type=clipped,0,0.765345,0.764125,3,1.000000,0.342453,1.000000,0.306752,1.892585,9.805032,completed
acm,prototype_loss,loss_type=class_balanced,0,0.674221,0.657612,3,1.000000,0.342453,1.000000,0.306752,2.086300,9.501261,completed
acm,prototype_loss,loss_type=sqrt_weighted,0,0.754485,0.751742,3,1.000000,0.342453,1.000000,0.306752,2.062560,9.083964,completed
acm,backbone,model=relation_linear,0,0.698772,0.686909,3,1.000000,0.342453,1.000000,0.306752,2.110947,0.643998,completed
acm,backbone,model=relation_mlp,0,0.765345,0.764125,3,1.000000,0.342453,1.000000,0.306752,2.073648,9.555721,completed
acm,relation_norm_calibration,calibration_enabled=false,0,0.797923,0.799229,3,1.000000,0.342453,1.000000,0.256946,2.182357,5.852286,completed
acm,target_target_skeleton,k_s=0,0,0.758735,0.758419,3,1.000000,0.000000,1.000000,0.306752,5.668744,6.047317,completed
acm,target_target_skeleton,k_s=1,0,0.764873,0.762662,3,1.000000,0.234224,1.000000,0.306752,1.906607,9.793731,completed
acm,target_target_skeleton,k_s=2,0,0.765345,0.764125,3,1.000000,0.342453,1.000000,0.306752,2.100221,9.669981,completed
acm,target_target_skeleton,k_s=4,0,0.695940,0.688816,3,1.000000,0.396948,1.000000,0.306752,2.066943,9.334749,completed
acm,target_target_skeleton,k_s=8,0,0.764873,0.763629,3,1.000000,0.400000,1.000000,0.306752,2.331163,6.024579,completed
dblp,mean_only_demand,include_degree_features=false,0,0.674648,0.666493,4,1.000000,0.000000,1.000000,0.000278,1.734575,5.414986,completed
dblp,residual_shadow_off,residual_shadow=false,0,0.695423,0.693740,4,1.000000,0.000000,1.000000,0.013235,1.288147,2.203462,completed
dblp,real_source_centroid,shadow_mode=real_source_centroid,0,0.673944,0.668454,4,1.000000,0.000000,1.000000,1.007584,6.474423,2.338762,completed
dblp,private_shadow_upper_bound,shadow_mode=private_shadow,0,0.740845,0.737228,4,1.000000,0.000000,1.000000,0.000000,1.272408,2.181460,completed
dblp,prototype_loss,loss_type=unweighted,0,0.692606,0.686993,4,1.000000,0.000000,1.000000,0.013235,5.145518,2.300299,completed
dblp,prototype_loss,loss_type=clipped,0,0.695423,0.693740,4,1.000000,0.000000,1.000000,0.013235,1.283845,2.191618,completed
dblp,prototype_loss,loss_type=class_balanced,0,0.691197,0.676875,4,1.000000,0.000000,1.000000,0.013235,3.706054,3.155935,completed
dblp,prototype_loss,loss_type=sqrt_weighted,0,0.739084,0.730816,4,1.000000,0.000000,1.000000,0.013235,1.269466,2.117667,completed
dblp,backbone,model=relation_linear,0,0.828873,0.820936,4,1.000000,0.000000,1.000000,0.013235,1.167815,0.317281,completed
dblp,backbone,model=relation_mlp,0,0.695423,0.693740,4,1.000000,0.000000,1.000000,0.013235,5.132041,2.415925,completed
