dataset,ablation,setting,seed,accuracy,macro_f1,num_predicted_classes,prototype_train_acc,skeleton_coverage_mean,residual_energy_mean,shadow_recon_err_mean,condensation_time,training_time,status
acm,mean_only_demand,include_degree_features=false,0,0.320113,0.164971,2,0.343750,0.340089,1.000000,0.584437,2.542323,0.012054,completed
acm,residual_shadow_off,residual_shadow=false,0,0.318225,0.160994,2,0.343750,0.353746,0.999999,0.683962,2.086554,0.012725,completed
acm,real_source_centroid,shadow_mode=real_source_centroid,0,0.319641,0.161479,1,0.343750,0.353746,0.999999,0.773032,2.895937,0.013164,completed
acm,private_shadow_upper_bound,shadow_mode=private_shadow,0,0.371105,0.231350,3,0.500000,0.353746,0.999999,0.000000,1.802803,0.017120,completed
acm,prototype_loss,loss_type=unweighted,0,0.320113,0.166694,2,0.343750,0.353746,0.999999,0.517782,2.260554,0.012759,completed
acm,prototype_loss,loss_type=clipped,0,0.320585,0.166630,2,0.343750,0.353746,0.999999,0.517782,2.280388,0.013700,completed
acm,prototype_loss,loss_type=class_balanced,0,0.320585,0.166630,2,0.343750,0.353746,0.999999,0.517782,2.377760,0.013237,completed
acm,prototype_loss,loss_type=sqrt_weighted,0,0.327668,0.180156,2,0.343750,0.353746,0.999999,0.517782,2.270666,0.011994,completed
acm,backbone,model=relation_linear,0,0.347025,0.197885,2,0.375000,0.353746,0.999999,0.517782,2.206797,0.002454,completed
acm,backbone,model=relation_mlp,0,0.320585,0.166630,2,0.343750,0.353746,0.999999,0.517782,2.375624,0.013818,completed
acm,relation_norm_calibration,calibration_enabled=false,0,0.322002,0.169524,2,0.406250,0.353746,0.999999,0.396252,2.280067,0.013645,completed
acm,target_target_skeleton,k_s=0,0,0.320585,0.166630,2,0.343750,0.000000,1.000000,0.517783,2.280477,0.013259,completed
acm,target_target_skeleton,k_s=1,0,0.320585,0.166630,2,0.343750,0.292740,0.999999,0.517782,2.268852,0.012919,completed
acm,target_target_skeleton,k_s=2,0,0.320585,0.166630,2,0.343750,0.353746,0.999999,0.517782,2.283878,0.011660,completed
acm,target_target_skeleton,k_s=4,0,0.320585,0.166630,2,0.343750,0.391733,0.999999,0.517782,2.269668,0.012879,completed
acm,target_target_skeleton,k_s=8,0,0.320585,0.166630,2,0.343750,0.399363,0.999999,0.517782,2.272012,0.012500,completed
