dataset,ratio,ratio_percent,requested_target_budget,effective_target_prototypes_seed0,shadow_nodes_total_seed0,condensed_nodes_total_seed0,condensed_node_ratio_to_train_target_seed0,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,source_logs
dblp,0.012,1.2,16,16,16,32,0.02629416598192276,0.8264084458351135,0.002012477315337856,0.818513830502828,0.0020118707128550808,experiments\logs\small_ratio_requested_20260608\dblp_r0p012_seed0.json;experiments\logs\small_ratio_requested_20260608\dblp_r0p012_seed1.json;experiments\logs\small_ratio_requested_20260608\dblp_r0p012_seed2.json
dblp,0.024,2.4,29,29,29,58,0.047658175842235,0.8275821606318156,0.0006639533535416173,0.820248211423556,0.0010056698073918234,experiments\logs\small_ratio_requested_20260608\dblp_r0p024_seed0.json;experiments\logs\small_ratio_requested_20260608\dblp_r0p024_seed1.json;experiments\logs\small_ratio_requested_20260608\dblp_r0p024_seed2.json
dblp,0.048,4.8,58,58,58,116,0.09531635168447,0.8268779317537943,0.00043914793427846885,0.819322889049848,0.0005192686924800504,experiments\logs\small_ratio_requested_20260608\dblp_r0p048_seed0.json;experiments\logs\small_ratio_requested_20260608\dblp_r0p048_seed1.json;experiments\logs\small_ratio_requested_20260608\dblp_r0p048_seed2.json
dblp,0.096,9.6,117,117,117,234,0.1922760887428102,0.8267605503400167,0.0016007204545205184,0.818815698226293,0.001659812993691062,experiments\logs\small_ratio_requested_20260608\dblp_r0p096_seed0.json;experiments\logs\small_ratio_requested_20260608\dblp_r0p096_seed1.json;experiments\logs\small_ratio_requested_20260608\dblp_r0p096_seed2.json
acm,0.012,1.2,12,12,40,52,0.05733186328555678,0.6013534863789877,0.13743748186329005,0.5680218173397912,0.15650546472622184,experiments\logs\small_ratio_requested_20260608\acm_r0p012_seed0.json;experiments\logs\small_ratio_requested_20260608\acm_r0p012_seed1.json;experiments\logs\small_ratio_requested_20260608\acm_r0p012_seed2.json
acm,0.024,2.4,22,22,40,62,0.06835722160970231,0.6828769246737162,0.05364504806925623,0.6451723509364657,0.06784861416018476,experiments\logs\small_ratio_requested_20260608\acm_r0p024_seed0.json;experiments\logs\small_ratio_requested_20260608\acm_r0p024_seed1.json;experiments\logs\small_ratio_requested_20260608\acm_r0p024_seed2.json
acm,0.048,4.8,44,44,67,111,0.12238147739801543,0.7137236396471659,0.03688832848208677,0.7011295060316721,0.043990264591623196,experiments\logs\small_ratio_requested_20260608\acm_r0p048_seed0.json;experiments\logs\small_ratio_requested_20260608\acm_r0p048_seed1.json;experiments\logs\small_ratio_requested_20260608\acm_r0p048_seed2.json
acm,0.096,9.6,87,87,131,218,0.24035281146637266,0.8572552800178528,0.008936153705779751,0.8576684461699592,0.009325684203747422,experiments\logs\small_ratio_requested_20260608\acm_r0p096_seed0.json;experiments\logs\small_ratio_requested_20260608\acm_r0p096_seed1.json;experiments\logs\small_ratio_requested_20260608\acm_r0p096_seed2.json
imdb,0.012,1.2,20,20,24,44,0.032093362509117436,0.3376015027364095,0.005864895304447802,0.299789767464002,0.006293637328786618,experiments\logs\small_ratio_requested_20260608\imdb_r0p012_seed0.json;experiments\logs\small_ratio_requested_20260608\imdb_r0p012_seed1.json;experiments\logs\small_ratio_requested_20260608\imdb_r0p012_seed2.json
imdb,0.024,2.4,33,33,33,66,0.04814004376367615,0.31813449660936993,0.006376600849996937,0.2920856108268102,0.006842350583133229,experiments\logs\small_ratio_requested_20260608\imdb_r0p024_seed0.json;experiments\logs\small_ratio_requested_20260608\imdb_r0p024_seed1.json;experiments\logs\small_ratio_requested_20260608\imdb_r0p024_seed2.json
imdb,0.048,4.8,66,66,66,132,0.0962800875273523,0.31417863567670185,0.008059638978906372,0.2997406860192617,0.010108385027108898,experiments\logs\small_ratio_requested_20260608\imdb_r0p048_seed0.json;experiments\logs\small_ratio_requested_20260608\imdb_r0p048_seed1.json;experiments\logs\small_ratio_requested_20260608\imdb_r0p048_seed2.json
imdb,0.096,9.6,132,131,132,263,0.19183078045222465,0.29668956995010376,0.008360588340629492,0.27573377440373104,0.0046092620026639336,experiments\logs\small_ratio_requested_20260608\imdb_r0p096_seed0.json;experiments\logs\small_ratio_requested_20260608\imdb_r0p096_seed1.json;experiments\logs\small_ratio_requested_20260608\imdb_r0p096_seed2.json
