dataset,variant,seed,status,invalid_reasons,requested_ratio,ratio_mode,total_condensed_node_ratio,total_condensed_edge_ratio,byte_size_compression,accuracy,macro_f1,weighted_f1,predicted_class_count,prediction_entropy,model_type,prototype_mode,loss_type,teacher_type,use_kd,use_diffusion,use_source_anchors,use_coverage_medoid,metapath_blocks,path_lad_blocks,lad_blocks,two_hop_lad_blocks,block_norm_stats_source,train_time,condense_time,infer_time,peak_cpu_ram,peak_gpu_ram,source_log
acm,S1_clean_metapath_sehgnn,42,completed,[],0.048,train_target,0.004021202705172729,,,0.8432483673095703,0.8443612655003866,0.8421937019815254,3,1.0837107302861186,sehgnn_lite,class_wise_kmeans_mean,clipped,none,False,False,False,False,"[""PAP"", ""PSP"", ""PTP""]",[],[],[],train_full_target_rows,0.4017906,,0.017486599999999797,,,experiments\logs\sota_clean_small_seed42\acm_S1_clean_metapath_sehgnn_r0p048_seed42.json
acm,S1_clean_metapath_sehgnn,42,completed,[],0.096,train_target,0.007768232498629135,,,0.8800755143165588,0.8795819679896036,0.8784021956787729,3,1.0963500166062612,sehgnn_lite,class_wise_kmeans_mean,clipped,none,False,False,False,False,"[""PAP"", ""PSP"", ""PTP""]",[],[],[],train_full_target_rows,0.44708600000000054,,0.02094680000000082,,,experiments\logs\sota_clean_small_seed42\acm_S1_clean_metapath_sehgnn_r0p096_seed42.json
acm,S1_clean_metapath_sehgnn,42,completed,[],0.12,train_target,0.0097788338512155,,,0.8937677145004272,0.8940866192181905,0.8930575462625218,3,1.095558687795767,sehgnn_lite,class_wise_kmeans_mean,clipped,none,False,False,False,False,"[""PAP"", ""PSP"", ""PTP""]",[],[],[],train_full_target_rows,0.4517463999999993,,0.01921090000000092,,,experiments\logs\sota_clean_small_seed42\acm_S1_clean_metapath_sehgnn_r0p12_seed42.json
acm,S1_clean_metapath_sehgnn,42,completed,[],0.15,train_target,0.011698044233229756,,,0.8706326484680176,0.869088351726532,0.8683041600539181,3,1.092494100086591,sehgnn_lite,class_wise_kmeans_mean,clipped,none,False,False,False,False,"[""PAP"", ""PSP"", ""PTP""]",[],[],[],train_full_target_rows,0.48759649999999866,,0.02000030000000308,,,experiments\logs\sota_clean_small_seed42\acm_S1_clean_metapath_sehgnn_r0p15_seed42.json
dblp,S0_current_best,42,completed,[],0.005,target_only,0.001224739742804654,0.000814456604734029,0.0011799163478974724,0.7838028073310852,0.7758937478065491,0.7843913104281219,4,1.373863294086696,relation_linear,kmeans_mean,,none,False,False,False,False,[],[],[],[],train_full_demand_table,0.08592289999999991,1.028008400000001,0.02210499999999982,13142908928,0,experiments\logs\sota_clean_small_seed42\dblp_S0_current_best_r0p005_seed42.json
dblp,S1_clean_APA_sehgnn,42,completed,[],0.005,train_target,0.000612369871402327,,,0.7626760601997375,0.7586506754159927,0.7610985560251193,4,1.3033586483149662,sehgnn_lite,class_wise_kmeans_mean,clipped,none,False,False,False,False,"[""APA""]",[],[],[],train_full_target_rows,0.1464168999999984,,0.0030608000000000857,,,experiments\logs\sota_clean_small_seed42\dblp_S1_clean_APA_sehgnn_r0p005_seed42.json
dblp,S0_current_best,42,completed,[],0.065,target_only,0.006047152480097979,0.004021379485874268,0.00582583696774377,0.7785211205482483,0.7709946632385254,0.779582118576929,4,1.3736840300631052,relation_linear,kmeans_mean,,none,False,False,False,False,[],[],[],[],train_full_demand_table,0.09081819999999752,1.9296163000000028,0.019368999999997527,13173714944,0,experiments\logs\sota_clean_small_seed42\dblp_S0_current_best_r0p065_seed42.json
dblp,S1_clean_APA_sehgnn,42,completed,[],0.065,train_target,0.0030235762400489894,,,0.7700704336166382,0.7602305710315704,0.7685349935153117,4,1.3474714178903913,sehgnn_lite,class_wise_kmeans_mean,clipped,none,False,False,False,False,"[""APA""]",[],[],[],train_full_target_rows,0.21203299999999814,,0.003155699999997097,,,experiments\logs\sota_clean_small_seed42\dblp_S1_clean_APA_sehgnn_r0p065_seed42.json
dblp,S0_current_best,42,completed,[],0.096,target_only,0.008955909369259033,0.005955713922117587,0.008628138294000266,0.7845070362091064,0.7770234197378159,0.7851666426975231,4,1.3746143496793686,relation_linear,kmeans_mean,,none,False,False,False,False,[],[],[],[],train_full_demand_table,0.10119330000000204,2.248751199999994,0.018791100000001393,13160771584,0,experiments\logs\sota_clean_small_seed42\dblp_S0_current_best_r0p096_seed42.json
dblp,S1_clean_APA_sehgnn,42,completed,[],0.096,train_target,0.004477954684629516,,,0.7644366025924683,0.7589197754859924,0.766229963824423,4,1.3588470611197643,sehgnn_lite,class_wise_kmeans_mean,clipped,none,False,False,False,False,"[""APA""]",[],[],[],train_full_target_rows,0.23735010000000045,,0.0033722000000011576,,,experiments\logs\sota_clean_small_seed42\dblp_S1_clean_APA_sehgnn_r0p096_seed42.json
