dataset,variant,seed,requested_ratio,requested_full_condensed_node_ratio,effective_target_ratio,total_condensed_node_ratio,total_condensed_edge_ratio,byte_size_compression,accuracy,macro_f1,weighted_f1,predicted_class_count,prediction_entropy,prototype_mode,model_type,metapath_blocks,path_lad_blocks,source_anchor_mode,teacher_type,use_kd,condense_time_s,train_time_s,infer_time_s,peak_cpu_ram_gb,peak_gpu_ram_gb,compiled_block_stats_source,status,reason,source_log
ogbn-arxiv,S0_current_best,42,,0.0005,0.0006267800002199228,0.000501939849890459,0.00014490976580352466,0.0003895976352178995,0.3409666121006012,0.20036885540466756,0.3712801170200026,40,3.01984265190634,kmeans_mean,shadow_fusion,[],[],none,none,False,6.8222727,0.19481279999999934,0.3269915000000001,2.280925750732422,0.0,train_full_demand_table,completed,,experiments\logs\sota_medium_seed42\ogbn-arxiv_S0_current_best_fullnode_r0p0005_seed42.json
ogbn-arxiv,S2_coverage_medoids,42,,0.0005,0.0006267800002199228,0.000501939849890459,0.00014662467427457228,0.00039013724413094363,0.24883237481117249,0.03835016243392601,0.18232030182301015,23,1.6701961828320915,coverage_medoid,compiled_demand_mlp,[],[],none,none,False,6.454136099999996,0.3270887000000009,0.14669050000000183,3.3768234252929688,0.0,train_full_demand_table,completed,,experiments\logs\sota_medium_seed42\ogbn-arxiv_S2_coverage_medoids_fullnode_r0p0005_seed42.json
ogbn-arxiv,S4_teacher_kd,42,,0.0005,0.0006267800002199228,0.000501939849890459,0.00014662467427457228,0.00039013724413094363,0.1873341202735901,0.0315606064224994,0.16873468818653523,5,0.5787869822255352,coverage_medoid,compiled_demand_mlp,[],"[""P1""]",none,sign_lad_mlp,True,6.736513800000001,0.38857969999999753,0.16934750000000065,3.5964431762695312,0.0,train_full_demand_table,completed,,experiments\logs\sota_medium_seed42\ogbn-arxiv_S4_teacher_kd_fullnode_r0p0005_seed42.json
ogbn-arxiv,S0_current_best,42,,0.0025,0.0031009115800354078,0.002497888900043108,0.0006465204935849561,0.0019153418368503244,0.3779190480709076,0.22030348842963576,0.3956372455291068,38,2.912971508347768,kmeans_mean,shadow_fusion,[],[],none,none,False,9.011238599999999,0.3617058999999969,0.3240714000000011,3.512767791748047,0.0,train_full_demand_table,completed,,experiments\logs\sota_medium_seed42\ogbn-arxiv_S0_current_best_fullnode_r0p0025_seed42.json
ogbn-arxiv,S2_coverage_medoids,42,,0.0025,0.0031009115800354078,0.002497888900043108,0.0007254062832531471,0.0019401638468503567,0.38330966234207153,0.1439939347677864,0.36468867056953236,29,2.2842531070870375,coverage_medoid,compiled_demand_mlp,[],[],none,none,False,222.43525490000002,0.8032375999999886,0.1335882000000197,3.646209716796875,0.0,train_full_demand_table,completed,,experiments\logs\sota_medium_seed42\ogbn-arxiv_S2_coverage_medoids_fullnode_r0p0025_seed42.json
ogbn-arxiv,S4_teacher_kd,42,,0.0025,0.0031009115800354078,0.002497888900043108,0.0007254062832531471,0.0019401638468503567,0.3736394941806793,0.09214521762914955,0.3173646128811302,17,1.3899468224445917,coverage_medoid,compiled_demand_mlp,[],"[""P1""]",none,sign_lad_mlp,True,220.4354067,0.9449318000000062,0.15640380000002096,3.660503387451172,0.0,train_full_demand_table,completed,,experiments\logs\sota_medium_seed42\ogbn-arxiv_S4_teacher_kd_fullnode_r0p0025_seed42.json
ogbn-arxiv,S0_current_best,42,,0.005,0.00621281930042555,0.005001682974790809,0.001298614439700817,0.0038364844695158735,0.44456103444099426,0.25993386530317364,0.45456835408419527,39,2.7517642426567814,kmeans_mean,shadow_fusion,[],[],none,none,False,12.507840500000043,0.5745296999999709,0.3284037999999896,3.6166229248046875,0.0,train_full_demand_table,completed,,experiments\logs\sota_medium_seed42\ogbn-arxiv_S0_current_best_fullnode_r0p005_seed42.json
ogbn-arxiv,S2_coverage_medoids,42,,0.005,0.00621281930042555,0.005001682974790809,0.0014533849292128656,0.003885184173918111,0.4671933948993683,0.2052860957570374,0.45053552953002773,34,2.61888155516628,coverage_medoid,compiled_demand_mlp,[],[],none,none,False,937.2597082,1.4703799999999774,0.13599010000007183,3.8133926391601562,0.0,train_full_demand_table,completed,,experiments\logs\sota_medium_seed42\ogbn-arxiv_S2_coverage_medoids_fullnode_r0p005_seed42.json
ogbn-arxiv,S4_teacher_kd,42,,0.005,0.00621281930042555,0.005001682974790809,0.0014533849292128656,0.003885184173918111,0.2010781168937683,0.059561424615094435,0.18203842648290747,16,1.1594185341947982,coverage_medoid,compiled_demand_mlp,[],"[""P1""]",none,sign_lad_mlp,True,929.7806461000002,1.6472584999996798,0.15532699999994293,3.805694580078125,0.0,train_full_demand_table,completed,,experiments\logs\sota_medium_seed42\ogbn-arxiv_S4_teacher_kd_fullnode_r0p005_seed42.json
ogbn-products,S0_current_best,42,,0.0005,0.004155328942349261,0.0005001982418338044,1.9794972901336812e-05,0.00012978197482058922,0.5135102868080139,0.18708413856183279,0.47230274341067024,36,2.2767447209453944,kmeans_mean,shadow_fusion,[],[],none,none,False,30.024387699999807,0.7589969000000565,32.74105650000001,14.05868911743164,0.0,train_full_demand_table,completed,,experiments\logs\sota_medium_seed42\ogbn-products_S0_current_best_fullnode_r0p0005_seed42.json
