dataset,variant,seed,requested_ratio,requested_full_condensed_node_ratio,effective_target_ratio,total_condensed_node_ratio,total_condensed_edge_ratio,byte_size_compression,accuracy,macro_f1,weighted_f1,predicted_class_count,prediction_entropy,prototype_mode,model_type,metapath_blocks,path_lad_blocks,source_anchor_mode,teacher_type,use_kd,condense_time_s,train_time_s,infer_time_s,peak_cpu_ram_gb,peak_gpu_ram_gb,compiled_block_stats_source,status,reason,source_log
acm,S0_current_best,42,0.012,,0.013230429988974642,0.005026503381465911,0.0003723874691616627,0.0048438483424798565,0.6496695280075073,0.6117899715900421,0.6080539276289382,3,0.9341547200732143,kmeans_mean,relation_linear,[],[],none,none,False,4.100849499999999,0.14437100000000047,0.011227100000000156,7.638034820556641,0.0,train_full_demand_table,completed,,experiments\logs\sota_small_seed42\acm_S0_current_best_r0p012_seed42.json
acm,S1_sehgnn_lite_metapath,42,0.012,,0.013230429988974642,0.005026503381465911,0.0003723874691616627,0.0048438483424798565,0.477337121963501,0.41942377388477325,0.41552452933035916,3,0.5166126894955725,kmeans_mean,compiled_demand_mlp,[],[],none,none,False,2.4401464000000006,0.46217159999999957,0.03268480000000018,11.273609161376953,0.0,train_full_demand_table,completed,,experiments\logs\sota_small_seed42\acm_S1_sehgnn_lite_metapath_r0p012_seed42.json
acm,S2_coverage_medoids,42,0.012,,0.013230429988974642,0.0049351124108938035,0.00035806487419390645,0.004759408081679828,0.580736517906189,0.5811920464038849,0.5751504137013815,3,1.0572943945797528,coverage_medoid,compiled_demand_mlp,[],[],none,none,False,1.394373400000001,0.5224437000000002,0.032051199999999724,13.0322265625,0.0,train_full_demand_table,completed,,experiments\logs\sota_small_seed42\acm_S2_coverage_medoids_r0p012_seed42.json
acm,S3_path_lad_source_anchor,42,0.012,,0.013230429988974642,0.0049351124108938035,0.00035806487419390645,0.004759408081679828,0.5335221886634827,0.5181722690661749,0.5123465918686181,3,1.0453245889451532,coverage_medoid,compiled_demand_mlp,[],"[""PAP"", ""PSP"", ""PTP""]",coverage_residual,none,False,1.3927100000000028,0.5945621999999986,0.03658259999999913,13.043338775634766,0.0,train_full_demand_table,completed,,experiments\logs\sota_small_seed42\acm_S3_path_lad_source_anchor_r0p012_seed42.json
acm,S4_teacher_kd,42,0.012,,0.013230429988974642,0.0049351124108938035,0.00035806487419390645,0.004759408081679828,0.5250235795974731,0.5354994833469391,0.5322999950749786,3,1.0480849117196005,coverage_medoid,compiled_demand_mlp,[],"[""PAP"", ""PSP"", ""PTP""]",coverage_residual,sehgnn_lite,True,1.387217200000002,0.6238338999999975,0.03531759999999906,13.043743133544922,0.0,train_full_demand_table,completed,,experiments\logs\sota_small_seed42\acm_S4_teacher_kd_r0p012_seed42.json
acm,S0_current_best,42,0.024,,0.024255788313120176,0.0071284957046243835,0.000666000666000666,0.0068641760392280805,0.698300302028656,0.6789692342281342,0.6741282793671378,3,0.9688159544611052,kmeans_mean,relation_linear,[],[],none,none,False,2.2547341000000003,0.1380416999999987,0.009908400000000483,12.954498291015625,0.0,train_full_demand_table,completed,,experiments\logs\sota_small_seed42\acm_S0_current_best_r0p024_seed42.json
acm,S1_sehgnn_lite_metapath,42,0.024,,0.024255788313120176,0.0071284957046243835,0.000666000666000666,0.0068641760392280805,0.7691218256950378,0.7470992008845011,0.7467964536608024,3,1.0100308348424905,kmeans_mean,compiled_demand_mlp,[],[],none,none,False,2.4375164,0.5051237999999998,0.03140559999999937,13.047039031982422,0.0,train_full_demand_table,completed,,experiments\logs\sota_small_seed42\acm_S1_sehgnn_lite_metapath_r0p024_seed42.json
acm,S2_coverage_medoids,42,0.024,,0.024255788313120176,0.007402668616340705,0.0006337748273232144,0.007112883800096425,0.6090651750564575,0.5882640480995178,0.5852370606694841,3,1.0292586819189093,coverage_medoid,compiled_demand_mlp,[],[],none,none,False,1.4111768999999974,0.5116142000000004,0.03197070000000224,13.04421615600586,0.0,train_full_demand_table,completed,,experiments\logs\sota_small_seed42\acm_S2_coverage_medoids_r0p024_seed42.json
acm,S3_path_lad_source_anchor,42,0.024,,0.024255788313120176,0.007402668616340705,0.0006337748273232144,0.007112883800096425,0.6610009670257568,0.6498543620109558,0.6465442322782206,3,1.0736336280305303,coverage_medoid,compiled_demand_mlp,[],"[""PAP"", ""PSP"", ""PTP""]",coverage_residual,none,False,1.4275461999999983,0.614306599999999,0.0344867000000022,13.039043426513672,0.0,train_full_demand_table,completed,,experiments\logs\sota_small_seed42\acm_S3_path_lad_source_anchor_r0p024_seed42.json
acm,S4_teacher_kd,42,0.024,,0.024255788313120176,0.007402668616340705,0.0006337748273232144,0.007112883800096425,0.4107648730278015,0.37992556889851886,0.3770702398604011,3,0.837293481780576,coverage_medoid,compiled_demand_mlp,[],"[""PAP"", ""PSP"", ""PTP""]",coverage_residual,sehgnn_lite,True,1.416197700000005,0.6046054999999981,0.033937099999999276,13.056835174560547,0.0,train_full_demand_table,completed,,experiments\logs\sota_small_seed42\acm_S4_teacher_kd_r0p024_seed42.json
