dataset,fullgraph_variant,fullgraph_acc,recovery_row,status,promoted,full_to_identity_gap,identity_to_oracle_gap,oracle_to_shadow_gap,full_to_shadow_gap,reason
acm,B3_scap_v2,0.9154863357543945,identity_condensed,blocked_by_sfb_v2_fullgraph_gate,False,,,,,fullgraph gate did not pass
acm,B3_scap_v2,0.9154863357543945,prototype_oracle,blocked_by_sfb_v2_fullgraph_gate,False,,,,,fullgraph gate did not pass
acm,B3_scap_v2,0.9154863357543945,shadow_hgc_sfb_v2_signal,blocked_by_sfb_v2_fullgraph_gate,False,,,,,fullgraph gate did not pass
dblp,B0_self,0.7700704336166382,identity_condensed,blocked_by_sfb_v2_fullgraph_gate,False,,,,,fullgraph gate did not pass
dblp,B0_self,0.7700704336166382,prototype_oracle,blocked_by_sfb_v2_fullgraph_gate,False,,,,,fullgraph gate did not pass
dblp,B0_self,0.7700704336166382,shadow_hgc_sfb_v2_signal,blocked_by_sfb_v2_fullgraph_gate,False,,,,,fullgraph gate did not pass
imdb,B2_metapath,0.35352903604507446,identity_condensed,blocked_by_sfb_v2_fullgraph_gate,False,,,,,fullgraph gate did not pass
imdb,B2_metapath,0.35352903604507446,prototype_oracle,blocked_by_sfb_v2_fullgraph_gate,False,,,,,fullgraph gate did not pass
imdb,B2_metapath,0.35352903604507446,shadow_hgc_sfb_v2_signal,blocked_by_sfb_v2_fullgraph_gate,False,,,,,fullgraph gate did not pass
ogbn-arxiv,B3_scap_v2,0.516819953918457,identity_condensed,blocked_by_sfb_v2_fullgraph_gate,False,,,,,fullgraph gate did not pass
ogbn-arxiv,B3_scap_v2,0.516819953918457,prototype_oracle,blocked_by_sfb_v2_fullgraph_gate,False,,,,,fullgraph gate did not pass
ogbn-arxiv,B3_scap_v2,0.516819953918457,shadow_hgc_sfb_v2_signal,blocked_by_sfb_v2_fullgraph_gate,False,,,,,fullgraph gate did not pass
ogbn-products,B4_logit_prop,0.17556576430797577,identity_condensed,blocked_by_sfb_v2_fullgraph_gate,False,,,,,fullgraph gate did not pass
ogbn-products,B4_logit_prop,0.17556576430797577,prototype_oracle,blocked_by_sfb_v2_fullgraph_gate,False,,,,,fullgraph gate did not pass
ogbn-products,B4_logit_prop,0.17556576430797577,shadow_hgc_sfb_v2_signal,blocked_by_sfb_v2_fullgraph_gate,False,,,,,fullgraph gate did not pass
