dataset,variant,seed,status,reason,accuracy,macro_f1,weighted_f1,predicted_class_count,prediction_entropy,gate_acc,gate_acc_passed,recovery_gate,recovery_gate_passed,model_type,enabled_blocks,block_dims,block_gates,metapath_blocks,skipped_metapaths,uses_diffusion,uses_dense_p2,uses_dense_metapath_adjacency,uses_full_graph_backprop,uses_e_by_d_materialization,cache_all_targets,edge_scans_by_block,cache_bytes_by_block,disk_bytes,training_time_s,inference_time_s,wall_time_s,peak_cpu_ram_gb,peak_gpu_ram_gb,medium_execution_mode,allocation_failure,source_log
acm,B0_self,42,completed,completed,0.8418319225311279,0.8419868350028992,0.8411634734487047,3,1.0951026357144062,0.93,False,0.93,False,sfb_v2,"[""self""]","{""self"": 1902}",{},[],{},False,False,False,False,False,False,{},{},0,0.7597457999999997,0.0,0.7642888999999999,0.6745147705078125,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\acm_B0_self_seed42.json
acm,B1_typed_demand,42,completed,completed,0.9140698909759521,0.9146179556846619,0.9136718249593543,3,1.092393624451146,0.93,False,0.93,False,sfb_v2,"[""self"", ""typed:cite_ref"", ""typed:cited_by"", ""typed:writes"", ""typed:subject_of""]","{""self"": 1902, ""typed:cite_ref"": 1902, ""typed:cited_by"": 1902, ""typed:subject_of"": 1902, ""typed:writes"": 1902}","{""typed:cite_ref"": 0.6973442435264587, ""typed:cited_by"": 0.6981861591339111, ""typed:subject_of"": 0.6826843023300171, ""typed:writes"": 0.6992147564888}",[],{},False,False,False,False,False,False,"{""typed:cite_ref"": 1, ""typed:cited_by"": 1, ""typed:subject_of"": 1, ""typed:writes"": 1}","{""typed:cite_ref"": 23014200, ""typed:cited_by"": 23014200, ""typed:subject_of"": 23014200, ""typed:writes"": 23014200}",0,4.4622515,0.0,4.4906576,1.0982246398925781,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\acm_B1_typed_demand_seed42.json
acm,B2_metapath,42,completed,completed,0.9046270251274109,0.9060052831967672,0.905125766884685,3,1.097088731312335,0.93,False,0.93,False,sfb_v2,"[""self"", ""typed:cite_ref"", ""typed:cited_by"", ""typed:writes"", ""typed:subject_of"", ""metapath:PAP"", ""metapath:PSP"", ""metapath:PTP""]","{""metapath:PAP"": 1902, ""metapath:PSP"": 1902, ""metapath:PTP"": 1902, ""self"": 1902, ""typed:cite_ref"": 1902, ""typed:cited_by"": 1902, ""typed:subject_of"": 1902, ""typed:writes"": 1902}","{""metapath:PAP"": 0.7003450989723206, ""metapath:PSP"": 0.6865200996398926, ""metapath:PTP"": 0.6962830424308777, ""typed:cite_ref"": 0.695485532283783, ""typed:cited_by"": 0.6948931217193604, ""typed:subject_of"": 0.6839421987533569, ""typed:writes"": 0.6973029375076294}","[""metapath:PAP"", ""metapath:PSP"", ""metapath:PTP""]",{},False,False,False,False,False,False,"{""metapath:PAP"": 2, ""metapath:PSP"": 2, ""metapath:PTP"": 2, ""typed:cite_ref"": 1, ""typed:cited_by"": 1, ""typed:subject_of"": 1, ""typed:writes"": 1}","{""metapath:PAP"": 23014200, ""metapath:PSP"": 23014200, ""metapath:PTP"": 23014200, ""typed:cite_ref"": 23014200, ""typed:cited_by"": 23014200, ""typed:subject_of"": 23014200, ""typed:writes"": 23014200}",0,6.9500109000000005,0.0,7.447301599999999,2.531444549560547,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\acm_B2_metapath_seed42.json
acm,B3_scap_v2,42,completed,completed,0.9154863357543945,0.9165802995363871,0.9157890029310037,3,1.0973802514547295,0.93,False,0.93,False,sfb_v2,"[""self"", ""typed:cite_ref"", ""typed:cited_by"", ""typed:writes"", ""typed:subject_of"", ""metapath:PAP"", ""metapath:PSP"", ""metapath:PTP"", ""scap_v2:cite_ref"", ""scap_v2:cited_by""]","{""metapath:PAP"": 1902, ""metapath:PSP"": 1902, ""metapath:PTP"": 1902, ""scap_v2:cite_ref"": 3, ""scap_v2:cited_by"": 3, ""self"": 1902, ""typed:cite_ref"": 1902, ""typed:cited_by"": 1902, ""typed:subject_of"": 1902, ""typed:writes"": 1902}","{""metapath:PAP"": 0.7016223073005676, ""metapath:PSP"": 0.6854327321052551, ""metapath:PTP"": 0.6932214498519897, ""scap_v2:cite_ref"": 0.6869814395904541, ""scap_v2:cited_by"": 0.6864705085754395, ""typed:cite_ref"": 0.6965439319610596, ""typed:cited_by"": 0.6954575181007385, ""typed:subject_of"": 0.6833223700523376, ""typed:writes"": 0.6968056559562683}","[""metapath:PAP"", ""metapath:PSP"", ""metapath:PTP""]",{},False,False,False,False,False,False,"{""metapath:PAP"": 2, ""metapath:PSP"": 2, ""metapath:PTP"": 2, ""scap_v2:cite_ref"": 1, ""scap_v2:cited_by"": 1, ""typed:cite_ref"": 1, ""typed:cited_by"": 1, ""typed:subject_of"": 1, ""typed:writes"": 1}","{""metapath:PAP"": 23014200, ""metapath:PSP"": 23014200, ""metapath:PTP"": 23014200, ""scap_v2:cite_ref"": 36300, ""scap_v2:cited_by"": 36300, ""typed:cite_ref"": 23014200, ""typed:cited_by"": 23014200, ""typed:subject_of"": 23014200, ""typed:writes"": 23014200}",0,8.197774500000001,0.0,8.6859091,2.559661865234375,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\acm_B3_scap_v2_seed42.json
acm,B4_logit_prop,42,completed,completed,0.9088762998580933,0.909429669380188,0.9087237532123095,3,1.0970478298264317,0.93,False,0.93,False,sfb_v2,"[""self"", ""typed:cite_ref"", ""typed:cited_by"", ""typed:writes"", ""typed:subject_of"", ""metapath:PAP"", ""metapath:PSP"", ""metapath:PTP"", ""scap_v2:cite_ref"", ""scap_v2:cited_by"", ""logit_prop""]","{""logit_prop"": 3, ""metapath:PAP"": 1902, ""metapath:PSP"": 1902, ""metapath:PTP"": 1902, ""scap_v2:cite_ref"": 3, ""scap_v2:cited_by"": 3, ""self"": 1902, ""typed:cite_ref"": 1902, ""typed:cited_by"": 1902, ""typed:subject_of"": 1902, ""typed:writes"": 1902}","{""logit_prop"": 0.7060945630073547, ""metapath:PAP"": 0.7009793519973755, ""metapath:PSP"": 0.6851528882980347, ""metapath:PTP"": 0.6936686635017395, ""scap_v2:cite_ref"": 0.6872404217720032, ""scap_v2:cited_by"": 0.6865043640136719, ""typed:cite_ref"": 0.6963192820549011, ""typed:cited_by"": 0.696519672870636, ""typed:subject_of"": 0.6828694343566895, ""typed:writes"": 0.6934617161750793}","[""metapath:PAP"", ""metapath:PSP"", ""metapath:PTP""]",{},False,False,False,False,False,False,"{""logit_prop"": 1, ""metapath:PAP"": 2, ""metapath:PSP"": 2, ""metapath:PTP"": 2, ""scap_v2:cite_ref"": 1, ""scap_v2:cited_by"": 1, ""typed:cite_ref"": 1, ""typed:cited_by"": 1, ""typed:subject_of"": 1, ""typed:writes"": 1}","{""logit_prop"": 36300, ""metapath:PAP"": 23014200, ""metapath:PSP"": 23014200, ""metapath:PTP"": 23014200, ""scap_v2:cite_ref"": 36300, ""scap_v2:cited_by"": 36300, ""typed:cite_ref"": 23014200, ""typed:cited_by"": 23014200, ""typed:subject_of"": 23014200, ""typed:writes"": 23014200}",0,8.515076,0.0,17.0538179,2.64031982421875,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\acm_B4_logit_prop_seed42.json
dblp,B0_self,42,completed,completed,0.7700704336166382,0.7617398649454117,0.7696313615510597,4,1.3637085970247667,0.91,False,0.84,False,sfb_v2,"[""self""]","{""self"": 334}",{},[],{},False,False,False,False,False,False,{},{},0,1.5472560000000044,0.0,1.5489165999999983,2.5698394775390625,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\dblp_B0_self_seed42.json
dblp,B1_typed_demand,42,completed,completed,0.5095070600509644,0.4975796565413475,0.5044004215407787,4,1.3078930107146636,0.91,False,0.84,False,sfb_v2,"[""self"", ""typed:written_by""]","{""self"": 334, ""typed:written_by"": 4231}","{""typed:written_by"": 0.7036938667297363}",[],{},False,False,False,False,False,False,"{""typed:written_by"": 1}","{""typed:written_by"": 68660668}",0,3.0015327999999997,0.0,3.0491515000000007,2.6538848876953125,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\dblp_B1_typed_demand_seed42.json
dblp,B2_metapath,42,completed,completed,0.6355633735656738,0.6332688480615616,0.6334858400243727,4,1.2166380602795506,0.91,False,0.84,False,sfb_v2,"[""self"", ""typed:written_by"", ""metapath:APA"", ""metapath:APVPA"", ""metapath:APTPA""]","{""metapath:APA"": 334, ""metapath:APTPA"": 334, ""metapath:APVPA"": 334, ""self"": 334, ""typed:written_by"": 4231}","{""metapath:APA"": 0.686633288860321, ""metapath:APTPA"": 0.6911433339118958, ""metapath:APVPA"": 0.694572389125824, ""typed:written_by"": 0.7008041739463806}","[""metapath:APA"", ""metapath:APVPA"", ""metapath:APTPA""]","{""APCPA"": ""schema_missing""}",False,False,False,False,False,False,"{""metapath:APA"": 2, ""metapath:APTPA"": 4, ""metapath:APVPA"": 4, ""typed:written_by"": 1}","{""metapath:APA"": 5420152, ""metapath:APTPA"": 5420152, ""metapath:APVPA"": 5420152, ""typed:written_by"": 68660668}",0,4.830876400000001,0.0,4.921306600000001,2.6743316650390625,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\dblp_B2_metapath_seed42.json
dblp,B3_scap_v2,42,completed,completed,0.6355633735656738,0.6332688480615616,0.6334858400243727,4,1.2166380602795506,0.91,False,0.84,False,sfb_v2,"[""self"", ""typed:written_by"", ""metapath:APA"", ""metapath:APVPA"", ""metapath:APTPA""]","{""metapath:APA"": 334, ""metapath:APTPA"": 334, ""metapath:APVPA"": 334, ""self"": 334, ""typed:written_by"": 4231}","{""metapath:APA"": 0.686633288860321, ""metapath:APTPA"": 0.6911433339118958, ""metapath:APVPA"": 0.694572389125824, ""typed:written_by"": 0.7008041739463806}","[""metapath:APA"", ""metapath:APVPA"", ""metapath:APTPA""]","{""APCPA"": ""schema_missing""}",False,False,False,False,False,False,"{""metapath:APA"": 2, ""metapath:APTPA"": 4, ""metapath:APVPA"": 4, ""typed:written_by"": 1}","{""metapath:APA"": 5420152, ""metapath:APTPA"": 5420152, ""metapath:APVPA"": 5420152, ""typed:written_by"": 68660668}",0,4.759380499999999,0.0,4.8559372,2.687854766845703,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\dblp_B3_scap_v2_seed42.json
dblp,B4_logit_prop,42,completed,completed,0.6355633735656738,0.6332688480615616,0.6334858400243727,4,1.2166380602795506,0.91,False,0.84,False,sfb_v2,"[""self"", ""typed:written_by"", ""metapath:APA"", ""metapath:APVPA"", ""metapath:APTPA""]","{""metapath:APA"": 334, ""metapath:APTPA"": 334, ""metapath:APVPA"": 334, ""self"": 334, ""typed:written_by"": 4231}","{""metapath:APA"": 0.686633288860321, ""metapath:APTPA"": 0.6911433339118958, ""metapath:APVPA"": 0.694572389125824, ""typed:written_by"": 0.7008041739463806}","[""metapath:APA"", ""metapath:APVPA"", ""metapath:APTPA""]","{""APCPA"": ""schema_missing""}",False,False,False,False,False,False,"{""metapath:APA"": 2, ""metapath:APTPA"": 4, ""metapath:APVPA"": 4, ""typed:written_by"": 1}","{""metapath:APA"": 5420152, ""metapath:APTPA"": 5420152, ""metapath:APVPA"": 5420152, ""typed:written_by"": 68660668}",0,4.764947900000003,0.0,4.855101999999995,2.6819496154785156,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\dblp_B4_logit_prop_seed42.json
