dataset,base_variant,mode,space,alpha,steps,temperature,correct_alpha,correct_steps,beta,valid_acc_before,valid_acc_after,test_acc_before,test_acc_after,macro_f1_before,macro_f1_after,predicted_class_count_before,predicted_class_count_after,full_edge_execution,uses_bounded_edges,uses_diffusion,uses_dense_p2,promotion_status,promotion_reason
acm,B3_scap_v2,smooth_logits,logits,0.02,1,1.0,,,,0.9285714030265808,0.9120879173278809,0.8956562876701355,0.8791312575340271,0.8962585926055908,0.880258321762085,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.02,1,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.02,1,2.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.02,1,4.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_logits,logits,0.02,2,1.0,,,,0.9285714030265808,0.901098906993866,0.8956562876701355,0.884324848651886,0.8962585926055908,0.8855099479357401,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.02,2,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.02,2,2.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.02,2,4.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_logits,logits,0.02,4,1.0,,,,0.9285714030265808,0.8956043720245361,0.8956562876701355,0.8881019949913025,0.8962585926055908,0.8892505764961243,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.02,4,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.02,4,2.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.02,4,4.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_logits,logits,0.02,8,1.0,,,,0.9285714030265808,0.9175823926925659,0.8956562876701355,0.8909348249435425,0.8962585926055908,0.8919781049092611,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.02,8,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.02,8,2.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.02,8,4.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_logits,logits,0.05,1,1.0,,,,0.9285714030265808,0.8901098966598511,0.8956562876701355,0.8682719469070435,0.8962585926055908,0.8697479565938314,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.05,1,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.05,1,2.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.05,1,4.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8961284160614014,0.8962585926055908,0.8967296083768209,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_logits,logits,0.05,2,1.0,,,,0.9285714030265808,0.8681318759918213,0.8956562876701355,0.8668555021286011,0.8962585926055908,0.8688502113024393,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.05,2,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.05,2,2.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
