dataset,base_variant,candidate_components,component_accs,component_macro_f1s,component_forbidden_flags,ensemble_mode,weights,temperatures,valid_acc,test_acc,macro_f1,predicted_class_count,uses_bounded_edges,uses_diffusion,uses_dense_p2,promotion_status,promotion_reason
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.0, 0.0, 1.0]","[1.0, 1.0, 1.0]",0.9340659379959106,0.8956562876701355,0.8962492942810059,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.0, 0.05, 0.95]","[1.0, 1.0, 1.0]",0.9340659379959106,0.8961284160614014,0.8967296083768209,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.0, 0.1, 0.9]","[1.0, 1.0, 1.0]",0.9340659379959106,0.8966005444526672,0.8972005049387614,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.0, 0.15, 0.85]","[1.0, 1.0, 1.0]",0.9340659379959106,0.8961284160614014,0.8967296083768209,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.0, 0.2, 0.8]","[1.0, 1.0, 1.0]",0.9340659379959106,0.8961284160614014,0.8967296083768209,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.0, 0.25, 0.75]","[1.0, 1.0, 1.0]",0.9340659379959106,0.8961284160614014,0.8967296083768209,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.0, 0.3, 0.7]","[1.0, 1.0, 1.0]",0.9285714030265808,0.8961284160614014,0.8967296083768209,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.0, 0.35, 0.65]","[1.0, 1.0, 1.0]",0.9285714030265808,0.8961284160614014,0.8967296083768209,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.0, 0.4, 0.6]","[1.0, 1.0, 1.0]",0.9285714030265808,0.8961284160614014,0.8967296083768209,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.0, 0.45, 0.55]","[1.0, 1.0, 1.0]",0.9285714030265808,0.8966005444526672,0.8972322344779968,3,False,False,False,blocked,"validation_no_improvement,test_regression"
