dataset,recovery_row,fullgraph_status,fullgraph_accuracy,fullgraph_macro_f1,selected_blocks,status,promoted,full_to_identity_gap,identity_to_oracle_gap,oracle_to_shadow_gap,full_to_shadow_gap,uses_logits_as_input,uses_teacher_logits,uses_kd,uses_dense_p2,uses_bounded_edges,uses_e_by_d_materialization,reason
acm,identity_condensed_sft_replay,promoted,0.9206798672676086,0.9211405118306478,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",completed_diagnostic,False,0.0,,,0.0,False,False,False,False,False,False,identity replay of frozen SFT block signature
acm,prototype_oracle_sft_block_signature,promoted,0.9206798672676086,0.9211405118306478,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",eligible_not_run,False,,,,,False,False,False,False,False,False,diagnostic recovery eligible after fullgraph gate
acm,shadow_condensed_sft_block_signature,promoted,0.9206798672676086,0.9211405118306478,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",eligible_not_run,False,,,,,False,False,False,False,False,False,diagnostic recovery eligible after fullgraph gate
dblp,identity_condensed_sft_replay,promoted,0.9426056146621704,0.9387593418359756,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",completed_diagnostic,False,0.0,,,0.0,False,False,False,False,False,False,identity replay of frozen SFT block signature
dblp,prototype_oracle_sft_block_signature,promoted,0.9426056146621704,0.9387593418359756,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",started_diagnostic,False,,,,,False,False,False,False,False,False,DBLP SFT block-signature prototype recovery started; compressed accuracy not yet promoted
dblp,shadow_condensed_sft_block_signature,promoted,0.9426056146621704,0.9387593418359756,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",started_diagnostic,False,,,,,False,False,False,False,False,False,DBLP SFT block-signature prototype recovery started; compressed accuracy not yet promoted
imdb,identity_condensed_sft_replay,promoted,0.47158026695251465,0.3900045245885849,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B4_structure""]",completed_diagnostic,False,0.0,,,0.0,False,False,False,False,False,False,identity replay of frozen SFT block signature
imdb,prototype_oracle_sft_block_signature,promoted,0.47158026695251465,0.3900045245885849,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B4_structure""]",eligible_not_run,False,,,,,False,False,False,False,False,False,diagnostic recovery eligible after fullgraph gate
imdb,shadow_condensed_sft_block_signature,promoted,0.47158026695251465,0.3900045245885849,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B4_structure""]",eligible_not_run,False,,,,,False,False,False,False,False,False,diagnostic recovery eligible after fullgraph gate
ogbn-arxiv,recovery_gate,blocked_class_collapse,0.6105796098709106,0.32606273433193567,"[""B0_self"", ""B1_typed"", ""B3_lad_scap""]",blocked_by_t21_fullgraph_gate,False,,,,,False,False,False,False,False,False,predicted_class_count<35
ogbn-products,recovery_gate,preprop_completed,,,[],blocked_by_t21_fullgraph_gate,False,,,,,False,False,False,False,False,False,full_edge_products_preprop_completed
