dataset,ratio,ratio_percent,method,status,source_experiment,fullgraph_accuracy,accuracy,macro_f1,gap_to_fullgraph,num_prototypes,b,uses_logits_as_input,uses_teacher_logits,uses_kd,uses_dense_p2,uses_bounded_edges,uses_e_by_d_materialization,reason
dblp,0.005,0.5,current_reference,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.38415491580963135,0.28244587033987045,0.5566901564598083,5,1,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
dblp,0.005,0.5,sft_centroid_b1,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.736267626285553,0.7273984551429749,0.20457744598388672,5,1,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
dblp,0.005,0.5,sft_medoid_b1,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.736267626285553,0.7273984551429749,0.20457744598388672,5,1,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
dblp,0.005,0.5,sft_herding_b1,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.38415491580963135,0.28244587033987045,0.5566901564598083,5,1,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
dblp,0.005,0.5,sft_medoid_b2,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.736267626285553,0.7273984551429749,0.20457744598388672,5,2,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
dblp,0.005,0.5,sft_herding_b2,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.38415491580963135,0.28244587033987045,0.5566901564598083,5,2,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
dblp,0.012,1.2,current_reference,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.8732394576072693,0.8654383271932602,0.06760561466217041,10,1,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
dblp,0.012,1.2,sft_centroid_b1,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.8436619639396667,0.8352702558040619,0.09718310832977295,10,1,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
dblp,0.012,1.2,sft_medoid_b1,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.8436619639396667,0.8352702558040619,0.09718310832977295,10,1,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
dblp,0.012,1.2,sft_herding_b1,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.8732394576072693,0.8654383271932602,0.06760561466217041,10,1,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
dblp,0.012,1.2,sft_medoid_b2,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.8436619639396667,0.8352702558040619,0.09718310832977295,10,2,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
dblp,0.012,1.2,sft_herding_b2,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.8732394576072693,0.8654383271932602,0.06760561466217041,10,2,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
dblp,0.024,2.4,current_reference,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.9169014096260071,0.9107873737812042,0.023943662643432617,24,1,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
dblp,0.024,2.4,sft_centroid_b1,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.8021126985549927,0.7938031703233719,0.13873237371444702,24,1,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
dblp,0.024,2.4,sft_medoid_b1,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.8021126985549927,0.7938031703233719,0.13873237371444702,24,1,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
dblp,0.024,2.4,sft_herding_b1,completed_replay,experiments/tables/t22_dblp_sft_condensation_recovery_seed42.csv,0.9408450722694397,0.9169014096260071,0.9107873737812042,0.023943662643432617,24,1,False,False,False,False,False,False,nearest local DBLP SFT recovery replay; T23 reusable centroid/medoid/herding/b2 modules added
