dataset,full_node_ratio,full_node_ratio_percent,recovery_row,status,source_experiment,fullgraph_teacher_accuracy,accuracy,macro_f1,gap_to_fullgraph_teacher,selected_blocks,uses_logits_as_input,uses_teacher_logits,uses_kd,uses_dense_p2,uses_bounded_edges,uses_e_by_d_materialization,reason
ogbn-products,0.0005,0.05,identity,completed_replay,experiments/tables/t22_products_sft_boost_seed42.csv,0.7555780580193042,0.7555780580193042,0.4046991170720907,0.0,"[""X0"", ""X1"", ""X2"", ""X3"", ""Xres1"", ""Xres2"", ""structure"", ""Y1"", ""Y2"", ""Y3""]",False,False,False,False,False,False,identity replay of local P7 fullgraph SFT teacher
ogbn-products,0.0005,0.05,prototype_oracle,completed_proxy,,0.7555780580193042,0.6083323955535889,0.3340439060108459,0.14724566246571535,"[""X0"", ""X1"", ""X2"", ""X3"", ""Xres1"", ""Xres2"", ""structure"", ""Y1"", ""Y2"", ""Y3""]",False,False,False,False,False,False,nearest available full-node-ratio local condensed proxy; streaming products SFT block recovery entrypoint is implemented but full sweep is kept out of default replay mode
ogbn-products,0.0005,0.05,shadow_b1,completed_proxy,,0.7555780580193042,0.6083323955535889,0.3340439060108459,0.14724566246571535,"[""X0"", ""X1"", ""X2"", ""X3"", ""Xres1"", ""Xres2"", ""structure"", ""Y1"", ""Y2"", ""Y3""]",False,False,False,False,False,False,nearest available full-node-ratio local condensed proxy; streaming products SFT block recovery entrypoint is implemented but full sweep is kept out of default replay mode
ogbn-products,0.0005,0.05,shadow_b2,completed_proxy,,0.7555780580193042,0.6083323955535889,0.3340439060108459,0.14724566246571535,"[""X0"", ""X1"", ""X2"", ""X3"", ""Xres1"", ""Xres2"", ""structure"", ""Y1"", ""Y2"", ""Y3""]",False,False,False,False,False,False,nearest available full-node-ratio local condensed proxy; streaming products SFT block recovery entrypoint is implemented but full sweep is kept out of default replay mode
ogbn-products,0.0025,0.25,identity,completed_replay,experiments/tables/t22_products_sft_boost_seed42.csv,0.7555780580193042,0.7555780580193042,0.4046991170720907,0.0,"[""X0"", ""X1"", ""X2"", ""X3"", ""Xres1"", ""Xres2"", ""structure"", ""Y1"", ""Y2"", ""Y3""]",False,False,False,False,False,False,identity replay of local P7 fullgraph SFT teacher
ogbn-products,0.0025,0.25,prototype_oracle,completed_proxy,experiments\logs\products_full_node_ratio_main_0p02_0p04_0p08_seed42\ogbn-products_r0p00332121_seed42.json,0.7555780580193042,0.414674311876297,0.18530480296628432,0.3409037461430072,"[""X0"", ""X1"", ""X2"", ""X3"", ""Xres1"", ""Xres2"", ""structure"", ""Y1"", ""Y2"", ""Y3""]",False,False,False,False,False,False,nearest available full-node-ratio local condensed proxy; streaming products SFT block recovery entrypoint is implemented but full sweep is kept out of default replay mode
ogbn-products,0.0025,0.25,shadow_b1,completed_proxy,experiments\logs\products_full_node_ratio_main_0p02_0p04_0p08_seed42\ogbn-products_r0p00332121_seed42.json,0.7555780580193042,0.414674311876297,0.18530480296628432,0.3409037461430072,"[""X0"", ""X1"", ""X2"", ""X3"", ""Xres1"", ""Xres2"", ""structure"", ""Y1"", ""Y2"", ""Y3""]",False,False,False,False,False,False,nearest available full-node-ratio local condensed proxy; streaming products SFT block recovery entrypoint is implemented but full sweep is kept out of default replay mode
ogbn-products,0.0025,0.25,shadow_b2,completed_proxy,experiments\logs\products_full_node_ratio_main_0p02_0p04_0p08_seed42\ogbn-products_r0p00332121_seed42.json,0.7555780580193042,0.414674311876297,0.18530480296628432,0.3409037461430072,"[""X0"", ""X1"", ""X2"", ""X3"", ""Xres1"", ""Xres2"", ""structure"", ""Y1"", ""Y2"", ""Y3""]",False,False,False,False,False,False,nearest available full-node-ratio local condensed proxy; streaming products SFT block recovery entrypoint is implemented but full sweep is kept out of default replay mode
ogbn-products,0.005,0.5,identity,completed_replay,experiments/tables/t22_products_sft_boost_seed42.csv,0.7555780580193042,0.7555780580193042,0.4046991170720907,0.0,"[""X0"", ""X1"", ""X2"", ""X3"", ""Xres1"", ""Xres2"", ""structure"", ""Y1"", ""Y2"", ""Y3""]",False,False,False,False,False,False,identity replay of local P7 fullgraph SFT teacher
ogbn-products,0.005,0.5,prototype_oracle,completed_proxy,experiments\logs\products_full_node_ratio_main_0p02_0p04_0p08_seed42\ogbn-products_r0p00664242_seed42.json,0.7555780580193042,0.42235860228538513,0.18914094480111243,0.3332194557339191,"[""X0"", ""X1"", ""X2"", ""X3"", ""Xres1"", ""Xres2"", ""structure"", ""Y1"", ""Y2"", ""Y3""]",False,False,False,False,False,False,nearest available full-node-ratio local condensed proxy; streaming products SFT block recovery entrypoint is implemented but full sweep is kept out of default replay mode
