dataset,method,requested_full_node_ratio,actual_full_node_ratio,scale_bucket,status,fullgraph_acc,identity_acc,prototype_oracle_acc,shadow_condensed_acc,accuracy,macro_f1,full_to_identity_gap,identity_to_oracle_gap,oracle_to_shadow_gap,full_to_shadow_gap,target_prototypes,shadow_nodes,total_condensed_nodes,condensed_edges,byte_size_compression,feature_cache_bytes,condensation_time_s,training_time_s,inference_time_s,peak_cpu_ram_gb,peak_gpu_ram_gb,uses_logits_as_input,uses_teacher_logits,uses_kd,uses_dense_p2,uses_legacy_diffusion,uses_coverage_medoid,uses_source_anchors,uses_bounded_edges,uses_e_by_d,is_proxy,promotion_status,promotion_reason
ogbn-products,P0_identity_replay,0.0005,0.0005001982418338044,large,completed_fullgraph_replay,0.7555780580193042,0.7555780580193042,,,0.7555780580193042,0.4046991170720907,0.0,,,,821,404,1225,0,,209984820,,,,,,False,False,False,False,False,False,False,False,False,False,not_promoted,identity replay is reference only
ogbn-products,P2_shadow_condensed_centroid_b1,0.0005,0.0005001982418338044,large,completed_streaming,0.7555780580193042,,,0.08498701589767434,0.08498701589767434,0.06907466230306467,,,,0.6705910421216299,821,404,1225,1642,,209984820,,0.3767541000000003,4.8256578,,,False,False,False,False,False,False,False,False,False,False,not_promoted,streaming SFT coreset over memmap block signatures
ogbn-products,P3_shadow_condensed_medoid_b1,0.0005,0.0005001982418338044,large,completed_streaming,0.7555780580193042,,,0.1280033220504715,0.1280033220504715,0.051096553433580785,,,,0.6275747359688327,821,404,1225,1642,,209984820,,0.12491029999999981,4.0156507,,,False,False,False,False,False,False,False,False,False,False,not_promoted,streaming SFT coreset over memmap block signatures
ogbn-products,P4_shadow_condensed_herding_b1,0.0005,0.0005001982418338044,large,completed_streaming,0.7555780580193042,,,0.18752007938218537,0.18752007938218537,0.12994169304363654,,,,0.5680579786371188,821,404,1225,1642,,209984820,,0.11626730000000052,4.096570999999999,,,False,False,False,False,False,False,False,False,False,False,not_promoted,streaming SFT coreset over memmap block signatures
ogbn-products,P5_shadow_condensed_hybrid_b1,0.0005,0.0005001982418338044,large,completed_streaming,0.7555780580193042,,,0.14223274144623968,0.14223274144623968,0.11243063872158078,,,,0.6133453165730646,821,404,1225,1642,,209984820,,0.10257969999999972,4.0143208,,,False,False,False,False,False,False,False,False,False,False,not_promoted,streaming SFT coreset over memmap block signatures
ogbn-products,P6_best_shadow_b2_ablation,0.0005,0.0005001982418338044,large,completed_derived_ablation,0.7555780580193042,,,0.18752007938218537,0.18752007938218537,0.12994169304363654,,,,0.5680579786371188,821,404,1225,1642,,209984820,,0.11626730000000052,4.096570999999999,,,False,False,False,False,False,False,False,False,False,False,not_promoted,derived ablation rows are not promoted
ogbn-products,P7_best_shadow_ks_ablation,0.0005,0.0005001982418338044,large,completed_derived_ablation,0.7555780580193042,,,0.18752007938218537,0.18752007938218537,0.12994169304363654,,,,0.5680579786371188,821,404,1225,1642,,209984820,,0.11626730000000052,4.096570999999999,,,False,False,False,False,False,False,False,False,False,False,not_promoted,derived ablation rows are not promoted
ogbn-products,P0_identity_replay,0.001,0.0009999881585722342,large,completed_fullgraph_replay,0.7555780580193042,0.7555780580193042,,,0.7555780580193042,0.4046991170720907,0.0,,,,1641,808,2449,0,,209984820,,,,,,False,False,False,False,False,False,False,False,False,False,not_promoted,identity replay is reference only
ogbn-products,P2_shadow_condensed_centroid_b1,0.001,0.0009999881585722342,large,completed_streaming,0.7555780580193042,,,0.20523015095176836,0.20523015095176836,0.09376067105149587,,,,0.5503479070675359,1641,808,2449,3282,,209984820,,0.1288101000000026,4.0748926999999995,,,False,False,False,False,False,False,False,False,False,False,not_promoted,streaming SFT coreset over memmap block signatures
ogbn-products,P3_shadow_condensed_medoid_b1,0.001,0.0009999881585722342,large,completed_streaming,0.7555780580193042,,,0.1352307699954498,0.1352307699954498,0.09419741341886802,,,,0.6203472880238544,1641,808,2449,3282,,209984820,,0.11773939999999783,4.0610053000000015,,,False,False,False,False,False,False,False,False,False,False,not_promoted,streaming SFT coreset over memmap block signatures
