dataset,method,seed,ratio_mode,requested_full_node_ratio,actual_full_node_ratio,target_prototypes,shadow_nodes,total_condensed_nodes,total_condensed_edges,accuracy,macro_f1,predicted_classes,predicted_class_count,precompute_time,condensation_time,training_time,inference_time,peak_cpu_ram,peak_gpu_ram,cache_bytes,full_edge_scans,hnr_edge_scans,hnr_cache_bytes,fdm_signature_dim,fdm_num_subclasses,fdm_candidate_pool_size,fdm_mode,hnr_hist_mode,shadow_b,uses_logits_as_input,uses_teacher_logits,uses_kd,uses_dense_p2,uses_e_by_d_materialization,uses_full_edge_index_on_gpu,uses_all_target_cache,uses_exact_pairwise,full_class_kmeans,status,promoted,promotion_status,failure_reason,notes,ladder_stage,fullgraph_acc,full_to_current_gap,promotion_reason,products_diag_memmap_row_order_matches_node_id,products_diag_masks_aligned,products_diag_all_classes_have_floor,products_diag_predicted_class_collapse
ogbn-products,P0_identity_replay,42,full_node,0.0005,0.0005001982418338044,1225,0,1225,1225,0.7555780580193042,0.4046991170720907,47,47,0.34189139999999973,,,,1.311309814453125,0.0,209984820,,0,0,,,,none,none,,False,False,False,False,False,False,False,False,False,completed_fullgraph_replay,False,not_promoted,identity_reference_only,P0,P0,0.7555780580193042,0.0,identity_reference_only,True,True,False,False
ogbn-products,P1_selected_real_prototypes_replay,42,full_node,0.0005,0.0005001982418338044,1225,0,1225,1225,0.10049609347288475,0.05600118653478825,38,38,0.34189139999999973,19.4565334,0.3015397000000002,18.2794579,1.311309814453125,0.0,209984820,,0,0,534,,,none,none,,False,False,False,False,False,False,False,False,False,completed_streaming,False,not_promoted,products_t25_gate_not_met,P1,P1,0.7555780580193042,0.6550819645464194,products_t25_gate_not_met,True,True,False,True
ogbn-products,P2_hnr_fdm_prototype_oracle,42,full_node,0.0005,0.0005001982418338044,1225,0,1225,1225,0.0006931481805312118,0.005752349819509904,29,29,0.34189139999999973,4.056140499999998,0.05657449999999997,3.9943127999999994,1.311309814453125,0.0,209984820,,0,0,128,467,80,lite,none,,False,False,False,False,False,False,False,False,False,completed_streaming,False,not_promoted,products_t25_gate_not_met,P2,P2,0.7555780580193042,0.754884909838773,products_t25_gate_not_met,True,True,False,True
ogbn-products,P3_hnr_fdm_shadow_b1,42,full_node,0.0005,0.0005001982418338044,1225,0,1225,1225,0.007570859038331456,0.02498478202578895,38,38,0.34189139999999973,4.054376900000001,0.04238520000000179,4.0066381,1.311309814453125,0.0,209984820,,0,0,128,467,80,lite,none,1,False,False,False,False,False,False,False,False,False,completed_streaming,False,not_promoted,shadow_materialization_not_trained,P3,P3,0.7555780580193042,0.7480071989809728,shadow_materialization_not_trained,True,True,False,True
ogbn-products,P3_hnr_fdm_shadow_b2,42,full_node,0.0005,0.0005001982418338044,1225,0,1225,2450,0.0286151812103524,0.037082679156536756,40,40,0.34189139999999973,4.087206500000001,0.04268729999999721,4.039765300000006,1.311309814453125,0.0,209984820,,0,0,128,467,80,lite,none,2,False,False,False,False,False,False,False,False,False,completed_streaming,False,not_promoted,shadow_materialization_not_trained,P3,P3,0.7555780580193042,0.7269628768089518,shadow_materialization_not_trained,True,True,False,False
ogbn-products,P0_identity_replay,42,full_node,0.001,0.0009999881585722342,2449,0,2449,2449,0.7555780580193042,0.4046991170720907,47,47,0.34189139999999973,,,,5.510505676269531,1.271683692932129,209984820,,0,0,,,,none,none,,False,False,False,False,False,False,False,False,False,completed_fullgraph_replay,False,not_promoted,identity_reference_only,P0,P0,0.7555780580193042,0.0,identity_reference_only,True,True,False,False
ogbn-products,P1_selected_real_prototypes_replay,42,full_node,0.001,0.0009999881585722342,2449,0,2449,2449,0.06170690676524372,0.0571249905020672,38,38,0.34189139999999973,4.183033000000002,0.06633960000000627,4.111563400000001,5.510505676269531,1.271683692932129,209984820,,0,0,534,,,none,none,,False,False,False,False,False,False,False,False,False,completed_streaming,False,not_promoted,products_t25_gate_not_met,P1,P1,0.7555780580193042,0.6938711512540605,products_t25_gate_not_met,True,True,False,True
ogbn-products,P2_hnr_fdm_prototype_oracle,42,full_node,0.001,0.0009999881585722342,2449,0,2449,2449,0.04874087870765369,0.0313827694162128,37,37,0.34189139999999973,4.126819699999999,0.06253599999999437,4.058415799999999,5.510505676269531,1.271683692932129,209984820,,0,0,128,467,160,lite,none,,False,False,False,False,False,False,False,False,False,completed_streaming,False,not_promoted,products_t25_gate_not_met,P2,P2,0.7555780580193042,0.7068371793116506,products_t25_gate_not_met,True,True,False,True
ogbn-products,P3_hnr_fdm_shadow_b1,42,full_node,0.001,0.0009999881585722342,2449,0,2449,2449,0.03653894033277438,0.03821091279641932,37,37,0.34189139999999973,4.0698355999999976,0.0537319000000025,4.0111378,5.510505676269531,1.271683692932129,209984820,,0,0,128,467,160,lite,none,1,False,False,False,False,False,False,False,False,False,completed_streaming,False,not_promoted,shadow_materialization_not_trained,P3,P3,0.7555780580193042,0.7190391176865298,shadow_materialization_not_trained,True,True,False,True
ogbn-products,P3_hnr_fdm_shadow_b2,42,full_node,0.001,0.0009999881585722342,2449,0,2449,4898,0.03389467491395519,0.03317839398667312,33,33,0.34189139999999973,4.095943699999999,0.05044649999999962,4.040188900000004,5.510505676269531,1.271683692932129,209984820,,0,0,128,467,160,lite,none,2,False,False,False,False,False,False,False,False,False,completed_streaming,False,not_promoted,shadow_materialization_not_trained,P3,P3,0.7555780580193042,0.7216833831053491,shadow_materialization_not_trained,True,True,False,True
ogbn-products,P0_identity_replay,42,full_node,0.0025,0.0025001745589782725,6123,0,6123,6123,0.7555780580193042,0.4046991170720907,47,47,0.34189139999999973,,,,5.580104827880859,1.2743430137634277,209984820,,0,0,,,,none,none,,False,False,False,False,False,False,False,False,False,completed_fullgraph_replay,False,not_promoted,identity_reference_only,P0,P0,0.7555780580193042,0.0,identity_reference_only,True,True,False,False
ogbn-products,P1_selected_real_prototypes_replay,42,full_node,0.0025,0.002489966431593909,6098,0,6098,6098,0.08198804296795749,0.04286723753284472,34,34,0.34189139999999973,4.105564700000002,0.13358860000000305,3.9656742000000023,5.580104827880859,1.2743430137634277,209984820,,0,0,534,,,none,none,,False,False,False,False,False,False,False,False,False,completed_streaming,False,not_promoted,products_t25_gate_not_met,P1,P1,0.7555780580193042,0.6735900150513467,products_t25_gate_not_met,True,True,False,True
ogbn-products,P2_hnr_fdm_prototype_oracle,42,full_node,0.0025,0.0025001745589782725,6123,0,6123,6123,0.1261082350432043,0.09777620150207107,36,36,0.34189139999999973,4.1506596999999985,0.12411910000000148,4.021206900000003,5.580104827880859,1.2743430137634277,209984820,,0,0,128,467,416,lite,none,,False,False,False,False,False,False,False,False,False,completed_streaming,False,not_promoted,products_t25_gate_not_met,P2,P2,0.7555780580193042,0.6294698229761,products_t25_gate_not_met,True,True,False,True
