method,ratio,seed,class_id,train_count,budget,selected_count,predicted_count,collapsed
products_uca_hybrid_balanced_trainer,0.0025,42,0,11332,274,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,1,12290,286,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,2,10941,268,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,3,13153,297,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,4,60630,922,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,5,3932,169,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,6,15305,325,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,7,16615,342,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,8,10926,268,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,9,6266,204,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,10,4311,175,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,11,3348,159,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,12,2755,150,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,13,10757,266,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,14,287,98,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,15,2515,145,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,16,461,103,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,17,4245,174,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,18,662,109,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,19,1237,122,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,20,2047,137,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,21,1313,123,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,22,64,89,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,23,526,105,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,24,200,95,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,25,93,91,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,26,75,90,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,27,4,24,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,28,84,90,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,29,152,93,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,30,9,30,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,31,25,47,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,32,33,56,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,33,3,23,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,34,2,21,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,35,8,29,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,36,2,21,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,37,3,23,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,38,1,20,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,39,1,20,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,40,1,20,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,41,1,20,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,42,0,0,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,43,0,0,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,44,0,0,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,45,0,0,0,,True
products_uca_hybrid_balanced_trainer,0.0025,42,46,0,0,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,0,11332,561,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,1,12290,587,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,2,10941,550,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,3,13153,610,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,4,60630,1923,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,5,3932,344,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,6,15305,668,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,7,16615,702,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,8,10926,550,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,9,6266,417,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,10,4311,357,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,11,3348,325,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,12,2755,304,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,13,10757,545,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,14,287,198,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,15,2515,296,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,16,461,209,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,17,4245,354,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,18,662,220,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,19,1237,247,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,20,2047,279,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,21,1313,250,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,22,64,115,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,23,526,213,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,24,200,192,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,25,93,148,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,26,75,128,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,27,4,45,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,28,84,138,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,29,152,188,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,30,9,51,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,31,25,71,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,32,33,80,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,33,3,43,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,34,2,42,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,35,8,50,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,36,2,42,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,37,3,43,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,38,1,40,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,39,1,40,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,40,1,40,0,,True
products_uca_hybrid_balanced_trainer,0.005,42,41,1,40,0,,True
