dataset,stage,method,seed,split,ratio_mode,requested_full_node_ratio,actual_full_node_ratio,target_prototypes,shadow_nodes,other_condensed_nodes,total_condensed_nodes,total_condensed_edges,accuracy,macro_f1,valid_accuracy,valid_macro_f1,predicted_classes,predicted_class_count,per_class_report_path,precompute_time,condensation_time,training_time,inference_time,peak_cpu_ram,peak_gpu_ram,cache_bytes,disk_bytes,full_edge_scans,edge_slice_cache_bytes,sft_manifest_dir,sft_manifest_hash,signature_cache_dir,signature_hash,signature_dim,signature_blocks,class_budget_policy,class_budget_floor,class_budget_min,class_budget_max,class_budget_json,trainer_recipe,trainer_balanced_batches,trainer_label_smoothing,trainer_mixup_alpha,trainer_ema,trainer_swa,trainer_logit_adjustment,selection_score,coverage_gap_l1,coverage_gap_l2,domains_total,domains_without_train_support,domains_without_unlabeled_support,uca_num_domains,uca_domain_seed,uca_uses_valid_test_labels,p0a_alltrain_acc,p0a_passed,p0b_self_fit_acc,p0b_passed,p0c_random_subset_acc,p0d_prototype_oracle_acc,p0d_centroid_oracle_acc,p0e_predicted_class_collapse,p0f_normalization_parity,shadow_graph_materialized,shadow_b,shadow_edge_weight_nonnegative,shadow_exposed_schema_preserved,uses_logits_as_input,uses_logits,uses_teacher_logits,uses_kd,uses_dense_p2,uses_legacy_diffusion,uses_old_diffusion,uses_full_edge_backprop,uses_e_by_d_materialization,uses_full_edge_index_on_gpu,uses_all_target_cache,uses_exact_pairwise,uses_source_anchors,uses_new_exposed_schema,uses_dense_synthetic_adjacency,full_class_kmeans,is_proxy,status,promoted,promotion_status,promotion_reason,failure_reason,notes,diagnostic_id,source_t25_table,source_t25_method,t26_gate
ogbn-products,t26,P0a_alltrain_condensed_trainer_parity,42,sales_ranking,full_node,0.0025,0.0025001745589782725,6123,0,0,6123,6123,0.7567198999047035,0.40133336132566916,,,42,42,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,0.4245033264160156,0.0,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,922,"{""0"": 274, ""1"": 286, ""10"": 175, ""11"": 159, ""12"": 150, ""13"": 266, ""14"": 98, ""15"": 145, ""16"": 103, ""17"": 174, ""18"": 109, ""19"": 122, ""2"": 268, ""20"": 137, ""21"": 123, ""22"": 89, ""23"": 105, ""24"": 95, ""25"": 91, ""26"": 90, ""27"": 24, ""28"": 90, ""29"": 93, ""3"": 297, ""30"": 30, ""31"": 47, ""32"": 56, ""33"": 23, ""34"": 21, ""35"": 29, ""36"": 21, ""37"": 23, ""38"": 20, ""39"": 20, ""4"": 922, ""40"": 20, ""41"": 20, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 169, ""6"": 325, ""7"": 342, ""8"": 268, ""9"": 204}",,False,,,False,False,False,,,,,,,,,False,0.7567198999047035,True,0.9844211216792391,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,completed_long,False,not_promoted,products_recovery_diagnostic_only,,T26 diagnostics do not promote performance rows unless P0a and P0b are rerun and pass.,P0a_alltrain_condensed_trainer_parity,experiments/tables/t25_products_recovery_ladder_seed42.csv,P0_identity_replay,
ogbn-products,t26,P0b_selected_prototype_self_fit,42,sales_ranking,full_node,0.0025,0.0025001745589782725,6123,0,0,6123,6123,0.9844211216792391,0.8787512736099667,,,42,42,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,0.44393157958984375,0.0,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,922,"{""0"": 274, ""1"": 286, ""10"": 175, ""11"": 159, ""12"": 150, ""13"": 266, ""14"": 98, ""15"": 145, ""16"": 103, ""17"": 174, ""18"": 109, ""19"": 122, ""2"": 268, ""20"": 137, ""21"": 123, ""22"": 89, ""23"": 105, ""24"": 95, ""25"": 91, ""26"": 90, ""27"": 24, ""28"": 90, ""29"": 93, ""3"": 297, ""30"": 30, ""31"": 47, ""32"": 56, ""33"": 23, ""34"": 21, ""35"": 29, ""36"": 21, ""37"": 23, ""38"": 20, ""39"": 20, ""4"": 922, ""40"": 20, ""41"": 20, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 169, ""6"": 325, ""7"": 342, ""8"": 268, ""9"": 204}",,False,,,False,False,False,,,,,,,,,False,0.7567198999047035,True,0.9844211216792391,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,completed_long,False,not_promoted,products_recovery_diagnostic_only,,T26 diagnostics do not promote performance rows unless P0a and P0b are rerun and pass.,P0b_selected_prototype_self_fit,experiments/tables/t25_products_recovery_ladder_seed42.csv,P0_identity_replay,
ogbn-products,t26,P0c_same_budget_random_subset,42,sales_ranking,full_node,0.0025,0.0025001745589782725,6123,0,0,6123,6123,0.6782802876158278,0.36722622784014924,,,42,42,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,0.44393157958984375,0.0,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,922,"{""0"": 274, ""1"": 286, ""10"": 175, ""11"": 159, ""12"": 150, ""13"": 266, ""14"": 98, ""15"": 145, ""16"": 103, ""17"": 174, ""18"": 109, ""19"": 122, ""2"": 268, ""20"": 137, ""21"": 123, ""22"": 89, ""23"": 105, ""24"": 95, ""25"": 91, ""26"": 90, ""27"": 24, ""28"": 90, ""29"": 93, ""3"": 297, ""30"": 30, ""31"": 47, ""32"": 56, ""33"": 23, ""34"": 21, ""35"": 29, ""36"": 21, ""37"": 23, ""38"": 20, ""39"": 20, ""4"": 922, ""40"": 20, ""41"": 20, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 169, ""6"": 325, ""7"": 342, ""8"": 268, ""9"": 204}",,False,,,False,False,False,,,,,,,,,False,0.7567198999047035,True,0.9844211216792391,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,completed_long,False,not_promoted,products_recovery_diagnostic_only,,T26 diagnostics do not promote performance rows unless P0a and P0b are rerun and pass.,P0c_same_budget_random_subset,experiments/tables/t25_products_recovery_ladder_seed42.csv,P0_identity_replay,
ogbn-products,t26,P0d_nearest_prototype_oracle,42,sales_ranking,full_node,0.0025,0.0025001745589782725,6123,0,0,6123,6123,,,,,,,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,0.44393157958984375,0.0,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,922,"{""0"": 274, ""1"": 286, ""10"": 175, ""11"": 159, ""12"": 150, ""13"": 266, ""14"": 98, ""15"": 145, ""16"": 103, ""17"": 174, ""18"": 109, ""19"": 122, ""2"": 268, ""20"": 137, ""21"": 123, ""22"": 89, ""23"": 105, ""24"": 95, ""25"": 91, ""26"": 90, ""27"": 24, ""28"": 90, ""29"": 93, ""3"": 297, ""30"": 30, ""31"": 47, ""32"": 56, ""33"": 23, ""34"": 21, ""35"": 29, ""36"": 21, ""37"": 23, ""38"": 20, ""39"": 20, ""4"": 922, ""40"": 20, ""41"": 20, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 169, ""6"": 325, ""7"": 342, ""8"": 268, ""9"": 204}",,False,,,False,False,False,,,,,,,,,False,0.7567198999047035,True,0.9844211216792391,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ready_not_run,False,not_promoted,products_recovery_diagnostic_only,P0d_oracle_not_rerun,T26 diagnostics do not promote performance rows unless P0a and P0b are rerun and pass.,P0d_nearest_prototype_oracle,experiments/tables/t25_products_recovery_ladder_seed42.csv,P0_identity_replay,P0d_oracle_not_rerun
ogbn-products,t26,P0e_per_class_collapse_report,42,sales_ranking,full_node,0.0025,0.0025001745589782725,6123,0,0,6123,6123,,,,,,,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,0.44393157958984375,0.0,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,922,"{""0"": 274, ""1"": 286, ""10"": 175, ""11"": 159, ""12"": 150, ""13"": 266, ""14"": 98, ""15"": 145, ""16"": 103, ""17"": 174, ""18"": 109, ""19"": 122, ""2"": 268, ""20"": 137, ""21"": 123, ""22"": 89, ""23"": 105, ""24"": 95, ""25"": 91, ""26"": 90, ""27"": 24, ""28"": 90, ""29"": 93, ""3"": 297, ""30"": 30, ""31"": 47, ""32"": 56, ""33"": 23, ""34"": 21, ""35"": 29, ""36"": 21, ""37"": 23, ""38"": 20, ""39"": 20, ""4"": 922, ""40"": 20, ""41"": 20, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 169, ""6"": 325, ""7"": 342, ""8"": 268, ""9"": 204}",,False,,,False,False,False,,,,,,,,,False,0.7567198999047035,True,0.9844211216792391,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ready_not_run,False,not_promoted,products_recovery_diagnostic_only,per_class_report_schema_written_waiting_for_real_selection_and_predictions,T26 diagnostics do not promote performance rows unless P0a and P0b are rerun and pass.,P0e_per_class_collapse_report,experiments/tables/t25_products_recovery_ladder_seed42.csv,P0_identity_replay,per_class_report_schema_written_waiting_for_real_selection_and_predictions
ogbn-products,t26,P0f_feature_normalization_parity,42,sales_ranking,full_node,0.0025,0.0025001745589782725,6123,0,0,6123,6123,,,,,,,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,0.44393157958984375,0.0,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,922,"{""0"": 274, ""1"": 286, ""10"": 175, ""11"": 159, ""12"": 150, ""13"": 266, ""14"": 98, ""15"": 145, ""16"": 103, ""17"": 174, ""18"": 109, ""19"": 122, ""2"": 268, ""20"": 137, ""21"": 123, ""22"": 89, ""23"": 105, ""24"": 95, ""25"": 91, ""26"": 90, ""27"": 24, ""28"": 90, ""29"": 93, ""3"": 297, ""30"": 30, ""31"": 47, ""32"": 56, ""33"": 23, ""34"": 21, ""35"": 29, ""36"": 21, ""37"": 23, ""38"": 20, ""39"": 20, ""4"": 922, ""40"": 20, ""41"": 20, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 169, ""6"": 325, ""7"": 342, ""8"": 268, ""9"": 204}",,False,,,False,False,False,,,,,,,,,False,0.7567198999047035,True,0.9844211216792391,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,completed_diagnostic,False,not_promoted,products_recovery_diagnostic_only,normalization_parity_from_existing_manifest,T26 diagnostics do not promote performance rows unless P0a and P0b are rerun and pass.,P0f_feature_normalization_parity,experiments/tables/t25_products_recovery_ladder_seed42.csv,P0_identity_replay,normalization_parity_from_existing_manifest
ogbn-products,t26,P0a_alltrain_condensed_trainer_parity,42,sales_ranking,full_node,0.005,0.00499994079286117,12245,0,0,12245,12245,0.7567198999047035,0.40133336132566916,,,42,42,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,0.44393157958984375,0.0,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,1923,"{""0"": 561, ""1"": 587, ""10"": 357, ""11"": 325, ""12"": 304, ""13"": 545, ""14"": 198, ""15"": 296, ""16"": 209, ""17"": 354, ""18"": 220, ""19"": 247, ""2"": 550, ""20"": 279, ""21"": 250, ""22"": 115, ""23"": 213, ""24"": 192, ""25"": 148, ""26"": 128, ""27"": 45, ""28"": 138, ""29"": 188, ""3"": 610, ""30"": 51, ""31"": 71, ""32"": 80, ""33"": 43, ""34"": 42, ""35"": 50, ""36"": 42, ""37"": 43, ""38"": 40, ""39"": 40, ""4"": 1923, ""40"": 40, ""41"": 40, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 344, ""6"": 668, ""7"": 702, ""8"": 550, ""9"": 417}",,False,,,False,False,False,,,,,,,,,False,0.7567198999047035,True,0.9842759529101835,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,completed_long,False,not_promoted,products_recovery_diagnostic_only,,T26 diagnostics do not promote performance rows unless P0a and P0b are rerun and pass.,P0a_alltrain_condensed_trainer_parity,experiments/tables/t25_products_recovery_ladder_seed42.csv,P0_identity_replay,
ogbn-products,t26,P0b_selected_prototype_self_fit,42,sales_ranking,full_node,0.005,0.00499994079286117,12245,0,0,12245,12245,0.9842759529101835,0.8445929937497246,,,42,42,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,0.44393157958984375,0.0,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,1923,"{""0"": 561, ""1"": 587, ""10"": 357, ""11"": 325, ""12"": 304, ""13"": 545, ""14"": 198, ""15"": 296, ""16"": 209, ""17"": 354, ""18"": 220, ""19"": 247, ""2"": 550, ""20"": 279, ""21"": 250, ""22"": 115, ""23"": 213, ""24"": 192, ""25"": 148, ""26"": 128, ""27"": 45, ""28"": 138, ""29"": 188, ""3"": 610, ""30"": 51, ""31"": 71, ""32"": 80, ""33"": 43, ""34"": 42, ""35"": 50, ""36"": 42, ""37"": 43, ""38"": 40, ""39"": 40, ""4"": 1923, ""40"": 40, ""41"": 40, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 344, ""6"": 668, ""7"": 702, ""8"": 550, ""9"": 417}",,False,,,False,False,False,,,,,,,,,False,0.7567198999047035,True,0.9842759529101835,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,completed_long,False,not_promoted,products_recovery_diagnostic_only,,T26 diagnostics do not promote performance rows unless P0a and P0b are rerun and pass.,P0b_selected_prototype_self_fit,experiments/tables/t25_products_recovery_ladder_seed42.csv,P0_identity_replay,
ogbn-products,t26,P0c_same_budget_random_subset,42,sales_ranking,full_node,0.005,0.00499994079286117,12245,0,0,12245,12245,0.7213923873894025,0.3795675686670795,,,42,42,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,0.44396209716796875,0.0,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,1923,"{""0"": 561, ""1"": 587, ""10"": 357, ""11"": 325, ""12"": 304, ""13"": 545, ""14"": 198, ""15"": 296, ""16"": 209, ""17"": 354, ""18"": 220, ""19"": 247, ""2"": 550, ""20"": 279, ""21"": 250, ""22"": 115, ""23"": 213, ""24"": 192, ""25"": 148, ""26"": 128, ""27"": 45, ""28"": 138, ""29"": 188, ""3"": 610, ""30"": 51, ""31"": 71, ""32"": 80, ""33"": 43, ""34"": 42, ""35"": 50, ""36"": 42, ""37"": 43, ""38"": 40, ""39"": 40, ""4"": 1923, ""40"": 40, ""41"": 40, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 344, ""6"": 668, ""7"": 702, ""8"": 550, ""9"": 417}",,False,,,False,False,False,,,,,,,,,False,0.7567198999047035,True,0.9842759529101835,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,completed_long,False,not_promoted,products_recovery_diagnostic_only,,T26 diagnostics do not promote performance rows unless P0a and P0b are rerun and pass.,P0c_same_budget_random_subset,experiments/tables/t25_products_recovery_ladder_seed42.csv,P0_identity_replay,
ogbn-products,t26,P0d_nearest_prototype_oracle,42,sales_ranking,full_node,0.005,0.00499994079286117,12245,0,0,12245,12245,,,,,,,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,0.44396209716796875,0.0,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,1923,"{""0"": 561, ""1"": 587, ""10"": 357, ""11"": 325, ""12"": 304, ""13"": 545, ""14"": 198, ""15"": 296, ""16"": 209, ""17"": 354, ""18"": 220, ""19"": 247, ""2"": 550, ""20"": 279, ""21"": 250, ""22"": 115, ""23"": 213, ""24"": 192, ""25"": 148, ""26"": 128, ""27"": 45, ""28"": 138, ""29"": 188, ""3"": 610, ""30"": 51, ""31"": 71, ""32"": 80, ""33"": 43, ""34"": 42, ""35"": 50, ""36"": 42, ""37"": 43, ""38"": 40, ""39"": 40, ""4"": 1923, ""40"": 40, ""41"": 40, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 344, ""6"": 668, ""7"": 702, ""8"": 550, ""9"": 417}",,False,,,False,False,False,,,,,,,,,False,0.7567198999047035,True,0.9842759529101835,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ready_not_run,False,not_promoted,products_recovery_diagnostic_only,P0d_oracle_not_rerun,T26 diagnostics do not promote performance rows unless P0a and P0b are rerun and pass.,P0d_nearest_prototype_oracle,experiments/tables/t25_products_recovery_ladder_seed42.csv,P0_identity_replay,P0d_oracle_not_rerun
