dataset,stage,method,seed,split,ratio_mode,requested_full_node_ratio,actual_full_node_ratio,target_prototypes,shadow_nodes,other_condensed_nodes,total_condensed_nodes,total_condensed_edges,accuracy,macro_f1,valid_accuracy,valid_macro_f1,predicted_classes,predicted_class_count,per_class_report_path,precompute_time,condensation_time,training_time,inference_time,peak_cpu_ram,peak_gpu_ram,cache_bytes,disk_bytes,full_edge_scans,edge_slice_cache_bytes,sft_manifest_dir,sft_manifest_hash,signature_cache_dir,signature_hash,signature_dim,signature_blocks,class_budget_policy,class_budget_floor,class_budget_min,class_budget_max,class_budget_json,trainer_recipe,trainer_balanced_batches,trainer_label_smoothing,trainer_mixup_alpha,trainer_ema,trainer_swa,trainer_logit_adjustment,selection_score,coverage_gap_l1,coverage_gap_l2,domains_total,domains_without_train_support,domains_without_unlabeled_support,uca_num_domains,uca_domain_seed,uca_uses_valid_test_labels,p0a_alltrain_acc,p0a_passed,p0b_self_fit_acc,p0b_passed,p0c_random_subset_acc,p0d_prototype_oracle_acc,p0d_centroid_oracle_acc,p0e_predicted_class_collapse,p0f_normalization_parity,shadow_graph_materialized,shadow_b,shadow_edge_weight_nonnegative,shadow_exposed_schema_preserved,uses_logits_as_input,uses_logits,uses_teacher_logits,uses_kd,uses_dense_p2,uses_legacy_diffusion,uses_old_diffusion,uses_full_edge_backprop,uses_e_by_d_materialization,uses_full_edge_index_on_gpu,uses_all_target_cache,uses_exact_pairwise,uses_source_anchors,uses_new_exposed_schema,uses_dense_synthetic_adjacency,full_class_kmeans,is_proxy,status,promoted,promotion_status,promotion_reason,failure_reason,notes,diagnostic_id,source_t25_table,source_t25_method,t26_gate
ogbn-products,t26,products_cb_random,42,sales_ranking,full_node,0.0025,0.0025001745589782725,6123,0,0,6123,6123,,,,,,,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,,,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,922,"{""0"": 274, ""1"": 286, ""10"": 175, ""11"": 159, ""12"": 150, ""13"": 266, ""14"": 98, ""15"": 145, ""16"": 103, ""17"": 174, ""18"": 109, ""19"": 122, ""2"": 268, ""20"": 137, ""21"": 123, ""22"": 89, ""23"": 105, ""24"": 95, ""25"": 91, ""26"": 90, ""27"": 24, ""28"": 90, ""29"": 93, ""3"": 297, ""30"": 30, ""31"": 47, ""32"": 56, ""33"": 23, ""34"": 21, ""35"": 29, ""36"": 21, ""37"": 23, ""38"": 20, ""39"": 20, ""4"": 922, ""40"": 20, ""41"": 20, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 169, ""6"": 325, ""7"": 342, ""8"": 268, ""9"": 204}",standard_adamw,False,0.0,0.0,False,False,False,,,,,,,256,42,False,0.7567198999047035,True,0.9844211216792391,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ready_not_run,False,not_promoted,long_experiment_not_run,long_experiment_not_run,UCA/product recovery rows are not promoted or assigned T26 performance until P0a >= 0.74 and P0b >= 0.95 are actually satisfied.,,experiments/tables/t25_products_recovery_ladder_seed42.csv,P1_selected_real_prototypes_replay,blocked_by_P0a_P0b_gate
ogbn-products,t26,products_cb_kcenter,42,sales_ranking,full_node,0.0025,0.0025001745589782725,6123,0,0,6123,6123,,,,,,,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,,,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,922,"{""0"": 274, ""1"": 286, ""10"": 175, ""11"": 159, ""12"": 150, ""13"": 266, ""14"": 98, ""15"": 145, ""16"": 103, ""17"": 174, ""18"": 109, ""19"": 122, ""2"": 268, ""20"": 137, ""21"": 123, ""22"": 89, ""23"": 105, ""24"": 95, ""25"": 91, ""26"": 90, ""27"": 24, ""28"": 90, ""29"": 93, ""3"": 297, ""30"": 30, ""31"": 47, ""32"": 56, ""33"": 23, ""34"": 21, ""35"": 29, ""36"": 21, ""37"": 23, ""38"": 20, ""39"": 20, ""4"": 922, ""40"": 20, ""41"": 20, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 169, ""6"": 325, ""7"": 342, ""8"": 268, ""9"": 204}",standard_adamw,False,0.0,0.0,False,False,False,,,,,,,256,42,False,0.7567198999047035,True,0.9844211216792391,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ready_not_run,False,not_promoted,long_experiment_not_run,long_experiment_not_run,UCA/product recovery rows are not promoted or assigned T26 performance until P0a >= 0.74 and P0b >= 0.95 are actually satisfied.,,experiments/tables/t25_products_recovery_ladder_seed42.csv,P1_selected_real_prototypes_replay,blocked_by_P0a_P0b_gate
ogbn-products,t26,products_cb_herding,42,sales_ranking,full_node,0.0025,0.0025001745589782725,6123,0,0,6123,6123,,,,,,,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,,,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,922,"{""0"": 274, ""1"": 286, ""10"": 175, ""11"": 159, ""12"": 150, ""13"": 266, ""14"": 98, ""15"": 145, ""16"": 103, ""17"": 174, ""18"": 109, ""19"": 122, ""2"": 268, ""20"": 137, ""21"": 123, ""22"": 89, ""23"": 105, ""24"": 95, ""25"": 91, ""26"": 90, ""27"": 24, ""28"": 90, ""29"": 93, ""3"": 297, ""30"": 30, ""31"": 47, ""32"": 56, ""33"": 23, ""34"": 21, ""35"": 29, ""36"": 21, ""37"": 23, ""38"": 20, ""39"": 20, ""4"": 922, ""40"": 20, ""41"": 20, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 169, ""6"": 325, ""7"": 342, ""8"": 268, ""9"": 204}",standard_adamw,False,0.0,0.0,False,False,False,,,,,,,256,42,False,0.7567198999047035,True,0.9844211216792391,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ready_not_run,False,not_promoted,long_experiment_not_run,long_experiment_not_run,UCA/product recovery rows are not promoted or assigned T26 performance until P0a >= 0.74 and P0b >= 0.95 are actually satisfied.,,experiments/tables/t25_products_recovery_ladder_seed42.csv,P1_selected_real_prototypes_replay,blocked_by_P0a_P0b_gate
ogbn-products,t26,products_cb_hybrid,42,sales_ranking,full_node,0.0025,0.0025001745589782725,6123,0,0,6123,6123,,,,,,,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,,,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,922,"{""0"": 274, ""1"": 286, ""10"": 175, ""11"": 159, ""12"": 150, ""13"": 266, ""14"": 98, ""15"": 145, ""16"": 103, ""17"": 174, ""18"": 109, ""19"": 122, ""2"": 268, ""20"": 137, ""21"": 123, ""22"": 89, ""23"": 105, ""24"": 95, ""25"": 91, ""26"": 90, ""27"": 24, ""28"": 90, ""29"": 93, ""3"": 297, ""30"": 30, ""31"": 47, ""32"": 56, ""33"": 23, ""34"": 21, ""35"": 29, ""36"": 21, ""37"": 23, ""38"": 20, ""39"": 20, ""4"": 922, ""40"": 20, ""41"": 20, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 169, ""6"": 325, ""7"": 342, ""8"": 268, ""9"": 204}",standard_adamw,False,0.0,0.0,False,False,False,,,,,,,256,42,False,0.7567198999047035,True,0.9844211216792391,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ready_not_run,False,not_promoted,long_experiment_not_run,long_experiment_not_run,UCA/product recovery rows are not promoted or assigned T26 performance until P0a >= 0.74 and P0b >= 0.95 are actually satisfied.,,experiments/tables/t25_products_recovery_ladder_seed42.csv,P1_selected_real_prototypes_replay,blocked_by_P0a_P0b_gate
ogbn-products,t26,products_uca_kmeans_labeled_nearest,42,sales_ranking,full_node,0.0025,0.0025001745589782725,6123,0,0,6123,6123,,,,,,,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,,,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,922,"{""0"": 274, ""1"": 286, ""10"": 175, ""11"": 159, ""12"": 150, ""13"": 266, ""14"": 98, ""15"": 145, ""16"": 103, ""17"": 174, ""18"": 109, ""19"": 122, ""2"": 268, ""20"": 137, ""21"": 123, ""22"": 89, ""23"": 105, ""24"": 95, ""25"": 91, ""26"": 90, ""27"": 24, ""28"": 90, ""29"": 93, ""3"": 297, ""30"": 30, ""31"": 47, ""32"": 56, ""33"": 23, ""34"": 21, ""35"": 29, ""36"": 21, ""37"": 23, ""38"": 20, ""39"": 20, ""4"": 922, ""40"": 20, ""41"": 20, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 169, ""6"": 325, ""7"": 342, ""8"": 268, ""9"": 204}",standard_adamw,False,0.0,0.0,False,False,False,,,,,,,256,42,False,0.7567198999047035,True,0.9844211216792391,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ready_not_run,False,not_promoted,long_experiment_not_run,long_experiment_not_run,UCA/product recovery rows are not promoted or assigned T26 performance until P0a >= 0.74 and P0b >= 0.95 are actually satisfied.,,experiments/tables/t25_products_recovery_ladder_seed42.csv,,blocked_by_P0a_P0b_gate
ogbn-products,t26,products_uca_hybrid,42,sales_ranking,full_node,0.0025,0.0025001745589782725,6123,0,0,6123,6123,,,,,,,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,,,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,922,"{""0"": 274, ""1"": 286, ""10"": 175, ""11"": 159, ""12"": 150, ""13"": 266, ""14"": 98, ""15"": 145, ""16"": 103, ""17"": 174, ""18"": 109, ""19"": 122, ""2"": 268, ""20"": 137, ""21"": 123, ""22"": 89, ""23"": 105, ""24"": 95, ""25"": 91, ""26"": 90, ""27"": 24, ""28"": 90, ""29"": 93, ""3"": 297, ""30"": 30, ""31"": 47, ""32"": 56, ""33"": 23, ""34"": 21, ""35"": 29, ""36"": 21, ""37"": 23, ""38"": 20, ""39"": 20, ""4"": 922, ""40"": 20, ""41"": 20, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 169, ""6"": 325, ""7"": 342, ""8"": 268, ""9"": 204}",standard_adamw,False,0.0,0.0,False,False,False,,,,,,,256,42,False,0.7567198999047035,True,0.9844211216792391,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ready_not_run,False,not_promoted,long_experiment_not_run,long_experiment_not_run,UCA/product recovery rows are not promoted or assigned T26 performance until P0a >= 0.74 and P0b >= 0.95 are actually satisfied.,,experiments/tables/t25_products_recovery_ladder_seed42.csv,,blocked_by_P0a_P0b_gate
ogbn-products,t26,products_uca_hybrid_mixup,42,sales_ranking,full_node,0.0025,0.0025001745589782725,6123,0,0,6123,6123,,,,,,,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,,,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,922,"{""0"": 274, ""1"": 286, ""10"": 175, ""11"": 159, ""12"": 150, ""13"": 266, ""14"": 98, ""15"": 145, ""16"": 103, ""17"": 174, ""18"": 109, ""19"": 122, ""2"": 268, ""20"": 137, ""21"": 123, ""22"": 89, ""23"": 105, ""24"": 95, ""25"": 91, ""26"": 90, ""27"": 24, ""28"": 90, ""29"": 93, ""3"": 297, ""30"": 30, ""31"": 47, ""32"": 56, ""33"": 23, ""34"": 21, ""35"": 29, ""36"": 21, ""37"": 23, ""38"": 20, ""39"": 20, ""4"": 922, ""40"": 20, ""41"": 20, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 169, ""6"": 325, ""7"": 342, ""8"": 268, ""9"": 204}",balanced_adamw_label_smoothing_mixup,False,0.0,0.4,False,False,False,,,,,,,256,42,False,0.7567198999047035,True,0.9844211216792391,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ready_not_run,False,not_promoted,long_experiment_not_run,long_experiment_not_run,UCA/product recovery rows are not promoted or assigned T26 performance until P0a >= 0.74 and P0b >= 0.95 are actually satisfied.,,experiments/tables/t25_products_recovery_ladder_seed42.csv,,blocked_by_P0a_P0b_gate
ogbn-products,t26,products_uca_hybrid_balanced_trainer,42,sales_ranking,full_node,0.0025,0.0025001745589782725,6123,0,0,6123,6123,,,,,,,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,,,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,922,"{""0"": 274, ""1"": 286, ""10"": 175, ""11"": 159, ""12"": 150, ""13"": 266, ""14"": 98, ""15"": 145, ""16"": 103, ""17"": 174, ""18"": 109, ""19"": 122, ""2"": 268, ""20"": 137, ""21"": 123, ""22"": 89, ""23"": 105, ""24"": 95, ""25"": 91, ""26"": 90, ""27"": 24, ""28"": 90, ""29"": 93, ""3"": 297, ""30"": 30, ""31"": 47, ""32"": 56, ""33"": 23, ""34"": 21, ""35"": 29, ""36"": 21, ""37"": 23, ""38"": 20, ""39"": 20, ""4"": 922, ""40"": 20, ""41"": 20, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 169, ""6"": 325, ""7"": 342, ""8"": 268, ""9"": 204}",balanced_adamw_label_smoothing_mixup,True,0.05,0.0,False,False,False,,,,,,,256,42,False,0.7567198999047035,True,0.9844211216792391,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ready_not_run,False,not_promoted,long_experiment_not_run,long_experiment_not_run,UCA/product recovery rows are not promoted or assigned T26 performance until P0a >= 0.74 and P0b >= 0.95 are actually satisfied.,,experiments/tables/t25_products_recovery_ladder_seed42.csv,,blocked_by_P0a_P0b_gate
ogbn-products,t26,products_cb_random,42,sales_ranking,full_node,0.005,0.00499994079286117,12245,0,0,12245,12245,,,,,,,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,,,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,1923,"{""0"": 561, ""1"": 587, ""10"": 357, ""11"": 325, ""12"": 304, ""13"": 545, ""14"": 198, ""15"": 296, ""16"": 209, ""17"": 354, ""18"": 220, ""19"": 247, ""2"": 550, ""20"": 279, ""21"": 250, ""22"": 115, ""23"": 213, ""24"": 192, ""25"": 148, ""26"": 128, ""27"": 45, ""28"": 138, ""29"": 188, ""3"": 610, ""30"": 51, ""31"": 71, ""32"": 80, ""33"": 43, ""34"": 42, ""35"": 50, ""36"": 42, ""37"": 43, ""38"": 40, ""39"": 40, ""4"": 1923, ""40"": 40, ""41"": 40, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 344, ""6"": 668, ""7"": 702, ""8"": 550, ""9"": 417}",standard_adamw,False,0.0,0.0,False,False,False,,,,,,,256,42,False,0.7567198999047035,True,0.9842759529101835,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ready_not_run,False,not_promoted,long_experiment_not_run,long_experiment_not_run,UCA/product recovery rows are not promoted or assigned T26 performance until P0a >= 0.74 and P0b >= 0.95 are actually satisfied.,,experiments/tables/t25_products_recovery_ladder_seed42.csv,P1_selected_real_prototypes_replay,blocked_by_P0a_P0b_gate
ogbn-products,t26,products_cb_kcenter,42,sales_ranking,full_node,0.005,0.00499994079286117,12245,0,0,12245,12245,,,,,,,experiments/tables/t26_products_per_class_report_seed42.csv,,,,,,,,,,,,,,,,,floor_plus_0.45p_0.35sqrt_0.20uniform,0,0,1923,"{""0"": 561, ""1"": 587, ""10"": 357, ""11"": 325, ""12"": 304, ""13"": 545, ""14"": 198, ""15"": 296, ""16"": 209, ""17"": 354, ""18"": 220, ""19"": 247, ""2"": 550, ""20"": 279, ""21"": 250, ""22"": 115, ""23"": 213, ""24"": 192, ""25"": 148, ""26"": 128, ""27"": 45, ""28"": 138, ""29"": 188, ""3"": 610, ""30"": 51, ""31"": 71, ""32"": 80, ""33"": 43, ""34"": 42, ""35"": 50, ""36"": 42, ""37"": 43, ""38"": 40, ""39"": 40, ""4"": 1923, ""40"": 40, ""41"": 40, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 344, ""6"": 668, ""7"": 702, ""8"": 550, ""9"": 417}",standard_adamw,False,0.0,0.0,False,False,False,,,,,,,256,42,False,0.7567198999047035,True,0.9842759529101835,True,,,,True,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ready_not_run,False,not_promoted,long_experiment_not_run,long_experiment_not_run,UCA/product recovery rows are not promoted or assigned T26 performance until P0a >= 0.74 and P0b >= 0.95 are actually satisfied.,,experiments/tables/t25_products_recovery_ladder_seed42.csv,P1_selected_real_prototypes_replay,blocked_by_P0a_P0b_gate
