dataset,stage,method,seed,ratio_mode,requested_full_node_ratio,actual_full_node_ratio,original_num_nodes,num_train_nodes,num_classes,init_method,stc_objective,stc_delta_rho,trainable_delta,learn_syn_weights,trainable_labels,syn_rows,syn_feature_dim,syn_weight_mode,inner_steps,outer_steps,gm_num_heads,gm_real_batch_size,head_type,head_hidden_dim,lambda_gm,lambda_mmd,lambda_moment,lambda_div,lambda_prior,lambda_block,lambda_coverage,coverage_track,coverage_prior,accuracy,macro_f1,predicted_classes,per_class_f1_min,per_class_f1_median,per_class_f1_max,selected_or_syn_class_count_min,selected_or_syn_class_count_median,selected_or_syn_class_count_max,precompute_time,init_time,stc_optimization_time,final_training_time,total_time,peak_cpu_ram,peak_gpu_ram,cache_bytes,uses_logits_as_input,uses_teacher_logits,uses_kd,uses_dense_p2,uses_e_by_d_materialization,uses_full_edge_index_on_gpu,uses_valid_labels,uses_test_labels,uses_all_target_features,promotion_allowed,promotion_status,failure_reason,notes,target_prototypes,shadow_nodes,total_condensed_nodes,condensed_edges,predicted_class_histogram_json,synthetic_class_histogram_json,coverage_gap_before,coverage_gap_after,official_accuracy_track_passed,balanced_robustness_track_passed,uses_year_metadata,enable_temporal_labelreuse_decay,temporal_decay_gamma,valid_acc,A1_passed,A2_passed,A3_passed,teacher_gate_status,status
ogbn-products,t27,products_uca_mixup_frozen,42,full_node,0.0002,0.00020007929673352174,2449029,196615,47,products_uca_hybrid_mixup,frozen_init,,False,False,False,490,534,none,,0,,,sagn_lite_v4_synthetic_table,128,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,0.6777213408757254,0.30835577699312056,22,,,,0.0,0.0,140.0,,0.18929069999999992,1.1799999999340116e-05,1.9127418999999994,20.7322497,4.847877502441406,1.269972324371338,209984820,False,False,False,False,False,False,False,False,False,False,not_promoted,products_gate_not_met,"real T27 Products long run; opt_diag={""delta_bound_ratios"": {}, ""final_real_loss"": """", ""initial_real_loss"": """"}",490,0,490,0,"{""0"": 111726, ""1"": 103291, ""10"": 80553, ""11"": 22055, ""12"": 78128, ""13"": 70142, ""14"": 1660, ""15"": 29406, ""17"": 35055, ""18"": 26579, ""2"": 111557, ""20"": 20541, ""21"": 31626, ""25"": 5670, ""29"": 1440, ""3"": 150728, ""4"": 754775, ""5"": 32984, ""6"": 233932, ""7"": 169197, ""8"": 84983, ""9"": 57063}","{""0"": 26, ""1"": 32, ""10"": 11, ""11"": 14, ""12"": 4, ""13"": 23, ""14"": 2, ""15"": 7, ""16"": 0, ""17"": 6, ""18"": 2, ""19"": 0, ""2"": 36, ""20"": 3, ""21"": 2, ""22"": 0, ""23"": 0, ""24"": 0, ""25"": 2, ""26"": 0, ""27"": 0, ""28"": 0, ""29"": 3, ""3"": 21, ""30"": 0, ""31"": 0, ""32"": 0, ""33"": 0, ""34"": 0, ""35"": 0, ""36"": 0, ""37"": 0, ""38"": 0, ""39"": 0, ""4"": 140, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 6, ""6"": 47, ""7"": 70, ""8"": 9, ""9"": 24}",,,False,False,False,False,,0.8397375581720622,False,False,False,,completed_long
ogbn-products,t27,products_uca_mixup_trainable_delta_rho005,42,full_node,0.0002,0.00020007929673352174,2449029,196615,47,products_uca_hybrid_mixup,trainable_delta,0.05,True,False,False,490,534,none,,40,,,sagn_lite_v4_synthetic_table,128,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,0.663570544546067,0.3007951762781094,22,,,,0.0,0.0,140.0,,0.11001159999999999,0.9501303000000014,0.6733916999999998,5.762846700000004,5.403293609619141,1.269972324371338,209984820,False,False,False,False,False,False,False,False,False,False,not_promoted,products_gate_not_met,"real T27 Products long run; opt_diag={""delta_bound_ratios"": {""self"": 0.03800119087100029, ""structure"": 0.037054914981126785, ""x1"": 0.03895372524857521, ""x2"": 0.03961152955889702, ""x3"": 0.03989154100418091, ""xres1"": 0.0387219674885273, ""xres2"": 0.03925023227930069, ""y1"": 0.00784472655504942, ""y2"": 0.005747877527028322, ""y3"": 0.00560685433447361}, ""final_real_loss"": 3.503995895385742, ""initial_real_loss"": 3.520318031311035}",490,0,490,0,"{""0"": 98480, ""1"": 112607, ""10"": 66667, ""11"": 23843, ""12"": 62053, ""13"": 60970, ""14"": 1466, ""15"": 28481, ""17"": 34314, ""18"": 27518, ""2"": 124418, ""20"": 18736, ""21"": 40486, ""25"": 7317, ""29"": 1045, ""3"": 119824, ""4"": 725121, ""5"": 30176, ""6"": 261571, ""7"": 195612, ""8"": 115706, ""9"": 56680}","{""0"": 26, ""1"": 32, ""10"": 11, ""11"": 14, ""12"": 4, ""13"": 23, ""14"": 2, ""15"": 7, ""16"": 0, ""17"": 6, ""18"": 2, ""19"": 0, ""2"": 36, ""20"": 3, ""21"": 2, ""22"": 0, ""23"": 0, ""24"": 0, ""25"": 2, ""26"": 0, ""27"": 0, ""28"": 0, ""29"": 3, ""3"": 21, ""30"": 0, ""31"": 0, ""32"": 0, ""33"": 0, ""34"": 0, ""35"": 0, ""36"": 0, ""37"": 0, ""38"": 0, ""39"": 0, ""4"": 140, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 6, ""6"": 47, ""7"": 70, ""8"": 9, ""9"": 24}",,,False,False,False,False,,0.8429417897922336,False,False,False,,completed_long
ogbn-products,t27,products_uca_mixup_trainable_delta_rho010,42,full_node,0.0002,0.00020007929673352174,2449029,196615,47,products_uca_hybrid_mixup,trainable_delta,0.1,True,False,False,490,534,none,,40,,,sagn_lite_v4_synthetic_table,128,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,0.6858000868468581,0.30945003952562555,22,,,,0.0,0.0,140.0,,0.10755720000000224,0.7942875000000029,0.6457758000000027,5.552636800000002,5.469825744628906,1.269972324371338,209984820,False,False,False,False,False,False,False,False,False,False,not_promoted,products_gate_not_met,"real T27 Products long run; opt_diag={""delta_bound_ratios"": {""self"": 0.07788307219743729, ""structure"": 0.07462675869464874, ""x1"": 0.07931606471538544, ""x2"": 0.08004074543714523, ""x3"": 0.08044029027223587, ""xres1"": 0.07924634218215942, ""xres2"": 0.07969635725021362, ""y1"": 0.020228540524840355, ""y2"": 0.015294772572815418, ""y3"": 0.013920776546001434}, ""final_real_loss"": 3.484896183013916, ""initial_real_loss"": 3.520318031311035}",490,0,490,0,"{""0"": 104553, ""1"": 105349, ""10"": 70114, ""11"": 16810, ""12"": 65280, ""13"": 70407, ""14"": 1696, ""15"": 35156, ""17"": 35277, ""18"": 25461, ""2"": 110447, ""20"": 20948, ""21"": 36294, ""25"": 6844, ""29"": 1224, ""3"": 169812, ""4"": 788238, ""5"": 31452, ""6"": 170498, ""7"": 175778, ""8"": 112916, ""9"": 58537}","{""0"": 26, ""1"": 32, ""10"": 11, ""11"": 14, ""12"": 4, ""13"": 23, ""14"": 2, ""15"": 7, ""16"": 0, ""17"": 6, ""18"": 2, ""19"": 0, ""2"": 36, ""20"": 3, ""21"": 2, ""22"": 0, ""23"": 0, ""24"": 0, ""25"": 2, ""26"": 0, ""27"": 0, ""28"": 0, ""29"": 3, ""3"": 21, ""30"": 0, ""31"": 0, ""32"": 0, ""33"": 0, ""34"": 0, ""35"": 0, ""36"": 0, ""37"": 0, ""38"": 0, ""39"": 0, ""4"": 140, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 6, ""6"": 47, ""7"": 70, ""8"": 9, ""9"": 24}",,,False,False,False,False,,0.8488416448388983,False,False,False,,completed_long
ogbn-products,t27,products_uca_mixup_gm,42,full_node,0.0002,0.00020007929673352174,2449029,196615,47,products_uca_hybrid_mixup,gradient_matching,0.1,True,False,False,490,534,none,,40,1,2048,sagn_lite_v4_synthetic_table,128,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,0.6632226148856961,0.2970205930253969,22,,,,0.0,0.0,140.0,,0.10709370000000007,0.3843758000000008,0.6800455999999997,5.250115400000006,5.582736968994141,1.269972324371338,209984820,False,False,False,False,False,False,False,False,False,False,not_promoted,products_gate_not_met,"real T27 Products long run; opt_diag={""delta_bound_ratios"": {""self"": 0.0012477231211960316, ""structure"": 0.02861112542450428, ""x1"": 0.0019815091509371996, ""x2"": 0.0030142299365252256, ""x3"": 0.005937176290899515, ""xres1"": 0.0021541195455938578, ""xres2"": 0.002412258880212903, ""y1"": 0.00037096693995408714, ""y2"": 0.00026345509104430676, ""y3"": 0.0002104533778037876}, ""final_real_loss"": 3.5198569297790527, ""initial_real_loss"": 3.520318031311035}",490,0,490,0,"{""0"": 109623, ""1"": 112204, ""10"": 80340, ""11"": 16306, ""12"": 52308, ""13"": 56817, ""14"": 2129, ""15"": 32520, ""17"": 36261, ""18"": 17570, ""2"": 114784, ""20"": 20315, ""21"": 22517, ""25"": 7409, ""29"": 1482, ""3"": 140456, ""4"": 821853, ""5"": 31510, ""6"": 175575, ""7"": 180447, ""8"": 122355, ""9"": 58310}","{""0"": 26, ""1"": 32, ""10"": 11, ""11"": 14, ""12"": 4, ""13"": 23, ""14"": 2, ""15"": 7, ""16"": 0, ""17"": 6, ""18"": 2, ""19"": 0, ""2"": 36, ""20"": 3, ""21"": 2, ""22"": 0, ""23"": 0, ""24"": 0, ""25"": 2, ""26"": 0, ""27"": 0, ""28"": 0, ""29"": 3, ""3"": 21, ""30"": 0, ""31"": 0, ""32"": 0, ""33"": 0, ""34"": 0, ""35"": 0, ""36"": 0, ""37"": 0, ""38"": 0, ""39"": 0, ""4"": 140, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 6, ""6"": 47, ""7"": 70, ""8"": 9, ""9"": 24}",,,False,False,False,False,,0.8558350075019708,False,False,False,,completed_long
ogbn-products,t27,products_uca_mixup_outer,42,full_node,0.0002,0.00020007929673352174,2449029,196615,47,products_uca_hybrid_mixup,outer_loop,0.1,True,False,False,490,534,none,1,40,,,sagn_lite_v4_synthetic_table,128,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,0.6858000868468581,0.30945003952562555,22,,,,0.0,0.0,140.0,,0.10676910000000106,0.8004521000000011,0.6489645999999993,5.609867700000002,5.583293914794922,1.269972324371338,209984820,False,False,False,False,False,False,False,False,False,False,not_promoted,products_gate_not_met,"real T27 Products long run; opt_diag={""delta_bound_ratios"": {""self"": 0.07788307219743729, ""structure"": 0.07462675869464874, ""x1"": 0.07931606471538544, ""x2"": 0.08004074543714523, ""x3"": 0.08044029027223587, ""xres1"": 0.07924634218215942, ""xres2"": 0.07969635725021362, ""y1"": 0.020228540524840355, ""y2"": 0.015294772572815418, ""y3"": 0.013920776546001434}, ""final_real_loss"": 3.484896183013916, ""initial_real_loss"": 3.520318031311035}",490,0,490,0,"{""0"": 104553, ""1"": 105349, ""10"": 70114, ""11"": 16810, ""12"": 65280, ""13"": 70407, ""14"": 1696, ""15"": 35156, ""17"": 35277, ""18"": 25461, ""2"": 110447, ""20"": 20948, ""21"": 36294, ""25"": 6844, ""29"": 1224, ""3"": 169812, ""4"": 788238, ""5"": 31452, ""6"": 170498, ""7"": 175778, ""8"": 112916, ""9"": 58537}","{""0"": 26, ""1"": 32, ""10"": 11, ""11"": 14, ""12"": 4, ""13"": 23, ""14"": 2, ""15"": 7, ""16"": 0, ""17"": 6, ""18"": 2, ""19"": 0, ""2"": 36, ""20"": 3, ""21"": 2, ""22"": 0, ""23"": 0, ""24"": 0, ""25"": 2, ""26"": 0, ""27"": 0, ""28"": 0, ""29"": 3, ""3"": 21, ""30"": 0, ""31"": 0, ""32"": 0, ""33"": 0, ""34"": 0, ""35"": 0, ""36"": 0, ""37"": 0, ""38"": 0, ""39"": 0, ""4"": 140, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 6, ""6"": 47, ""7"": 70, ""8"": 9, ""9"": 24}",,,False,False,False,False,,0.8488416448388983,False,False,False,,completed_long
ogbn-products,t27,products_uca_mixup_outer_plus_coverage_official,42,full_node,0.0002,0.00020007929673352174,2449029,196615,47,products_uca_hybrid_mixup,outer_loop_plus_coverage,0.1,True,False,False,490,534,none,1,40,,,sagn_lite_v4_synthetic_table,128,1.0,0.1,0.1,0.01,0.1,0.1,0.1,official,train,0.6858000868468581,0.30945003952562555,22,,,,0.0,0.0,140.0,,0.1109931999999958,0.822852399999995,0.6577046999999965,5.642795100000001,5.583843231201172,1.269972324371338,209984820,False,False,False,False,False,False,False,False,False,False,not_promoted,products_gate_not_met,"real T27 Products long run; opt_diag={""delta_bound_ratios"": {""self"": 0.07788307219743729, ""structure"": 0.07462675869464874, ""x1"": 0.07931606471538544, ""x2"": 0.08004074543714523, ""x3"": 0.08044029027223587, ""xres1"": 0.07924634218215942, ""xres2"": 0.07969635725021362, ""y1"": 0.020228540524840355, ""y2"": 0.015294772572815418, ""y3"": 0.013920776546001434}, ""final_real_loss"": 3.484896183013916, ""initial_real_loss"": 3.520318031311035}",490,0,490,0,"{""0"": 104553, ""1"": 105349, ""10"": 70114, ""11"": 16810, ""12"": 65280, ""13"": 70407, ""14"": 1696, ""15"": 35156, ""17"": 35277, ""18"": 25461, ""2"": 110447, ""20"": 20948, ""21"": 36294, ""25"": 6844, ""29"": 1224, ""3"": 169812, ""4"": 788238, ""5"": 31452, ""6"": 170498, ""7"": 175778, ""8"": 112916, ""9"": 58537}","{""0"": 26, ""1"": 32, ""10"": 11, ""11"": 14, ""12"": 4, ""13"": 23, ""14"": 2, ""15"": 7, ""16"": 0, ""17"": 6, ""18"": 2, ""19"": 0, ""2"": 36, ""20"": 3, ""21"": 2, ""22"": 0, ""23"": 0, ""24"": 0, ""25"": 2, ""26"": 0, ""27"": 0, ""28"": 0, ""29"": 3, ""3"": 21, ""30"": 0, ""31"": 0, ""32"": 0, ""33"": 0, ""34"": 0, ""35"": 0, ""36"": 0, ""37"": 0, ""38"": 0, ""39"": 0, ""4"": 140, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 6, ""6"": 47, ""7"": 70, ""8"": 9, ""9"": 24}",,,False,False,False,False,,0.8488416448388983,False,False,False,,completed_long
ogbn-products,t27,products_uca_mixup_outer_plus_coverage_balanced,42,full_node,0.0002,0.00020007929673352174,2449029,196615,47,products_uca_hybrid_mixup,outer_loop_plus_coverage,0.1,True,False,False,490,534,none,1,40,,,sagn_lite_v4_synthetic_table,128,1.0,0.1,0.1,0.01,0.1,0.1,0.1,balanced,balanced_alpha025,0.6709353569283866,0.3076080063110487,22,,,,0.0,0.0,140.0,,0.10848060000000004,0.821885199999997,0.698150499999997,5.712436000000004,5.583858489990234,1.269972324371338,209984820,False,False,False,False,False,False,False,False,False,False,not_promoted,products_gate_not_met,"real T27 Products long run; opt_diag={""delta_bound_ratios"": {""self"": 0.07788307219743729, ""structure"": 0.07462675869464874, ""x1"": 0.07931606471538544, ""x2"": 0.08004074543714523, ""x3"": 0.08044029027223587, ""xres1"": 0.07924634218215942, ""xres2"": 0.07969635725021362, ""y1"": 0.020228540524840355, ""y2"": 0.015294772572815418, ""y3"": 0.013920776546001434}, ""final_real_loss"": 3.484896183013916, ""initial_real_loss"": 3.520318031311035}",490,0,490,0,"{""0"": 86603, ""1"": 125370, ""10"": 60984, ""11"": 18390, ""12"": 58933, ""13"": 67806, ""14"": 1616, ""15"": 24449, ""17"": 37174, ""18"": 23801, ""2"": 115912, ""20"": 19208, ""21"": 33730, ""25"": 4654, ""29"": 1226, ""3"": 146504, ""4"": 709258, ""5"": 29196, ""6"": 291071, ""7"": 193212, ""8"": 106850, ""9"": 57144}","{""0"": 26, ""1"": 32, ""10"": 11, ""11"": 14, ""12"": 4, ""13"": 23, ""14"": 2, ""15"": 7, ""16"": 0, ""17"": 6, ""18"": 2, ""19"": 0, ""2"": 36, ""20"": 3, ""21"": 2, ""22"": 0, ""23"": 0, ""24"": 0, ""25"": 2, ""26"": 0, ""27"": 0, ""28"": 0, ""29"": 3, ""3"": 21, ""30"": 0, ""31"": 0, ""32"": 0, ""33"": 0, ""34"": 0, ""35"": 0, ""36"": 0, ""37"": 0, ""38"": 0, ""39"": 0, ""4"": 140, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 6, ""6"": 47, ""7"": 70, ""8"": 9, ""9"": 24}",,,False,False,False,False,,0.8477227068128067,False,False,False,,completed_long
ogbn-products,t27,products_random_trainable_delta,42,full_node,0.0002,0.00020007929673352174,2449029,196615,47,P0c_same_budget_random_subset,trainable_delta,0.1,True,False,False,490,534,none,,40,,,sagn_lite_v4_synthetic_table,128,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,0.5975777769644357,0.24756832425578185,24,,,,0.0,1.0,169.0,,0.0008252000000013027,0.8290270000000035,0.6247323000000051,5.486077999999992,5.584346771240234,1.269972324371338,209984820,False,False,False,False,False,False,False,False,False,False,not_promoted,products_gate_not_met,"real T27 Products long run; opt_diag={""delta_bound_ratios"": {""self"": 0.07865668833255768, ""structure"": 0.07810704410076141, ""x1"": 0.07931198924779892, ""x2"": 0.08006055653095245, ""x3"": 0.08045516163110733, ""xres1"": 0.07923470437526703, ""xres2"": 0.07785408943891525, ""y1"": 0.024025365710258484, ""y2"": 0.019758597016334534, ""y3"": 0.01949603110551834}, ""final_real_loss"": 3.3508687019348145, ""initial_real_loss"": 3.385369062423706}",490,0,490,0,"{""0"": 79438, ""1"": 88530, ""10"": 84915, ""11"": 31777, ""12"": 841, ""13"": 86367, ""14"": 1286, ""15"": 22509, ""16"": 2166, ""17"": 24930, ""18"": 19300, ""2"": 89271, ""20"": 19655, ""21"": 16909, ""23"": 17222, ""25"": 2875, ""3"": 235530, ""30"": 2599, ""4"": 787548, ""5"": 19024, ""6"": 194096, ""7"": 152432, ""8"": 159210, ""9"": 74661}","{""0"": 17, ""1"": 33, ""10"": 13, ""11"": 9, ""12"": 1, ""13"": 26, ""14"": 1, ""15"": 6, ""16"": 1, ""17"": 8, ""18"": 2, ""19"": 0, ""2"": 31, ""20"": 4, ""21"": 3, ""22"": 0, ""23"": 2, ""24"": 0, ""25"": 2, ""26"": 0, ""27"": 0, ""28"": 0, ""29"": 0, ""3"": 37, ""30"": 1, ""31"": 0, ""32"": 0, ""33"": 0, ""34"": 0, ""35"": 0, ""36"": 0, ""37"": 0, ""38"": 0, ""39"": 0, ""4"": 169, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 9, ""6"": 41, ""7"": 30, ""8"": 24, ""9"": 20}",,,False,False,False,False,,0.7945985809831396,False,False,False,,completed_long
ogbn-products,t27,products_cb_random_trainable_delta,42,full_node,0.0002,0.00020007929673352174,2449029,196615,47,products_cb_random,trainable_delta,0.1,True,False,False,490,534,none,,40,,,sagn_lite_v4_synthetic_table,128,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,0.48139683365934793,0.27828198365098505,42,,,,0.0,4.0,60.0,,0.03443489999999372,1.1584465999999907,0.5828395999999998,5.799225699999994,5.5843505859375,1.269972324371338,209984820,False,False,False,False,False,False,False,False,False,False,not_promoted,products_gate_not_met,"real T27 Products long run; opt_diag={""delta_bound_ratios"": {""self"": 0.08009149134159088, ""structure"": 0.07756329327821732, ""x1"": 0.07967934757471085, ""x2"": 0.08020331710577011, ""x3"": 0.08048828691244125, ""xres1"": 0.08008597046136856, ""xres2"": 0.07864667475223541, ""y1"": 0.015634670853614807, ""y2"": 0.012681937776505947, ""y3"": 0.011639847420156002}, ""final_real_loss"": 3.607187271118164, ""initial_real_loss"": 3.6512770652770996}",490,0,490,0,"{""0"": 187900, ""1"": 37419, ""10"": 56614, ""11"": 63311, ""12"": 126254, ""13"": 188766, ""14"": 4098, ""15"": 38747, ""16"": 36072, ""17"": 100196, ""18"": 23881, ""19"": 16495, ""2"": 98324, ""20"": 20133, ""21"": 38863, ""22"": 807, ""23"": 21939, ""24"": 27180, ""25"": 5743, ""26"": 9251, ""27"": 665, ""28"": 30911, ""29"": 719, ""3"": 147894, ""30"": 9342, ""31"": 2439, ""32"": 36881, ""33"": 187, ""34"": 133, ""35"": 925, ""36"": 244, ""37"": 1131, ""38"": 43245, ""39"": 36916, ""4"": 292751, ""40"": 1047, ""41"": 1332, ""5"": 33851, ""6"": 111817, ""7"": 156840, ""8"": 126210, ""9"": 75618}","{""0"": 28, ""1"": 29, ""10"": 17, ""11"": 15, ""12"": 14, ""13"": 27, ""14"": 4, ""15"": 13, ""16"": 6, ""17"": 17, ""18"": 7, ""19"": 9, ""2"": 27, ""20"": 12, ""21"": 9, ""22"": 2, ""23"": 6, ""24"": 4, ""25"": 3, ""26"": 2, ""27"": 1, ""28"": 2, ""29"": 3, ""3"": 30, ""30"": 1, ""31"": 1, ""32"": 2, ""33"": 1, ""34"": 1, ""35"": 1, ""36"": 1, ""37"": 1, ""38"": 1, ""39"": 1, ""4"": 60, ""40"": 1, ""41"": 1, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 16, ""6"": 32, ""7"": 34, ""8"": 27, ""9"": 21}",,,False,False,False,False,,0.6404394374793378,False,False,False,,completed_long
ogbn-products,t27,products_uca_mixup_frozen,42,full_node,0.0004,0.0004001585934670435,2449029,196615,47,products_uca_hybrid_mixup,frozen_init,,False,False,False,980,534,none,,0,,,sagn_lite_v4_synthetic_table,128,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,0.7000873439004541,0.32836011280313476,27,,,,0.0,2.0,281.0,,0.16713450000000307,7.899999999949614e-06,0.642986300000004,4.680566600000006,5.584491729736328,1.2729973793029785,209984820,False,False,False,False,False,False,False,False,False,False,not_promoted,products_gate_not_met,"real T27 Products long run; opt_diag={""delta_bound_ratios"": {}, ""final_real_loss"": """", ""initial_real_loss"": """"}",980,0,980,0,"{""0"": 93867, ""1"": 104784, ""10"": 57828, ""11"": 28097, ""12"": 85281, ""13"": 61939, ""14"": 3137, ""15"": 26215, ""16"": 351, ""17"": 37503, ""18"": 33423, ""19"": 6028, ""2"": 150547, ""20"": 21666, ""21"": 43434, ""23"": 11279, ""24"": 2847, ""25"": 4672, ""28"": 1900, ""29"": 1206, ""3"": 138031, ""4"": 748963, ""5"": 34529, ""6"": 159556, ""7"": 183237, ""8"": 116268, ""9"": 56503}","{""0"": 49, ""1"": 59, ""10"": 22, ""11"": 28, ""12"": 10, ""13"": 44, ""14"": 4, ""15"": 19, ""16"": 1, ""17"": 16, ""18"": 6, ""19"": 3, ""2"": 80, ""20"": 8, ""21"": 5, ""22"": 0, ""23"": 2, ""24"": 3, ""25"": 2, ""26"": 0, ""27"": 0, ""28"": 1, ""29"": 4, ""3"": 42, ""30"": 0, ""31"": 0, ""32"": 0, ""33"": 0, ""34"": 0, ""35"": 0, ""36"": 0, ""37"": 0, ""38"": 0, ""39"": 0, ""4"": 281, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""5"": 13, ""6"": 84, ""7"": 130, ""8"": 21, ""9"": 43}",,,False,False,False,False,,0.8585560613381481,False,False,False,,completed_long
