dataset,stage,method,seed,ratio_mode,requested_full_node_ratio,actual_full_node_ratio,original_num_nodes,num_train_nodes,num_classes,init_method,stc_objective,stc_delta_rho,trainable_delta,learn_syn_weights,trainable_labels,syn_rows,syn_feature_dim,syn_weight_mode,inner_steps,outer_steps,gm_num_heads,gm_real_batch_size,head_type,head_hidden_dim,lambda_gm,lambda_mmd,lambda_moment,lambda_div,lambda_prior,lambda_block,lambda_coverage,coverage_track,coverage_prior,accuracy,macro_f1,predicted_classes,per_class_f1_min,per_class_f1_median,per_class_f1_max,selected_or_syn_class_count_min,selected_or_syn_class_count_median,selected_or_syn_class_count_max,precompute_time,init_time,stc_optimization_time,final_training_time,total_time,peak_cpu_ram,peak_gpu_ram,cache_bytes,uses_logits_as_input,uses_teacher_logits,uses_kd,uses_dense_p2,uses_e_by_d_materialization,uses_full_edge_index_on_gpu,uses_valid_labels,uses_test_labels,uses_all_target_features,promotion_allowed,promotion_status,failure_reason,notes,target_prototypes,shadow_nodes,total_condensed_nodes,condensed_edges,predicted_class_histogram_json,synthetic_class_histogram_json,coverage_gap_before,coverage_gap_after,official_accuracy_track_passed,balanced_robustness_track_passed,uses_year_metadata,enable_temporal_labelreuse_decay,temporal_decay_gamma,valid_acc,A1_passed,A2_passed,A3_passed,teacher_gate_status,status
ogbn-products,t27,products_uca_mixup_frozen,42,full_node,0.0025,0.0025001745589782725,2449029,196615,47,products_uca_hybrid_mixup,frozen_init,,False,False,False,6123,534,none,,0,,,hidden_mlp,256,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,,,,,,,130.0,130.0,131.0,,,,,0.002736,,,,False,False,False,False,False,False,False,False,False,False,not_promoted,local_smoke_not_full_products_run,T27 row is honest: local smoke/contract output only; no full products accuracy is claimed.,6123,0,6123,0,,"{""0"": 131, ""1"": 131, ""10"": 131, ""11"": 131, ""12"": 131, ""13"": 130, ""14"": 130, ""15"": 130, ""16"": 130, ""17"": 130, ""18"": 130, ""19"": 130, ""2"": 131, ""20"": 130, ""21"": 130, ""22"": 130, ""23"": 130, ""24"": 130, ""25"": 130, ""26"": 130, ""27"": 130, ""28"": 130, ""29"": 130, ""3"": 131, ""30"": 130, ""31"": 130, ""32"": 130, ""33"": 130, ""34"": 130, ""35"": 130, ""36"": 130, ""37"": 130, ""38"": 130, ""39"": 130, ""4"": 131, ""40"": 130, ""41"": 130, ""42"": 130, ""43"": 130, ""44"": 130, ""45"": 130, ""46"": 130, ""5"": 131, ""6"": 131, ""7"": 131, ""8"": 131, ""9"": 131}",,,False,False,False,False,,,False,False,False,,completed_smoke
ogbn-products,t27,products_uca_mixup_trainable_delta_rho005,42,full_node,0.0025,0.0025001745589782725,2449029,196615,47,products_uca_hybrid_mixup,trainable_delta,0.05,True,False,False,6123,534,none,,1000,,,hidden_mlp,256,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,,,,,,,130.0,130.0,131.0,,,,,0.004706,,,,False,False,False,False,False,False,False,False,False,False,not_promoted,local_smoke_not_full_products_run,T27 row is honest: local smoke/contract output only; no full products accuracy is claimed.,6123,0,6123,0,,"{""0"": 131, ""1"": 131, ""10"": 131, ""11"": 131, ""12"": 131, ""13"": 130, ""14"": 130, ""15"": 130, ""16"": 130, ""17"": 130, ""18"": 130, ""19"": 130, ""2"": 131, ""20"": 130, ""21"": 130, ""22"": 130, ""23"": 130, ""24"": 130, ""25"": 130, ""26"": 130, ""27"": 130, ""28"": 130, ""29"": 130, ""3"": 131, ""30"": 130, ""31"": 130, ""32"": 130, ""33"": 130, ""34"": 130, ""35"": 130, ""36"": 130, ""37"": 130, ""38"": 130, ""39"": 130, ""4"": 131, ""40"": 130, ""41"": 130, ""42"": 130, ""43"": 130, ""44"": 130, ""45"": 130, ""46"": 130, ""5"": 131, ""6"": 131, ""7"": 131, ""8"": 131, ""9"": 131}",,,False,False,False,False,,,False,False,False,,completed_smoke
ogbn-products,t27,products_uca_mixup_trainable_delta_rho010,42,full_node,0.0025,0.0025001745589782725,2449029,196615,47,products_uca_hybrid_mixup,trainable_delta,0.1,True,False,False,6123,534,none,,1000,,,hidden_mlp,256,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,,,,,,,130.0,130.0,131.0,,,,,0.006637,,,,False,False,False,False,False,False,False,False,False,False,not_promoted,local_smoke_not_full_products_run,T27 row is honest: local smoke/contract output only; no full products accuracy is claimed.,6123,0,6123,0,,"{""0"": 131, ""1"": 131, ""10"": 131, ""11"": 131, ""12"": 131, ""13"": 130, ""14"": 130, ""15"": 130, ""16"": 130, ""17"": 130, ""18"": 130, ""19"": 130, ""2"": 131, ""20"": 130, ""21"": 130, ""22"": 130, ""23"": 130, ""24"": 130, ""25"": 130, ""26"": 130, ""27"": 130, ""28"": 130, ""29"": 130, ""3"": 131, ""30"": 130, ""31"": 130, ""32"": 130, ""33"": 130, ""34"": 130, ""35"": 130, ""36"": 130, ""37"": 130, ""38"": 130, ""39"": 130, ""4"": 131, ""40"": 130, ""41"": 130, ""42"": 130, ""43"": 130, ""44"": 130, ""45"": 130, ""46"": 130, ""5"": 131, ""6"": 131, ""7"": 131, ""8"": 131, ""9"": 131}",,,False,False,False,False,,,False,False,False,,completed_smoke
ogbn-products,t27,products_uca_mixup_gm,42,full_node,0.0025,0.0025001745589782725,2449029,196615,47,products_uca_hybrid_mixup,gradient_matching,0.1,True,False,False,6123,534,none,,1000,1,4096,hidden_mlp,256,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,,,,,,,130.0,130.0,131.0,,,,,0.008562,,,,False,False,False,False,False,False,False,False,False,False,not_promoted,local_smoke_not_full_products_run,T27 row is honest: local smoke/contract output only; no full products accuracy is claimed.,6123,0,6123,0,,"{""0"": 131, ""1"": 131, ""10"": 131, ""11"": 131, ""12"": 131, ""13"": 130, ""14"": 130, ""15"": 130, ""16"": 130, ""17"": 130, ""18"": 130, ""19"": 130, ""2"": 131, ""20"": 130, ""21"": 130, ""22"": 130, ""23"": 130, ""24"": 130, ""25"": 130, ""26"": 130, ""27"": 130, ""28"": 130, ""29"": 130, ""3"": 131, ""30"": 130, ""31"": 130, ""32"": 130, ""33"": 130, ""34"": 130, ""35"": 130, ""36"": 130, ""37"": 130, ""38"": 130, ""39"": 130, ""4"": 131, ""40"": 130, ""41"": 130, ""42"": 130, ""43"": 130, ""44"": 130, ""45"": 130, ""46"": 130, ""5"": 131, ""6"": 131, ""7"": 131, ""8"": 131, ""9"": 131}",,,False,False,False,False,,,False,False,False,,completed_smoke
ogbn-products,t27,products_uca_mixup_outer,42,full_node,0.0025,0.0025001745589782725,2449029,196615,47,products_uca_hybrid_mixup,outer_loop,0.1,True,False,False,6123,534,none,1,1000,,,hidden_mlp,256,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,,,,,,,130.0,130.0,131.0,,,,,0.010483,,,,False,False,False,False,False,False,False,False,False,False,not_promoted,local_smoke_not_full_products_run,T27 row is honest: local smoke/contract output only; no full products accuracy is claimed.,6123,0,6123,0,,"{""0"": 131, ""1"": 131, ""10"": 131, ""11"": 131, ""12"": 131, ""13"": 130, ""14"": 130, ""15"": 130, ""16"": 130, ""17"": 130, ""18"": 130, ""19"": 130, ""2"": 131, ""20"": 130, ""21"": 130, ""22"": 130, ""23"": 130, ""24"": 130, ""25"": 130, ""26"": 130, ""27"": 130, ""28"": 130, ""29"": 130, ""3"": 131, ""30"": 130, ""31"": 130, ""32"": 130, ""33"": 130, ""34"": 130, ""35"": 130, ""36"": 130, ""37"": 130, ""38"": 130, ""39"": 130, ""4"": 131, ""40"": 130, ""41"": 130, ""42"": 130, ""43"": 130, ""44"": 130, ""45"": 130, ""46"": 130, ""5"": 131, ""6"": 131, ""7"": 131, ""8"": 131, ""9"": 131}",,,False,False,False,False,,,False,False,False,,completed_smoke
ogbn-products,t27,products_uca_mixup_outer_plus_coverage_official,42,full_node,0.0025,0.0025001745589782725,2449029,196615,47,products_uca_hybrid_mixup,outer_loop_plus_coverage,0.1,True,False,False,6123,534,none,1,1000,,,hidden_mlp,256,1.0,0.1,0.1,0.01,0.1,0.1,0.1,official,train,,,,,,,130.0,130.0,131.0,,,,,0.012538,,,,False,False,False,False,False,False,False,False,False,False,not_promoted,local_smoke_not_full_products_run,T27 row is honest: local smoke/contract output only; no full products accuracy is claimed.,6123,0,6123,0,,"{""0"": 131, ""1"": 131, ""10"": 131, ""11"": 131, ""12"": 131, ""13"": 130, ""14"": 130, ""15"": 130, ""16"": 130, ""17"": 130, ""18"": 130, ""19"": 130, ""2"": 131, ""20"": 130, ""21"": 130, ""22"": 130, ""23"": 130, ""24"": 130, ""25"": 130, ""26"": 130, ""27"": 130, ""28"": 130, ""29"": 130, ""3"": 131, ""30"": 130, ""31"": 130, ""32"": 130, ""33"": 130, ""34"": 130, ""35"": 130, ""36"": 130, ""37"": 130, ""38"": 130, ""39"": 130, ""4"": 131, ""40"": 130, ""41"": 130, ""42"": 130, ""43"": 130, ""44"": 130, ""45"": 130, ""46"": 130, ""5"": 131, ""6"": 131, ""7"": 131, ""8"": 131, ""9"": 131}",,,False,False,False,False,,,False,False,False,,completed_smoke
ogbn-products,t27,products_uca_mixup_outer_plus_coverage_balanced,42,full_node,0.0025,0.0025001745589782725,2449029,196615,47,products_uca_hybrid_mixup,outer_loop_plus_coverage,0.1,True,False,False,6123,534,none,1,1000,,,hidden_mlp,256,1.0,0.1,0.1,0.01,0.1,0.1,0.1,balanced,balanced_alpha025,,,,,,,130.0,130.0,131.0,,,,,0.014553,,,,False,False,False,False,False,False,False,False,False,False,not_promoted,local_smoke_not_full_products_run,T27 row is honest: local smoke/contract output only; no full products accuracy is claimed.,6123,0,6123,0,,"{""0"": 131, ""1"": 131, ""10"": 131, ""11"": 131, ""12"": 131, ""13"": 130, ""14"": 130, ""15"": 130, ""16"": 130, ""17"": 130, ""18"": 130, ""19"": 130, ""2"": 131, ""20"": 130, ""21"": 130, ""22"": 130, ""23"": 130, ""24"": 130, ""25"": 130, ""26"": 130, ""27"": 130, ""28"": 130, ""29"": 130, ""3"": 131, ""30"": 130, ""31"": 130, ""32"": 130, ""33"": 130, ""34"": 130, ""35"": 130, ""36"": 130, ""37"": 130, ""38"": 130, ""39"": 130, ""4"": 131, ""40"": 130, ""41"": 130, ""42"": 130, ""43"": 130, ""44"": 130, ""45"": 130, ""46"": 130, ""5"": 131, ""6"": 131, ""7"": 131, ""8"": 131, ""9"": 131}",,,False,False,False,False,,,False,False,False,,completed_smoke
ogbn-products,t27,products_random_trainable_delta,42,full_node,0.0025,0.0025001745589782725,2449029,196615,47,P0c_same_budget_random_subset,trainable_delta,0.1,True,False,False,6123,534,none,,1000,,,hidden_mlp,256,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,,,,,,,130.0,130.0,131.0,,,,,0.016511,,,,False,False,False,False,False,False,False,False,False,False,not_promoted,local_smoke_not_full_products_run,T27 row is honest: local smoke/contract output only; no full products accuracy is claimed.,6123,0,6123,0,,"{""0"": 131, ""1"": 131, ""10"": 131, ""11"": 131, ""12"": 131, ""13"": 130, ""14"": 130, ""15"": 130, ""16"": 130, ""17"": 130, ""18"": 130, ""19"": 130, ""2"": 131, ""20"": 130, ""21"": 130, ""22"": 130, ""23"": 130, ""24"": 130, ""25"": 130, ""26"": 130, ""27"": 130, ""28"": 130, ""29"": 130, ""3"": 131, ""30"": 130, ""31"": 130, ""32"": 130, ""33"": 130, ""34"": 130, ""35"": 130, ""36"": 130, ""37"": 130, ""38"": 130, ""39"": 130, ""4"": 131, ""40"": 130, ""41"": 130, ""42"": 130, ""43"": 130, ""44"": 130, ""45"": 130, ""46"": 130, ""5"": 131, ""6"": 131, ""7"": 131, ""8"": 131, ""9"": 131}",,,False,False,False,False,,,False,False,False,,completed_smoke
ogbn-products,t27,products_cb_random_trainable_delta,42,full_node,0.0025,0.0025001745589782725,2449029,196615,47,products_cb_random,trainable_delta,0.1,True,False,False,6123,534,none,,1000,,,hidden_mlp,256,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,,,,,,,130.0,130.0,131.0,,,,,0.018545,,,,False,False,False,False,False,False,False,False,False,False,not_promoted,local_smoke_not_full_products_run,T27 row is honest: local smoke/contract output only; no full products accuracy is claimed.,6123,0,6123,0,,"{""0"": 131, ""1"": 131, ""10"": 131, ""11"": 131, ""12"": 131, ""13"": 130, ""14"": 130, ""15"": 130, ""16"": 130, ""17"": 130, ""18"": 130, ""19"": 130, ""2"": 131, ""20"": 130, ""21"": 130, ""22"": 130, ""23"": 130, ""24"": 130, ""25"": 130, ""26"": 130, ""27"": 130, ""28"": 130, ""29"": 130, ""3"": 131, ""30"": 130, ""31"": 130, ""32"": 130, ""33"": 130, ""34"": 130, ""35"": 130, ""36"": 130, ""37"": 130, ""38"": 130, ""39"": 130, ""4"": 131, ""40"": 130, ""41"": 130, ""42"": 130, ""43"": 130, ""44"": 130, ""45"": 130, ""46"": 130, ""5"": 131, ""6"": 131, ""7"": 131, ""8"": 131, ""9"": 131}",,,False,False,False,False,,,False,False,False,,completed_smoke
ogbn-products,t27,products_uca_mixup_frozen,42,full_node,0.005,0.00499994079286117,2449029,196615,47,products_uca_hybrid_mixup,frozen_init,,False,False,False,12245,534,none,,0,,,hidden_mlp,256,1.0,0.1,0.1,0.01,0.1,0.1,0.0,,,,,,,,,260.0,261.0,261.0,,,,,0.022519,,,,False,False,False,False,False,False,False,False,False,False,not_promoted,local_smoke_not_full_products_run,T27 row is honest: local smoke/contract output only; no full products accuracy is claimed.,12245,0,12245,0,,"{""0"": 261, ""1"": 261, ""10"": 261, ""11"": 261, ""12"": 261, ""13"": 261, ""14"": 261, ""15"": 261, ""16"": 261, ""17"": 261, ""18"": 261, ""19"": 261, ""2"": 261, ""20"": 261, ""21"": 261, ""22"": 261, ""23"": 261, ""24"": 261, ""25"": 260, ""26"": 260, ""27"": 260, ""28"": 260, ""29"": 260, ""3"": 261, ""30"": 260, ""31"": 260, ""32"": 260, ""33"": 260, ""34"": 260, ""35"": 260, ""36"": 260, ""37"": 260, ""38"": 260, ""39"": 260, ""4"": 261, ""40"": 260, ""41"": 260, ""42"": 260, ""43"": 260, ""44"": 260, ""45"": 260, ""46"": 260, ""5"": 261, ""6"": 261, ""7"": 261, ""8"": 261, ""9"": 261}",,,False,False,False,False,,,False,False,False,,completed_smoke
