dataset,recovery_row,fullgraph_status,fullgraph_accuracy,fullgraph_macro_f1,selected_blocks,status,promoted,full_to_identity_gap,identity_to_oracle_gap,oracle_to_shadow_gap,full_to_shadow_gap,uses_logits_as_input,uses_dense_p2,uses_bounded_edges,uses_e_by_d_materialization,reason
acm,identity_condensed_sft_replay,promoted,0.9206798672676086,0.9211405118306478,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",completed_diagnostic,False,0.0,,,0.0,False,False,False,False,identity replay of the validation-selected T2 SFT table teacher; diagnostic only
acm,prototype_oracle_sft_block_signature,promoted,0.9206798672676086,0.9211405118306478,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",eligible_not_run,False,,,,,False,False,False,False,fullgraph T2 gate passed; compressed SFT block-signature recovery must be launched separately
acm,shadow_condensed_sft_block_signature,promoted,0.9206798672676086,0.9211405118306478,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",eligible_not_run,False,,,,,False,False,False,False,fullgraph T2 gate passed; compressed SFT block-signature recovery must be launched separately
dblp,identity_condensed_sft_replay,promoted,0.9426056146621704,0.9387593418359756,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",completed_diagnostic,False,0.0,,,0.0,False,False,False,False,identity replay of the validation-selected T2 SFT table teacher; diagnostic only
dblp,prototype_oracle_sft_block_signature,promoted,0.9426056146621704,0.9387593418359756,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",eligible_not_run,False,,,,,False,False,False,False,fullgraph T2 gate passed; compressed SFT block-signature recovery must be launched separately
dblp,shadow_condensed_sft_block_signature,promoted,0.9426056146621704,0.9387593418359756,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",eligible_not_run,False,,,,,False,False,False,False,fullgraph T2 gate passed; compressed SFT block-signature recovery must be launched separately
imdb,identity_condensed_sft_replay,promoted,0.47158026695251465,0.3900045245885849,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B4_structure""]",completed_diagnostic,False,0.0,,,0.0,False,False,False,False,identity replay of the validation-selected T2 SFT table teacher; diagnostic only
imdb,prototype_oracle_sft_block_signature,promoted,0.47158026695251465,0.3900045245885849,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B4_structure""]",eligible_not_run,False,,,,,False,False,False,False,fullgraph T2 gate passed; compressed SFT block-signature recovery must be launched separately
imdb,shadow_condensed_sft_block_signature,promoted,0.47158026695251465,0.3900045245885849,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B4_structure""]",eligible_not_run,False,,,,,False,False,False,False,fullgraph T2 gate passed; compressed SFT block-signature recovery must be launched separately
ogbn-arxiv,recovery_gate,blocked_class_collapse,0.6105796098709106,0.32606273433193567,"[""B0_self"", ""B1_typed"", ""B3_lad_scap""]",blocked_by_t2_fullgraph_gate,False,,,,,False,False,False,False,predicted_class_count<35
ogbn-products,recovery_gate,blocked_resource_guard,,,[],blocked_by_t2_fullgraph_gate,False,,,,,False,False,False,False,products full T2 SFT skipped locally; use --run-products-full after dry-run
