dataset,row_kind,model_type,block_group,selected_blocks,status,reason,accuracy,macro_f1,predicted_class_count,valid_acc,valid_macro_f1,branch_valid_acc,branch_test_acc_debug,gate_value,kept_or_dropped,drop_reason,safe_baseline,safe_baseline_acc,safe_baseline_macro_f1,delta_acc_vs_safe,delta_macro_f1_vs_safe,full_edge_scans,edge_chunk_size,dst_chunk_size,block_dim,num_blocks,cache_bytes,peak_cpu_ram_gb,peak_gpu_ram_gb,wall_time_s,uses_memmap,uses_e_by_d_materialization,uses_dense_p2,uses_logits_as_input,uses_bounded_edges,uses_diffusion_legacy,uses_full_graph_backprop,uses_teacher_logits,uses_kd,uses_train_labels_only,source_log
acm,base,sagn_lite,B0_self,"[""B0_self""]",completed_base,self_only_head_selection,0.6208687424659729,0.6133738954861959,3,0.6132596731185913,0.6078474720319113,0.6132596731185913,0.6208687424659729,0.0,,,SFB-v2 B3_scap_v2 retained,0.915486,0.91658,-0.2946172575340271,-0.30320610451380403,0,65536,200000,128,1,1548800,2.3627662658691406,0.0,0.1210675000000001,False,False,False,False,False,False,False,False,False,False,experiments\logs\t2_sft_safe_block_selection_seed42\acm_B0_sagn_lite_cross_entropy_seed42.json
acm,base,gamlp_lite,B0_self,"[""B0_self""]",completed_base,self_only_head_selection,0.6506137847900391,0.649924119313558,3,0.6629834175109863,0.6597078442573547,0.6629834175109863,0.6506137847900391,0.0,,,SFB-v2 B3_scap_v2 retained,0.915486,0.91658,-0.26487221520996096,-0.26665588068644197,0,65536,200000,128,1,1548800,2.362945556640625,0.0,0.19734600000000047,False,False,False,False,False,False,False,False,False,False,experiments\logs\t2_sft_safe_block_selection_seed42\acm_B0_gamlp_lite_class_balanced_ce_seed42.json
acm,branch,gamlp_lite,B1_typed,"[""B0_self"", ""B1_typed""]",completed_branch,validation_only_block_selection,0.8578848242759705,0.860336442788442,3,0.8618784546852112,0.8624056776364645,0.8618784546852112,0.8578848242759705,0.5135835409164429,kept,,SFB-v2 B3_scap_v2 retained,0.915486,0.91658,-0.05760117572402956,-0.05624355721155794,4,65536,200000,128,5,7744000,2.3626022338867188,0.0,0.8783463999999999,False,False,False,False,False,False,False,False,False,False,experiments\logs\t2_sft_safe_block_selection_seed42\acm_B1_typed_gamlp_lite_seed42.json
acm,branch,gamlp_lite,B2_metapath,"[""B0_self"", ""B1_typed"", ""B2_metapath""]",completed_branch,validation_only_block_selection,0.8923512697219849,0.8934662938117981,3,0.90055251121521,0.8984611630439758,0.90055251121521,0.8923512697219849,0.5075643658638,kept,,SFB-v2 B3_scap_v2 retained,0.915486,0.91658,-0.02313473027801516,-0.023113706188201855,10,65536,200000,128,8,76786600,2.3696060180664062,0.0,1.0618377999999993,False,False,False,False,False,False,False,False,False,False,experiments\logs\t2_sft_safe_block_selection_seed42\acm_B2_metapath_gamlp_lite_seed42.json
acm,branch,gamlp_lite,B3_lad_scap,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",completed_branch,validation_only_block_selection,0.9206798672676086,0.9211405118306478,3,0.939226508140564,0.9387046297391256,0.939226508140564,0.9206798672676086,0.5415382385253906,kept,,SFB-v2 B3_scap_v2 retained,0.915486,0.91658,0.005193867267608621,0.004560511830647873,18,65536,200000,128,13,76968100,2.4036521911621094,0.0,3.7376202999999997,False,False,False,False,False,False,False,False,False,True,experiments\logs\t2_sft_safe_block_selection_seed42\acm_B3_lad_scap_gamlp_lite_seed42.json
acm,branch,gamlp_lite,B4_structure,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap"", ""B4_structure""]",completed_branch,validation_only_block_selection,0.9093484282493591,0.9098222653071085,3,0.9337016344070435,0.9325317939122518,0.9337016344070435,0.9093484282493591,0.5717639923095703,dropped,dropped_by_validation,SFB-v2 B3_scap_v2 retained,0.915486,0.91658,-0.006137571750640891,-0.006757734692891426,19,65536,200000,128,14,77633600,2.433185577392578,0.0,4.489164000000001,False,False,False,False,False,False,False,False,False,True,experiments\logs\t2_sft_safe_block_selection_seed42\acm_B4_structure_gamlp_lite_seed42.json
acm,final,gamlp_lite,final_selected,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",promoted,validation_selected_and_safe_improved,0.9206798672676086,0.9211405118306478,3,0.939226508140564,0.9387046297391256,0.939226508140564,0.9206798672676086,0.0,,,SFB-v2 B3_scap_v2 retained,0.915486,0.91658,0.005193867267608621,0.004560511830647873,18,65536,200000,128,13,76968100,2.4338531494140625,0.0,16.567174400000003,False,False,False,False,False,False,False,False,False,True,experiments\logs\t2_sft_safe_block_selection_seed42\acm_final_gamlp_lite_seed42.json
dblp,base,sagn_lite,B0_self,"[""B0_self""]",completed_base,self_only_head_selection,0.7267605662345886,0.7217653542757034,4,0.7119341492652893,0.7078567743301392,0.7119341492652893,0.7267605662345886,0.0,,,R+ relation-linear current-best,0.836972,0.829937,-0.11021143376541143,-0.1081716457242966,0,65536,200000,128,1,2077184,2.7472267150878906,0.0,0.30867299999999886,False,False,False,False,False,False,False,False,False,False,experiments\logs\t2_sft_safe_block_selection_seed42\dblp_B0_sagn_lite_cross_entropy_seed42.json
dblp,base,gamlp_lite,B0_self,"[""B0_self""]",completed_base,self_only_head_selection,0.7278168797492981,0.7243046760559082,4,0.7160493731498718,0.7148614078760147,0.7160493731498718,0.7278168797492981,0.0,,,R+ relation-linear current-best,0.836972,0.829937,-0.10915512025070195,-0.10563232394409183,0,65536,200000,128,1,2077184,2.747234344482422,0.0,0.2701878999999998,False,False,False,False,False,False,False,False,False,False,experiments\logs\t2_sft_safe_block_selection_seed42\dblp_B0_gamlp_lite_class_balanced_ce_seed42.json
dblp,branch,gamlp_lite,B1_typed,"[""B0_self"", ""B1_typed""]",completed_branch,validation_only_block_selection,0.7387323975563049,0.7328962832689285,4,0.7448559403419495,0.7432371377944946,0.7448559403419495,0.7387323975563049,0.48465263843536377,kept,,R+ relation-linear current-best,0.836972,0.829937,-0.09823960244369512,-0.09704071673107151,1,65536,200000,128,2,4154368,2.7475662231445312,0.0,0.42731879999999833,False,False,False,False,False,False,False,False,False,False,experiments\logs\t2_sft_safe_block_selection_seed42\dblp_B1_typed_gamlp_lite_seed42.json
dblp,branch,gamlp_lite,B2_metapath,"[""B0_self"", ""B1_typed"", ""B2_metapath""]",completed_branch,validation_only_block_selection,0.9492957592010498,0.945776179432869,4,0.9423868060112,0.9395552724599838,0.9423868060112,0.9492957592010498,0.5103060603141785,kept,,R+ relation-linear current-best,0.836972,0.829937,0.11232375920104976,0.11583917943286892,11,65536,200000,128,5,20414824,2.7508277893066406,0.0,1.0533633999999985,False,False,False,False,False,False,False,False,False,False,experiments\logs\t2_sft_safe_block_selection_seed42\dblp_B2_metapath_gamlp_lite_seed42.json
dblp,branch,gamlp_lite,B3_lad_scap,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",completed_branch,validation_only_block_selection,0.9426056146621704,0.9387593418359756,4,0.9506173133850098,0.9489727467298508,0.9506173133850098,0.9426056146621704,0.5124279260635376,kept,,R+ relation-linear current-best,0.836972,0.829937,0.10563361466217036,0.10882234183597561,13,65536,200000,128,6,20479736,2.7493515014648438,0.0,1.3782729000000025,False,False,False,False,False,False,False,False,False,True,experiments\logs\t2_sft_safe_block_selection_seed42\dblp_B3_lad_scap_gamlp_lite_seed42.json
dblp,branch,gamlp_lite,B4_structure,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap"", ""B4_structure""]",completed_branch,validation_only_block_selection,0.9352112412452698,0.9306902289390564,4,0.9506173133850098,0.9485694319009781,0.9506173133850098,0.9352112412452698,0.518760621547699,dropped,dropped_by_validation,R+ relation-linear current-best,0.836972,0.829937,0.09823924124526973,0.10075322893905636,14,65536,200000,128,7,20658244,2.7558212280273438,0.0,1.8513856000000004,False,False,False,False,False,False,False,False,False,True,experiments\logs\t2_sft_safe_block_selection_seed42\dblp_B4_structure_gamlp_lite_seed42.json
dblp,final,gamlp_lite,final_selected,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",promoted,validation_selected_and_safe_improved,0.9426056146621704,0.9387593418359756,4,0.9506173133850098,0.9489727467298508,0.9506173133850098,0.9426056146621704,0.0,,,R+ relation-linear current-best,0.836972,0.829937,0.10563361466217036,0.10882234183597561,13,65536,200000,128,6,20479736,2.7558135986328125,0.0,6.800396200000002,False,False,False,False,False,False,False,False,False,True,experiments\logs\t2_sft_safe_block_selection_seed42\dblp_final_gamlp_lite_seed42.json
