dataset,variant,seed,status,kd_gate_passed,kd_skip_reason,teacher_used_for_herding,prototype_mode,teacher_type,accuracy,macro_f1,source_log
acm,teacher_demand_herding,42,skipped_blocked_by_teacher_or_backbone,False,fullgraph_or_teacher_gate_not_passed_in_clean_sprint,False,teacher_demand_herding,none,,,
acm,kd_v2,42,skipped_blocked_by_teacher_or_backbone,False,fullgraph_or_teacher_gate_not_passed_in_clean_sprint,False,,none,,,
dblp,teacher_demand_herding,42,skipped_blocked_by_teacher_or_backbone,False,fullgraph_or_teacher_gate_not_passed_in_clean_sprint,False,teacher_demand_herding,none,,,
dblp,kd_v2,42,skipped_blocked_by_teacher_or_backbone,False,fullgraph_or_teacher_gate_not_passed_in_clean_sprint,False,,none,,,
imdb,teacher_demand_herding,42,skipped_blocked_by_teacher_or_backbone,False,fullgraph_or_teacher_gate_not_passed_in_clean_sprint,False,teacher_demand_herding,none,,,
imdb,kd_v2,42,skipped_blocked_by_teacher_or_backbone,False,fullgraph_or_teacher_gate_not_passed_in_clean_sprint,False,,none,,,
ogbn-arxiv,teacher_demand_herding,42,skipped_blocked_by_teacher_or_backbone,False,fullgraph_or_teacher_gate_not_passed_in_clean_sprint,False,teacher_demand_herding,none,,,
ogbn-arxiv,kd_v2,42,skipped_blocked_by_teacher_or_backbone,False,fullgraph_or_teacher_gate_not_passed_in_clean_sprint,False,,none,,,
ogbn-products,teacher_demand_herding,42,skipped_blocked_by_teacher_or_backbone,False,fullgraph_or_teacher_gate_not_passed_in_clean_sprint,False,teacher_demand_herding,none,,,
ogbn-products,kd_v2,42,skipped_blocked_by_teacher_or_backbone,False,fullgraph_or_teacher_gate_not_passed_in_clean_sprint,False,,none,,,
